#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
ABRAXAS2	ABRAXAS2	Not DIU	0.097263	YES	2	268.73	263.19	245.78
ABTB1	ABTB1	Not DIU	0.6651	NO		52.11	56.0	37.21
ACAA2	ACAA2	Not DIU	0.91787	YES	2	6471.29	8723.92	11373.83
ACACA	ACACA	DIU	2.18E-11	YES	3	2071.54	1642.5	413.02
ACACB	ACACB	Not DIU	0.36011	NO		1188.48	1081.63	2242.26
ACAD10	ACAD10	Not DIU	0.25908	YES	1,2,3	181.87	158.82	142.89
ACAD11	ACAD11	DIU	0.042072	NO		6096.0	7089.26	4445.88
ACAD8	ACAD8	DIU	0.044324	NO		387.95	403.12	292.16
ACAD9	ACAD9	DIU	3.0847E-6	NO		1326.02	1323.88	1144.62
ACADL	ACADL	Not DIU	0.90012	YES	3	16206.45	16595.81	10176.05
ACADM	ACADM	Not DIU	0.75184	YES	1	250.85	306.92	332.36
ACADSB	ACADSB	DIU	0.025366	YES	2,3	402.84	391.26	302.98
ACADVL	ACADVL	Not DIU	0.06453	NO		559.89	548.31	520.79
ACAP2	ACAP2	Not DIU	0.93567	NO		413.86	476.99	485.69
ACAP3	ACAP3	DIU	4.2536E-4	NO		102.84	76.21	51.21
ACAT2	ACAT2	Not DIU	0.92751	NO		902.13	716.69	379.68
ACBD3	ACBD3	Not DIU	0.89069	NO		180.76	207.4	261.59
ACBD4	ACBD4	Not DIU	0.1136	YES	3	137.94	133.69	177.34
ACBD5	ACBD5	DIU	3.7034E-5	NO		1851.55	2193.31	1217.0
ACBD6	ACBD6	Not DIU	0.29683	YES	3	82.42	87.29	55.54
ACCS	ACCS	Not DIU	0.60386	NO		65.74	48.41	52.46
ACE2	ACE2	DIU	0.047711	NO		137.59	167.82	116.13
ACIN1	ACIN1	Not DIU	0.6043	YES	2	742.02	647.13	840.5
ACKR2	ACKR2	Not DIU	0.4741	YES	1	47.89	33.6	23.27
ACLY	ACLY	Not DIU	0.24804	YES	3	904.16	542.02	364.92
ACMSD	ACMSD	Not DIU	0.13842	NO		1281.67	1234.95	756.61
ACO1	ACO1	Not DIU	0.9868	NO		1675.14	1498.58	1142.49
ACO2	ACO2	DIU	0.0029234	NO		652.55	569.28	560.76
ACOT12	ACOT12	DIU	1.8763E-4	NO		5576.7	5880.26	4568.22
ACOT6	ACOT6	Not DIU	0.46144	NO		2287.42	2115.65	1394.54
ACOT8	ACOT8	Not DIU	0.2824	NO		149.44	144.78	140.9
ACOT9	ACOT9	Not DIU	0.82264	NO		125.65	160.89	184.3
ACOX2	ACOX2	DIU	1.5949E-46	YES	3	12186.93	9811.86	6523.06
ACOX3	ACOX3	Not DIU	0.6585	NO		656.1	564.46	290.01
ACP1	ACP1	DIU	1.8459E-7	NO		468.22	552.75	498.43
ACP2	ACP2	Not DIU	0.10543	NO		1041.11	1009.17	996.88
ACP5	ACP5	Not DIU	0.31434	NO		170.21	162.47	133.87
ACP6	ACP6	DIU	1.1721E-4	NO		254.05	246.89	191.29
ACSF3	ACSF3	Not DIU	0.19271	NO		187.44	160.61	164.6
ACSL1	ACSL1	Not DIU	0.080667	NO		26946.84	30534.1	36988.95
ACSL3	ACSL3	Not DIU	0.97161	NO		541.0	476.66	366.33
ACSL4	ACSL4	DIU	2.1718E-7	YES	1	12552.01	15391.95	23594.97
ACSM3	ACSM3	Not DIU	0.81109	NO		3014.15	3248.94	1827.87
ACSM5	ACSM5	Not DIU	0.37402	YES	2	2110.22	2317.91	1717.12
ACSS2	ACSS2	Not DIU	0.15966	YES	3	1014.06	618.61	281.74
ACSS3	ACSS3	Not DIU	0.61968	NO		2087.07	2625.49	2330.03
ACTA2	ACTA2	Not DIU	0.18566	NO		754.41	895.68	1434.35
ACTG2	ACTG2	Not DIU	0.90085	NO		284.23	300.62	236.45
ACTL6A	ACTL6A	Not DIU	0.79887	NO		73.0	94.52	106.73
ACTN1	ACTN1	Not DIU	0.91607	NO		591.0	612.77	597.74
ACTN4	ACTN4	Not DIU	0.32799	NO		1253.06	1082.88	1250.25
ACTR10	ACTR10	Not DIU	0.35478	NO		337.76	386.64	331.67
ACTR1B	ACTR1B	Not DIU	0.25657	NO		305.49	303.99	319.49
ACTR3	ACTR3	Not DIU	0.70051	NO		574.07	656.03	552.66
ACTR3B	ACTR3B	Not DIU	0.17461	YES	1,2	184.36	182.96	98.75
ACTR6	ACTR6	Not DIU	0.49715	YES	1,3	77.36	75.92	67.15
ACTR8	ACTR8	Not DIU	0.093031	NO		268.21	270.56	282.99
ACVR1	ACVR1	Not DIU	0.96715	YES	1,3	271.04	288.58	458.74
ACVR1B	ACVR1B	Not DIU	0.91178	NO		428.11	368.28	338.85
ACVR1C	ACVR1C	Not DIU	0.68072	NO		163.17	171.58	204.71
ACVR2A	ACVR2A	DIU	0.027036	NO		271.24	274.03	275.12
ACVRL1	ACVRL1	Not DIU	0.31555	NO		138.94	122.84	76.33
ACYP1	ACYP1	Not DIU	0.12199	YES	2	171.67	173.95	194.62
ADA	ADA	Not DIU	0.80097	NO		160.63	140.53	114.03
ADA2	ADA2	Not DIU	0.7648	NO		123.18	113.17	67.96
ADAL	ADAL	Not DIU	0.43204	YES	2	83.02	89.67	74.14
ADAM10	ADAM10	Not DIU	0.12028	YES	3	356.27	429.19	417.11
ADAM17	ADAM17	Not DIU	0.85441	YES	1	201.48	201.05	218.97
ADAM19	ADAM19	Not DIU	0.056932	YES	1	37.88	31.66	36.17
ADAM22	ADAM22	DIU	8.6601E-4	NO		143.11	140.09	129.8
ADAMTS1	ADAMTS1	Not DIU	0.97805	YES	3	319.72	706.81	755.02
ADAMTS10	ADAMTS10	Not DIU	0.62469	NO		31.32	21.5	96.3
ADAMTS13	ADAMTS13	DIU	2.9989E-4	NO		456.47	369.83	337.32
ADAMTS20	ADAMTS20	Not DIU	0.19034	NO		43.92	42.25	43.32
ADAMTSL1	ADAMTSL1	Not DIU	0.31363	YES	2,3	95.06	78.4	74.74
ADAP2	ADAP2	Not DIU	0.61887	YES	3	247.63	233.55	177.14
ADAR	ADAR	Not DIU	0.99998	YES	1	478.24	417.41	405.33
ADAT1	ADAT1	Not DIU	0.76864	NO		88.55	76.6	79.81
ADCK1	ADCK1	Not DIU	0.77396	NO		34.86	35.16	36.51
ADCK2	ADCK2	DIU	0.0030173	NO		105.77	83.61	83.88
ADCK5	ADCK5	DIU	0.001156	NO		106.51	94.68	79.75
ADCY6	ADCY6	Not DIU	0.615	NO		231.38	196.06	353.16
ADCY9	ADCY9	Not DIU	0.81124	NO		556.9	531.99	675.47
ADD1	ADD1	Not DIU	0.085631	NO		441.15	442.19	482.36
ADD3	ADD3	Not DIU	0.71377	NO		80.56	74.24	50.07
ADGB	ADGB	Not DIU	0.15123	YES	1	70.56	96.79	96.21
ADGRA3	ADGRA3	Not DIU	0.47349	NO		920.36	947.99	879.61
ADGRE5	ADGRE5	Not DIU	0.49777	YES	1	102.17	86.35	63.87
ADGRF3	ADGRF3	Not DIU	0.51383	NO		50.27	31.64	39.86
ADGRF5	ADGRF5	Not DIU	0.36466	NO		656.93	781.82	433.23
ADGRG6	ADGRG6	Not DIU	0.91329	NO		898.05	736.01	1024.21
ADGRG7	ADGRG7	Not DIU	0.21913	NO		160.45	103.91	96.77
ADGRL1	ADGRL1	Not DIU	0.4508	NO		699.87	592.97	562.37
ADGRL2	ADGRL2	Not DIU	0.99788	NO		672.37	893.92	929.41
ADGRL3	ADGRL3	Not DIU	0.39523	YES	1	174.45	207.83	300.12
ADGRL4	ADGRL4	Not DIU	0.85947	NO		65.65	80.73	58.71
ADGRV1	ADGRV1	Not DIU	0.21694	NO		412.11	427.7	715.96
ADH4	ADH4	Not DIU	0.32046	NO		9269.1	9753.23	6795.29
ADH6	ADH6	Not DIU	0.82012	YES	1	7696.47	7434.09	4489.42
ADHFE1	ADHFE1	Not DIU	0.13911	YES	1	310.99	275.19	223.93
ADIPOR1	ADIPOR1	Not DIU	0.90624	NO		615.86	687.5	474.9
ADIPOR2	ADIPOR2	Not DIU	0.82948	YES	2	842.49	702.5	870.18
ADK	ADK	Not DIU	0.50855	NO		1543.59	1654.46	923.96
ADNP	ADNP	DIU	0.026398	NO		768.34	766.49	878.72
ADNP2	ADNP2	Not DIU	0.96268	NO		180.15	201.01	199.6
ADORA2A	ADORA2A	Not DIU	0.80796	NO		17.98	6.38	56.49
ADPGK	ADPGK	Not DIU	0.44448	YES	1,3	316.53	348.85	487.58
ADPRH	ADPRH	Not DIU	0.62268	NO		124.69	159.78	150.85
ADRA1A	ADRA1A	Not DIU	0.1917	NO		2797.41	2675.04	3342.32
ADRM1	ADRM1	Not DIU	0.19783	NO		655.1	674.28	565.56
ADSL	ADSL	DIU	0.006831	YES	1,2	193.56	186.56	164.01
ADSS	ADSS	Not DIU	0.35203	NO		421.8	386.58	221.29
AEBP2	AEBP2	Not DIU	0.61887	NO		162.48	178.26	182.88
AEN	AEN	Not DIU	0.13086	NO		47.16	41.35	53.98
AFAP1L1	AFAP1L1	Not DIU	0.4217	YES	3	27.08	37.81	34.39
AFAP1L2	AFAP1L2	Not DIU	0.58514	YES	3	44.47	38.81	28.36
AFDN	AFDN	Not DIU	0.48441	YES	1,2	3108.09	2893.01	2804.86
AFF1	AFF1	Not DIU	0.60386	NO		1504.58	1232.46	1140.44
AFG1L	AFG1L	Not DIU	0.22177	YES	1	96.43	95.27	78.26
AFG3L2	AFG3L2	Not DIU	0.49489	NO		1004.02	984.23	741.09
AFM	AFM	Not DIU	0.58379	NO		14923.87	16159.46	20497.16
AFMID	AFMID	Not DIU	0.89661	NO		521.51	402.32	394.71
AFTPH	AFTPH	Not DIU	0.52923	NO		364.23	397.62	378.58
AGA	AGA	Not DIU	0.54215	NO		250.63	261.53	238.58
AGAP1	AGAP1	Not DIU	0.96425	NO		77.02	76.74	63.25
AGAP3	AGAP3	Not DIU	0.49884	NO		122.15	106.0	59.27
AGFG1	AGFG1	Not DIU	0.53965	NO		238.27	256.01	348.75
AGGF1	AGGF1	Not DIU	0.46432	NO		247.27	231.6	239.78
AGK	AGK	Not DIU	0.68308	NO		66.63	74.6	78.74
AGL	AGL	Not DIU	0.64212	NO		2277.78	2222.12	3652.67
AGMO	AGMO	Not DIU	0.066353	NO		2802.21	2687.88	1600.88
AGO2	AGO2	DIU	1.6327E-4	NO		124.82	122.75	132.67
AGPAT1	AGPAT1	Not DIU	0.58322	NO		48.46	27.17	23.7
AGPAT2	AGPAT2	DIU	0.028234	NO		564.12	426.72	327.47
AGPAT3	AGPAT3	DIU	4.1226E-7	YES	3	333.51	292.59	382.28
AGPS	AGPS	Not DIU	0.34582	NO		2809.09	3346.1	3272.66
AGRN	AGRN	Not DIU	0.7884	NO		203.72	178.22	211.96
AGT	AGT	Not DIU	0.96317	NO		6228.72	6377.29	4474.92
AGTPBP1	AGTPBP1	Not DIU	0.44752	YES	2	101.61	115.55	95.57
AGTR1	AGTR1	Not DIU	0.85489	NO		512.02	576.99	529.84
AGTRAP	AGTRAP	Not DIU	0.97464	NO		82.26	83.12	139.02
AGXT2	AGXT2	DIU	0.032104	NO		1877.34	1634.34	1316.91
AHCTF1	AHCTF1	Not DIU	0.73174	NO		876.63	985.11	931.95
AHI1	AHI1	Not DIU	0.19783	NO		143.47	174.4	184.21
AHR	AHR	Not DIU	0.86677	NO		6214.55	7436.73	3084.99
AHSG	AHSG	DIU	1.2213E-7	YES	3	55404.37	50706.88	41027.48
AIFM2	AIFM2	Not DIU	0.28849	NO		33.57	34.03	46.5
AIG1	AIG1	DIU	5.1216E-4	NO		431.63	502.17	322.59
AIMP2	AIMP2	Not DIU	0.892	NO		73.81	74.51	83.05
AIP	AIP	Not DIU	0.50771	NO		75.37	67.79	48.38
AK4	AK4	Not DIU	0.16314	NO		4064.14	5224.58	6241.42
AK6	AK6	Not DIU	0.53172	NO		89.49	98.88	96.36
AK7	AK7	Not DIU	0.78683	NO		1044.39	873.99	183.18
AKAP1	AKAP1	Not DIU	0.49065	YES	2,3	779.16	626.93	688.08
AKAP11	AKAP11	Not DIU	0.32158	NO		786.95	887.77	848.05
AKAP13	AKAP13	Not DIU	0.19359	NO		4683.06	4432.36	3501.35
AKAP17A	AKAP17A	Not DIU	0.52002	NO		138.85	124.43	146.2
AKAP2	AKAP2	Not DIU	0.46432	NO		666.96	667.49	889.72
AKAP7	AKAP7	Not DIU	0.40759	NO		142.71	150.78	138.11
AKAP8	AKAP8	Not DIU	0.78906	YES	2	155.14	147.88	201.89
AKAP9	AKAP9	Not DIU	0.27318	YES	2	1537.21	1651.71	1497.91
AKIP1	AKIP1	Not DIU	0.39852	YES	1,3	112.87	128.27	111.53
AKT1S1	AKT1S1	Not DIU	0.91759	NO		113.32	85.43	69.65
AKT2	AKT2	Not DIU	0.10767	NO		361.28	294.84	354.87
AKT3	AKT3	Not DIU	0.49065	YES	3	95.08	88.71	78.87
AKTIP	AKTIP	DIU	0.0064958	NO		403.61	444.66	479.47
ALAD	ALAD	Not DIU	0.3619	NO		4054.02	3597.05	3775.42
ALAS1	ALAS1	Not DIU	0.21938	NO		241.37	312.97	529.89
ALB	ALB	Not DIU	0.076109	NO		1957363.18	2367713.33	2599946.04
ALDH16A1	ALDH16A1	DIU	7.8486E-5	NO		187.49	167.58	162.53
ALDH1A1	ALDH1A1	Not DIU	0.95577	YES	1	18479.17	17972.78	7737.43
ALDH1A3	ALDH1A3	Not DIU	0.81515	NO		305.13	264.13	307.74
ALDH1L1	ALDH1L1	DIU	9.2007E-6	YES	3	13548.01	9346.64	570.69
ALDH2	ALDH2	DIU	0.019298	NO		11503.05	10701.49	5306.05
ALDH3A2	ALDH3A2	Not DIU	0.65494	NO		8666.49	8547.9	7812.88
ALDH4A1	ALDH4A1	Not DIU	0.83457	YES	1,2	5771.66	4371.11	2530.9
ALDH7A1	ALDH7A1	Not DIU	0.10746	YES	3	2094.51	1928.23	1385.76
ALDH8A1	ALDH8A1	DIU	2.7933E-10	YES	3	8329.74	8647.39	7117.11
ALDH9A1	ALDH9A1	Not DIU	0.714	YES	1	3422.45	3575.35	2693.42
ALDOA	ALDOA	Not DIU	0.60743	NO		384.97	229.31	175.43
ALDOB	ALDOB	Not DIU	0.3433	NO		90798.75	99386.75	69333.18
ALG1	ALG1	Not DIU	0.1712	NO		101.67	68.82	71.74
ALG12	ALG12	Not DIU	0.18865	NO		602.27	528.33	840.28
ALG13	ALG13	Not DIU	0.60386	NO		212.57	194.52	192.74
ALG2	ALG2	Not DIU	0.39636	NO		260.96	283.61	254.82
ALG6	ALG6	Not DIU	0.96425	NO		199.23	212.4	224.06
ALG8	ALG8	Not DIU	0.20659	NO		28.98	32.16	43.29
ALG9	ALG9	Not DIU	0.20431	NO		87.25	110.46	164.91
ALKBH1	ALKBH1	Not DIU	0.51486	NO		136.93	128.89	141.97
ALKBH2	ALKBH2	Not DIU	0.57855	YES	1	13.49	12.84	31.67
ALKBH3	ALKBH3	Not DIU	0.89618	YES	1	134.03	125.98	134.7
ALKBH5	ALKBH5	Not DIU	0.63283	NO		556.84	605.26	531.76
ALMS1	ALMS1	Not DIU	0.20691	NO		797.88	818.32	704.23
ALPK1	ALPK1	Not DIU	0.05881	NO		122.89	122.92	99.88
ALPL	ALPL	Not DIU	0.59874	YES	3	111.89	112.85	24.77
ALS2	ALS2	DIU	0.025366	YES	2	374.92	418.18	364.75
AMACR	AMACR	Not DIU	0.58661	NO		2741.24	3260.74	1689.4
AMBRA1	AMBRA1	Not DIU	0.30787	NO		222.44	165.9	211.28
AMD1	AMD1	Not DIU	0.59159	YES	1,2	396.29	507.9	823.0
AMDHD1	AMDHD1	Not DIU	0.061184	YES	3	5651.58	5716.81	3381.04
AMMECR1L	AMMECR1L	Not DIU	0.60224	YES	1	187.5	223.08	212.33
AMN1	AMN1	Not DIU	0.74605	YES	3	32.9	26.69	22.83
AMOT	AMOT	Not DIU	0.60554	NO		122.08	91.55	42.31
AMOTL1	AMOTL1	Not DIU	0.73329	YES	3	30.29	28.64	31.54
AMOTL2	AMOTL2	Not DIU	0.96134	NO		255.6	294.0	416.08
AMPD2	AMPD2	Not DIU	0.46076	NO		405.32	336.33	388.35
AMZ2	AMZ2	Not DIU	0.9508	NO		482.23	434.75	324.93
ANAPC1	ANAPC1	Not DIU	0.49065	NO		257.13	261.66	282.06
ANAPC11	ANAPC11	Not DIU	0.90329	NO		79.14	99.82	103.16
ANAPC13	ANAPC13	Not DIU	0.26111	YES	1	186.53	185.45	199.47
ANAPC16	ANAPC16	Not DIU	0.44417	YES	1	382.36	441.86	448.35
ANAPC4	ANAPC4	Not DIU	0.60792	YES	1	222.3	204.35	264.37
ANAPC5	ANAPC5	Not DIU	0.30858	YES	1	113.37	119.0	130.25
ANAPC7	ANAPC7	Not DIU	0.58653	YES	1,3	231.44	275.89	332.38
ANGEL1	ANGEL1	Not DIU	0.27755	NO		68.77	73.28	72.53
ANGEL2	ANGEL2	Not DIU	0.46547	NO		86.79	120.61	109.32
ANGPTL3	ANGPTL3	Not DIU	0.96454	NO		3481.08	3322.89	3295.49
ANGPTL6	ANGPTL6	Not DIU	0.98558	NO		376.29	400.18	315.95
ANK3	ANK3	Not DIU	0.85654	YES	1,2	209.3	196.11	212.46
ANKFY1	ANKFY1	Not DIU	0.523	NO		675.66	624.23	674.4
ANKH	ANKH	Not DIU	0.20235	NO		209.86	249.93	251.11
ANKIB1	ANKIB1	Not DIU	0.19214	NO		407.49	406.74	514.61
ANKMY2	ANKMY2	DIU	8.5518E-9	YES	2,3	339.67	387.51	375.88
ANKRA2	ANKRA2	Not DIU	0.20697	NO		143.43	154.52	129.47
ANKRD11	ANKRD11	Not DIU	0.34975	NO		346.21	305.72	331.9
ANKRD12	ANKRD12	Not DIU	0.76223	NO		530.84	539.0	674.37
ANKRD13A	ANKRD13A	Not DIU	0.11617	NO		174.22	182.22	179.98
ANKRD13C	ANKRD13C	Not DIU	0.18801	YES	1,2	199.14	206.18	173.1
ANKRD17	ANKRD17	Not DIU	0.57807	NO		1075.93	1183.2	1238.14
ANKRD27	ANKRD27	Not DIU	0.57807	YES	3	214.41	205.48	262.1
ANKRD28	ANKRD28	DIU	0.0019485	NO		504.87	475.65	426.17
ANKRD34B	ANKRD34B	Not DIU	0.41549	NO		122.34	152.99	165.85
ANKRD39	ANKRD39	Not DIU	0.35106	NO		63.36	39.16	46.54
ANKRD42	ANKRD42	Not DIU	0.69319	NO		45.37	42.89	25.18
ANKRD44	ANKRD44	Not DIU	0.87399	NO		308.46	346.45	217.15
ANKRD46	ANKRD46	Not DIU	0.95577	NO		373.44	415.74	436.09
ANKRD50	ANKRD50	Not DIU	0.38904	NO		345.69	338.16	218.1
ANKS1A	ANKS1A	Not DIU	0.8442	NO		267.19	249.06	234.14
ANKS3	ANKS3	Not DIU	0.44583	YES	3	30.52	35.31	41.6
ANKZF1	ANKZF1	DIU	0.018558	YES	3	74.08	76.48	98.15
ANO6	ANO6	Not DIU	0.89326	NO		88.03	97.55	93.34
ANOS1	ANOS1	Not DIU	0.76017	NO		75.97	82.73	245.66
ANP32E	ANP32E	DIU	3.6857E-8	NO		133.05	144.09	242.66
ANTXR2	ANTXR2	DIU	0.020336	NO		882.46	1200.89	995.11
ANXA1	ANXA1	Not DIU	0.78848	YES	3	264.23	491.68	683.01
ANXA11	ANXA11	DIU	0.037546	YES	1	252.27	221.08	265.12
ANXA3	ANXA3	DIU	0.015509	YES	1,2	183.2	229.33	200.17
ANXA4	ANXA4	Not DIU	0.46649	NO		963.32	1171.21	883.49
ANXA6	ANXA6	Not DIU	0.91058	NO		1321.61	1029.07	581.65
ANXA7	ANXA7	Not DIU	0.33745	NO		812.52	913.4	707.74
AOAH	AOAH	Not DIU	0.43735	NO		122.95	108.67	76.08
AP1B1	AP1B1	Not DIU	0.097124	YES	3	379.59	371.34	342.89
AP1G2	AP1G2	Not DIU	0.4447	NO		29.27	27.82	30.51
AP1S1	AP1S1	Not DIU	0.73201	NO		320.43	259.26	208.07
AP2A2	AP2A2	Not DIU	0.062918	NO		896.67	880.51	636.52
AP2B1	AP2B1	Not DIU	0.7335	NO		863.69	872.66	771.07
AP3B1	AP3B1	Not DIU	0.12701	YES	1	492.12	576.4	602.38
AP3M1	AP3M1	Not DIU	0.49065	NO		562.8	602.12	554.09
AP3S1	AP3S1	Not DIU	0.29136	NO		102.02	137.36	129.76
AP4B1	AP4B1	Not DIU	0.75281	NO		84.32	83.04	103.46
AP4S1	AP4S1	DIU	0.028252	YES	3	27.74	47.69	44.65
AP5M1	AP5M1	Not DIU	0.48183	NO		137.08	143.55	167.19
AP5S1	AP5S1	Not DIU	0.091706	NO		36.76	39.59	37.37
AP5Z1	AP5Z1	Not DIU	0.16091	YES	3	67.19	33.87	31.92
APBA3	APBA3	Not DIU	0.10669	NO		101.79	92.16	96.43
APBB2	APBB2	Not DIU	0.71859	NO		132.91	162.57	152.19
APBB3	APBB3	Not DIU	0.80471	NO		77.15	58.05	82.67
APC	APC	Not DIU	0.2471	YES	1	1044.63	1369.41	1236.77
APELA	APELA	Not DIU	0.89462	NO		446.01	508.17	494.85
API5	API5	Not DIU	0.43295	NO		567.51	661.75	615.78
APLF	APLF	Not DIU	0.25917	NO		364.65	376.1	439.45
APLNR	APLNR	Not DIU	0.97473	NO		163.47	137.31	115.39
APLP2	APLP2	Not DIU	0.46488	NO		955.77	991.71	759.43
APMAP	APMAP	Not DIU	0.94534	NO		3230.24	3293.97	2962.38
APOA1	APOA1	Not DIU	0.99384	NO		55298.7	69961.11	68484.14
APOA5	APOA5	DIU	0.0245	NO		5386.88	6213.1	4935.37
APOA5_ZPR1	APOA5_ZPR1	Not DIU	0.33441	NO		1820.42	1805.93	1584.44
APOB	APOB	Not DIU	0.17652	YES	2	173835.24	184776.28	198427.17
APOC3	APOC3	Not DIU	0.93694	NO		15184.27	13039.12	9925.53
APOH	APOH	Not DIU	0.96715	NO		37599.34	42414.85	36174.0
APOL6	APOL6	Not DIU	0.27245	NO		110.36	111.22	108.34
APOM	APOM	Not DIU	0.98583	NO		570.67	710.12	606.65
APOO	APOO	Not DIU	0.45174	YES	3	80.57	82.0	73.52
APOOL	APOOL	Not DIU	0.63369	YES	1,3	114.13	130.8	106.37
APOPT1	APOPT1	Not DIU	0.19506	NO		131.94	145.23	107.04
APP	APP	Not DIU	0.54058	NO		1675.55	1558.26	1905.31
APPBP2	APPBP2	DIU	0.02393	YES	2	428.85	456.16	473.8
APPL1	APPL1	DIU	0.006647	YES	1	271.98	345.53	391.46
APPL2	APPL2	Not DIU	0.70456	NO		209.83	166.73	123.84
APTX	APTX	Not DIU	0.080132	NO		80.42	71.89	75.12
AQP9	AQP9	DIU	5.3567E-24	YES	2,3	14633.22	13126.8	6133.2
ARAF	ARAF	Not DIU	0.39102	NO		317.02	246.8	221.65
ARAP2	ARAP2	Not DIU	0.59729	NO		37.15	40.84	34.49
ARAP3	ARAP3	DIU	9.8503E-7	YES	1,3	84.04	104.32	71.05
AREL1	AREL1	Not DIU	0.76087	NO		1893.29	1850.41	1135.78
ARF4	ARF4	Not DIU	0.35221	NO		718.73	862.5	1015.56
ARFGAP2	ARFGAP2	Not DIU	0.44291	YES	1,2,3	864.15	901.0	794.64
ARFIP1	ARFIP1	Not DIU	0.7335	NO		120.95	142.41	152.83
ARFRP1	ARFRP1	Not DIU	0.75276	NO		245.47	243.68	280.95
ARG1	ARG1	DIU	4.9077E-22	YES	3	10381.62	10319.52	5351.41
ARGLU1	ARGLU1	Not DIU	0.81936	NO		1055.28	1140.9	1245.79
ARHGAP1	ARHGAP1	Not DIU	0.26111	NO		315.97	309.74	294.86
ARHGAP10	ARHGAP10	Not DIU	0.39636	NO		139.9	164.9	109.13
