#Transcript	Protein	Gene	Gene Description	Structural Category	Coding	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
PB.10007.13	Protein_PB.10007.13	ATF7IP	ATF7IP	incomplete-splice_match	YES	55.15	88.15	93.49
PB.10007.14	Protein_PB.10007.14	ATF7IP	ATF7IP	novel_in_catalog	YES	29.01	33.47	29.46
PB.10007.15	Protein_PB.10007.15	ATF7IP	ATF7IP	incomplete-splice_match	YES	31.25	24.6	18.97
PB.10007.3	Protein_PB.10007.3	ATF7IP	ATF7IP	full-splice_match	YES	65.86	69.63	103.27
PB.10007.7	Protein_PB.10007.7	ATF7IP	ATF7IP	novel_in_catalog	YES	28.41	29.85	43.79
PB.10007.8	Protein_PB.10007.8	ATF7IP	ATF7IP	novel_not_in_catalog	YES	28.6	24.02	58.58
PB.10007.9	Protein_PB.10007.9	ATF7IP	ATF7IP	novel_in_catalog	YES	86.55	81.83	60.48
PB.10010.1	Protein_PB.10010.1	EMP1	EMP1	full-splice_match	YES	13.29	12.83	19.61
PB.10011.1	Protein_PB.10011.1	FAM234B	FAM234B	full-splice_match	YES	29.53	19.17	13.79
PB.10011.2	Protein_PB.10011.2	FAM234B	FAM234B	novel_in_catalog	YES	40.76	46.09	62.78
PB.10013.1	Protein_PB.10013.1	DDX47	DDX47	full-splice_match	YES	19.93	18.24	21.33
PB.10013.2	Protein_PB.10013.2	DDX47	DDX47	full-splice_match	YES	31.25	37.96	46.92
PB.10013.4	Protein_PB.10013.4	DDX47	DDX47	novel_in_catalog	YES	10.44	22.99	37.93
PB.10013.5	Protein_PB.10013.5	DDX47	DDX47	novel_in_catalog	YES	24.42	24.59	26.43
PB.10013.6	Protein_PB.10013.6	DDX47	DDX47	novel_in_catalog	YES	30.1	31.74	27.73
PB.10013.9	Protein_PB.10013.9	DDX47	DDX47	novel_in_catalog	YES	42.11	41.53	26.4
PB.10014.1	Protein_PB.10014.1	APOLD1	APOLD1	full-splice_match	YES	21.79	26.41	21.57
PB.10016.1	Protein_PB.10016.1	CDKN1B	CDKN1B	full-splice_match	YES	227.91	226.15	169.46
PB.10017.1	Protein_PB.10017.1	CREBL2	CREBL2	full-splice_match	YES	267.02	336.44	248.0
PB.10017.2		CREBL2	CREBL2	novel_in_catalog	NO	14.29	10.77	27.98
PB.10018.1	Protein_PB.10018.1	BORCS5	BORCS5	full-splice_match	YES	16.45	29.94	22.2
PB.10018.2	Protein_PB.10018.2	BORCS5	BORCS5	full-splice_match	YES	20.81	9.31	18.54
PB.10020.2	Protein_PB.10020.2	BCL2L14	BCL2L14	full-splice_match	YES	21.61	20.6	14.54
PB.10022.1	Protein_PB.10022.1	ETV6	ETV6	full-splice_match	YES	48.71	54.39	52.36
PB.10022.2	Protein_PB.10022.2	ETV6	ETV6	full-splice_match	YES	62.2	48.73	61.93
PB.10024.1	Protein_PB.10024.1	SMIM10L1	SMIM10L1	full-splice_match	YES	176.45	195.4	308.0
PB.1003.1	Protein_PB.1003.1	INHBA	INHBA	full-splice_match	YES	6.7	16.13	74.48
PB.10031.1	Protein_PB.10031.1	GABARAPL1	GABARAPL1	full-splice_match	YES	748.09	718.73	270.32
PB.10031.3	Protein_PB.10031.3	GABARAPL1	GABARAPL1	novel_not_in_catalog	YES	13.77	27.96	21.61
PB.10031.4	Protein_PB.10031.4	GABARAPL1	GABARAPL1	incomplete-splice_match	YES	198.91	235.24	145.15
PB.10031.5	Protein_PB.10031.5	GABARAPL1	GABARAPL1	novel_in_catalog	YES	14.36	12.2	1.19
PB.10033.1	Protein_PB.10033.1	CLEC9A	CLEC9A	full-splice_match	YES	11.42	17.61	3.83
PB.10034.1	Protein_PB.10034.1	CLEC1B	CLEC1B	full-splice_match	YES	218.33	262.07	95.21
PB.10034.3		CLEC1B	CLEC1B	incomplete-splice_match	NO	67.04	94.12	33.39
PB.10039.2	Protein_PB.10039.2	CLEC2D	CLEC2D	full-splice_match	YES	14.94	12.04	14.28
PB.10039.3	Protein_PB.10039.3	CLEC2D	CLEC2D	full-splice_match	YES	158.64	179.66	97.28
PB.10039.4	Protein_PB.10039.4	CLEC2D	CLEC2D	full-splice_match	YES	17.77	16.76	15.92
PB.10041.3	Protein_PB.10041.3	KLRG1	KLRG1	novel_not_in_catalog	YES	30.01	33.22	20.67
PB.10042.1	Protein_PB.10042.1	PHC1	PHC1	novel_not_in_catalog	YES	20.21	19.07	18.88
PB.10042.7	Protein_PB.10042.7	PHC1	PHC1	full-splice_match	YES	10.27	12.04	16.51
PB.10043.4	Protein_PB.10043.4	A2ML1	A2ML1	full-splice_match	YES	61.93	29.1	17.79
PB.10044.1	Protein_PB.10044.1	RIMKLB_LOC113257924	RIMKLB_LOC113257924	fusion	YES	30.28	23.14	18.74
PB.10044.12	Protein_PB.10044.12	RIMKLB	RIMKLB	full-splice_match	YES	22.53	21.82	41.3
PB.10044.15	Protein_PB.10044.15	RIMKLB	RIMKLB	novel_not_in_catalog	YES	32.72	24.89	28.05
PB.10044.6	Protein_PB.10044.6	RIMKLB_LOC113257924	RIMKLB_LOC113257924	fusion	YES	63.38	58.83	59.48
PB.10044.8	Protein_PB.10044.8	RIMKLB_LOC113257924	RIMKLB_LOC113257924	fusion	YES	40.08	35.41	60.98
PB.10050.5	Protein_PB.10050.5	SLC2A3	SLC2A3	novel_in_catalog	YES	30.92	17.43	29.09
PB.10051.1	Protein_PB.10051.1	C3AR1	C3AR1	full-splice_match	YES	25.0	28.86	14.86
PB.10057.1	Protein_PB.10057.1	PEX5	PEX5	full-splice_match	YES	89.63	61.93	67.37
PB.10057.10	Protein_PB.10057.10	PEX5	PEX5	full-splice_match	YES	171.25	118.39	75.06
PB.10057.11	Protein_PB.10057.11	PEX5	PEX5	full-splice_match	YES	19.49	20.65	47.31
PB.10057.12	Protein_PB.10057.12	PEX5	PEX5	novel_not_in_catalog	YES	408.74	464.67	272.26
PB.10057.13	Protein_PB.10057.13	PEX5	PEX5	novel_not_in_catalog	YES	55.27	30.55	23.6
PB.10057.14	Protein_PB.10057.14	PEX5	PEX5	full-splice_match	YES	0.75	0.07	97.28
PB.10057.2	Protein_PB.10057.2	PEX5	PEX5	novel_in_catalog	YES	123.97	86.59	51.84
PB.10057.3	Protein_PB.10057.3	PEX5	PEX5	novel_not_in_catalog	YES	314.55	229.55	156.08
PB.10057.5	Protein_PB.10057.5	PEX5	PEX5	novel_not_in_catalog	YES	109.9	157.08	95.82
PB.10057.8	Protein_PB.10057.8	PEX5	PEX5	full-splice_match	YES	47.77	87.45	58.27
PB.10058.2	Protein_PB.10058.2	CLSTN3	CLSTN3	full-splice_match	YES	34.56	23.85	30.02
PB.10058.3	Protein_PB.10058.3	CLSTN3	CLSTN3	full-splice_match	YES	36.16	36.52	64.28
PB.10059.1	Protein_PB.10059.1	C1S	C1S	novel_not_in_catalog	YES	22.26	50.03	24.33
PB.10059.11	Protein_PB.10059.11	C1S	C1S	novel_in_catalog	YES	103.66	82.78	35.04
PB.10059.12	Protein_PB.10059.12	C1S	C1S	novel_in_catalog	YES	95.58	69.85	10.31
PB.10059.14	Protein_PB.10059.14	C1S	C1S	novel_in_catalog	YES	291.73	168.92	121.79
PB.10059.18	Protein_PB.10059.18	C1S	C1S	novel_in_catalog	YES	38.42	99.98	16.07
PB.10059.19	Protein_PB.10059.19	C1S	C1S	incomplete-splice_match	YES	63.97	24.22	221.27
PB.10059.2	Protein_PB.10059.2	C1S	C1S	novel_in_catalog	YES	71.18	29.36	35.75
PB.10059.22	Protein_PB.10059.22	C1S	C1S	novel_not_in_catalog	YES	488.15	483.85	531.57
PB.10059.23	Protein_PB.10059.23	C1S	C1S	novel_in_catalog	YES	105.85	142.09	208.71
PB.10059.25	Protein_PB.10059.25	C1S	C1S	full-splice_match	YES	11700.43	13615.17	10841.71
PB.10059.28	Protein_PB.10059.28	C1S	C1S	novel_not_in_catalog	YES	184.92	419.13	249.75
PB.10059.29	Protein_PB.10059.29	C1S	C1S	novel_not_in_catalog	YES	2.78	15.15	8.15
PB.10059.3	Protein_PB.10059.3	C1S	C1S	novel_in_catalog	YES	187.45	33.98	111.34
PB.10059.30	Protein_PB.10059.30	C1S	C1S	full-splice_match	YES	7235.84	6977.32	5953.19
PB.10059.32	Protein_PB.10059.32	C1S	C1S	novel_not_in_catalog	YES	104.17	242.47	180.73
PB.10059.33	Protein_PB.10059.33	C1S	C1S	novel_in_catalog	YES	12.94	26.26	55.3
PB.10059.34	Protein_PB.10059.34	C1S	C1S	novel_in_catalog	YES	233.42	157.63	65.24
PB.10059.35	Protein_PB.10059.35	C1S	C1S	incomplete-splice_match	YES	1435.33	1393.48	1073.11
PB.10059.4	Protein_PB.10059.4	C1S	C1S	full-splice_match	YES	476.23	612.23	450.08
PB.10059.5	Protein_PB.10059.5	C1S	C1S	novel_in_catalog	YES	105.18	109.93	75.29
PB.10059.6	Protein_PB.10059.6	C1S	C1S	novel_not_in_catalog	YES	901.9	1161.21	632.23
PB.10059.9	Protein_PB.10059.9	C1S	C1S	novel_in_catalog	YES	121.99	67.96	66.2
PB.10060.1	Protein_PB.10060.1	EMG1	EMG1	full-splice_match	YES	83.27	89.31	85.2
PB.10060.2	Protein_PB.10060.2	EMG1	EMG1	novel_in_catalog	YES	6.75	10.42	14.89
PB.10061.1	Protein_PB.10061.1	PTPN6	PTPN6	novel_not_in_catalog	YES	28.57	27.99	33.92
PB.10061.2	Protein_PB.10061.2	PTPN6	PTPN6	novel_not_in_catalog	YES	63.09	71.5	103.56
PB.10061.6	Protein_PB.10061.6	PTPN6	PTPN6	full-splice_match	YES	78.42	88.43	90.37
PB.10061.7	Protein_PB.10061.7	PTPN6	PTPN6	novel_not_in_catalog	YES	38.16	33.33	87.27
PB.10062.1	Protein_PB.10062.1	CUNH12orf57	CUNH12orf57	full-splice_match	YES	70.9	81.48	69.28
PB.10063.2	Protein_PB.10063.2	ATN1	ATN1	full-splice_match	YES	31.14	36.86	45.6
PB.10063.3	Protein_PB.10063.3	ATN1	ATN1	full-splice_match	YES	89.31	63.3	83.6
PB.10064.1	Protein_PB.10064.1	ENO2	ENO2	full-splice_match	YES	94.69	110.34	114.98
PB.10064.2	Protein_PB.10064.2	ENO2	ENO2	novel_in_catalog	YES	14.52	10.99	11.28
PB.10066.1	Protein_PB.10066.1	TPI1	TPI1	full-splice_match	YES	1439.96	1511.83	1452.59
PB.10066.2	Protein_PB.10066.2	TPI1	TPI1	novel_not_in_catalog	YES	26.53	18.42	17.16
PB.10066.5		TPI1	TPI1	novel_in_catalog	NO	22.33	12.13	9.39
PB.10067.10	Protein_PB.10067.10	USP5	USP5	novel_not_in_catalog	YES	42.37	22.11	17.34
PB.10067.14	Protein_PB.10067.14	USP5	USP5	novel_not_in_catalog	YES	150.11	129.11	187.61
PB.10067.5	Protein_PB.10067.5	USP5	USP5	novel_in_catalog	YES	0.0	15.42	22.11
PB.10067.8	Protein_PB.10067.8	USP5	USP5	novel_not_in_catalog	YES	14.63	13.68	17.19
PB.10069.1	Protein_PB.10069.1	P3H3	P3H3	full-splice_match	YES	27.51	24.13	24.54
PB.1007.1	Protein_PB.1007.1	MPLKIP	MPLKIP	full-splice_match	YES	137.51	144.22	115.39
PB.10072.2	Protein_PB.10072.2	LAG3	LAG3	full-splice_match	YES	73.83	71.07	26.69
PB.10073.1	Protein_PB.10073.1	PTMS	PTMS	full-splice_match	YES	351.35	287.74	272.9
PB.10073.2	Protein_PB.10073.2	PTMS	PTMS	novel_not_in_catalog	YES	611.68	545.51	493.59
PB.10074.1	Protein_PB.10074.1	COPS7A	COPS7A	novel_in_catalog	YES	29.1	24.77	41.16
PB.10074.10	Protein_PB.10074.10	COPS7A	COPS7A	full-splice_match	YES	116.89	103.09	88.17
PB.10074.9	Protein_PB.10074.9	COPS7A	COPS7A	full-splice_match	YES	42.87	76.65	88.44
PB.10075.1	Protein_PB.10075.1	GAPDH	GAPDH	novel_not_in_catalog	YES	3721.5	3960.94	2329.9
PB.10075.2	Protein_PB.10075.2	GAPDH	GAPDH	full-splice_match	YES	15685.18	15859.04	9504.76
PB.10076.1	Protein_PB.10076.1	NCAPD2	NCAPD2	novel_in_catalog	YES	56.79	33.29	56.88
PB.10076.3	Protein_PB.10076.3	NCAPD2	NCAPD2	novel_in_catalog	YES	28.8	15.2	11.48
PB.10076.4	Protein_PB.10076.4	NCAPD2	NCAPD2	novel_not_in_catalog	YES	33.0	15.55	14.56
PB.10076.5	Protein_PB.10076.5	NCAPD2	NCAPD2	novel_in_catalog	YES	4.57	29.87	18.72
PB.10077.1	Protein_PB.10077.1	LOC113258142	LOC113258142	full-splice_match	YES	1106.28	1409.76	875.04
PB.10078.1	Protein_PB.10078.1	TAPBPL	TAPBPL	novel_not_in_catalog	YES	19.54	17.78	12.98
PB.10078.2	Protein_PB.10078.2	TAPBPL	TAPBPL	novel_not_in_catalog	YES	22.96	23.87	25.7
PB.10078.3	Protein_PB.10078.3	TAPBPL	TAPBPL	novel_in_catalog	YES	13.98	9.85	27.8
PB.10078.4	Protein_PB.10078.4	TAPBPL	TAPBPL	novel_in_catalog	YES	10.71	31.0	35.88
PB.10078.7	Protein_PB.10078.7	TAPBPL	TAPBPL	full-splice_match	YES	83.58	48.2	63.76
PB.10081.1	Protein_PB.10081.1	LTBR	LTBR	full-splice_match	YES	41.89	35.76	40.1
PB.10081.2	Protein_PB.10081.2	LTBR	LTBR	full-splice_match	YES	254.24	227.86	203.18
PB.10082.1	Protein_PB.10082.1	PLEKHG6	PLEKHG6	full-splice_match	YES	85.1	33.59	59.52
PB.10083.1	Protein_PB.10083.1	CD9	CD9	full-splice_match	YES	25.75	19.88	24.56
PB.1009.1	Protein_PB.1009.1	VPS41	VPS41	full-splice_match	YES	272.79	230.43	153.73
PB.1009.13	Protein_PB.1009.13	VPS41	VPS41	novel_not_in_catalog	YES	14.06	18.28	19.51
PB.1009.14	Protein_PB.1009.14	VPS41	VPS41	novel_in_catalog	YES	12.78	17.84	9.58
PB.1009.16	Protein_PB.1009.16	VPS41	VPS41	novel_not_in_catalog	YES	29.93	18.44	43.23
PB.1009.17	Protein_PB.1009.17	VPS41	VPS41	novel_in_catalog	YES	47.11	41.97	54.71
PB.1009.3	Protein_PB.1009.3	VPS41	VPS41	novel_in_catalog	YES	5.4	27.87	27.24
PB.1009.4	Protein_PB.1009.4	VPS41	VPS41	novel_not_in_catalog	YES	40.39	32.86	39.97
PB.1009.9	Protein_PB.1009.9	VPS41	VPS41	novel_in_catalog	YES	62.74	70.44	65.18
PB.10090.1	Protein_PB.10090.1	NDUFA9	NDUFA9	full-splice_match	YES	21.02	33.62	31.45
PB.10090.2	Protein_PB.10090.2	NDUFA9	NDUFA9	full-splice_match	YES	442.28	471.19	294.86
PB.10090.4	Protein_PB.10090.4	NDUFA9	NDUFA9	novel_in_catalog	YES	46.2	51.58	82.56
PB.10090.5	Protein_PB.10090.5	NDUFA9	NDUFA9	novel_in_catalog	YES	49.02	26.67	29.8
PB.10090.6	Protein_PB.10090.6	NDUFA9	NDUFA9	novel_not_in_catalog	YES	60.35	46.82	56.78
PB.10094.1	Protein_PB.10094.1	TIGAR	TIGAR	full-splice_match	YES	13.28	21.09	18.26
PB.10094.4	Protein_PB.10094.4	CCND2_TIGAR	CCND2_TIGAR	fusion	YES	28.86	25.24	22.32
PB.10094.5	Protein_PB.10094.5	CCND2	CCND2	full-splice_match	YES	130.23	67.54	99.83
PB.10094.6	Protein_PB.10094.6	CCND2	CCND2	novel_not_in_catalog	YES	20.45	67.18	29.36
PB.10097.1	Protein_PB.10097.1	TSPAN9	TSPAN9	full-splice_match	YES	43.35	27.47	33.02
PB.10097.10	Protein_PB.10097.10	TSPAN9	TSPAN9	full-splice_match	YES	116.05	78.46	82.85
PB.10097.11	Protein_PB.10097.11	TSPAN9	TSPAN9	incomplete-splice_match	YES	21.36	2.47	11.04
PB.10097.12	Protein_PB.10097.12	TSPAN9	TSPAN9	novel_not_in_catalog	YES	28.08	25.16	27.74
PB.10097.13	Protein_PB.10097.13	TSPAN9	TSPAN9	novel_not_in_catalog	YES	33.46	28.48	30.1
PB.10097.2	Protein_PB.10097.2	TSPAN9	TSPAN9	full-splice_match	YES	32.85	36.14	12.31
PB.10097.6	Protein_PB.10097.6	TSPAN9	TSPAN9	full-splice_match	YES	18.75	25.39	17.67
PB.10097.7	Protein_PB.10097.7	TSPAN9	TSPAN9	full-splice_match	YES	17.36	11.7	17.76
PB.10097.9	Protein_PB.10097.9	TSPAN9	TSPAN9	full-splice_match	YES	26.85	20.6	0.0
PB.10098.1	Protein_PB.10098.1	TEAD4	TEAD4	full-splice_match	YES	32.46	25.2	24.83
PB.10099.1	Protein_PB.10099.1	TULP3	TULP3	full-splice_match	YES	7.1	15.19	0.0
PB.10099.5	Protein_PB.10099.5	TULP3	TULP3	full-splice_match	YES	8.24	8.34	32.72
PB.101.1	Protein_PB.101.1	SYNJ1	SYNJ1	novel_not_in_catalog	YES	15.41	31.97	77.04
PB.101.2	Protein_PB.101.2	SYNJ1	SYNJ1	full-splice_match	YES	39.39	44.04	2.48
PB.101.5	Protein_PB.101.5	SYNJ1	SYNJ1	novel_in_catalog	YES	59.55	30.8	63.04
PB.10102.3	Protein_PB.10102.3	ITFG2	ITFG2	novel_in_catalog	YES	12.49	18.01	18.96
PB.10102.4	Protein_PB.10102.4	ITFG2	ITFG2	full-splice_match	YES	30.45	38.32	40.75
PB.10102.5	Protein_PB.10102.5	ITFG2	ITFG2	novel_in_catalog	YES	16.95	7.84	11.61
PB.10103.2	Protein_PB.10103.2	FKBP4	FKBP4	full-splice_match	YES	465.55	531.69	537.42
PB.10103.3	Protein_PB.10103.3	FKBP4	FKBP4	novel_in_catalog	YES	13.43	15.4	4.12
PB.10103.5	Protein_PB.10103.5	FKBP4	FKBP4	novel_not_in_catalog	YES	26.81	16.51	15.98
PB.10103.6	Protein_PB.10103.6	FKBP4	FKBP4	novel_in_catalog	YES	19.22	17.97	36.07
PB.10103.8	Protein_PB.10103.8	FKBP4	FKBP4	novel_in_catalog	YES	21.71	20.12	17.74
PB.10104.1	Protein_PB.10104.1	WASHC1	WASHC1	novel_in_catalog	YES	27.79	31.31	31.88
PB.10104.2	Protein_PB.10104.2	WASHC1	WASHC1	full-splice_match	YES	128.0	121.74	91.78
PB.10105.2	Protein_PB.10105.2	SLC6A12	SLC6A12	full-splice_match	YES	31.13	10.92	12.55
PB.10105.5	Protein_PB.10105.5	SLC6A12	SLC6A12	novel_not_in_catalog	YES	25.49	5.24	13.56
PB.10105.7	Protein_PB.10105.7	SLC6A12	SLC6A12	novel_in_catalog	YES	14.85	29.44	11.81
PB.10105.8	Protein_PB.10105.8	SLC6A12	SLC6A12	full-splice_match	YES	99.35	56.23	20.0
PB.10107.1	Protein_PB.10107.1	KDM5A	KDM5A	full-splice_match	YES	343.43	412.2	377.3
PB.10107.2	Protein_PB.10107.2	KDM5A	KDM5A	full-splice_match	YES	241.23	208.38	203.93
PB.10110.1	Protein_PB.10110.1	RAD52	RAD52	full-splice_match	YES	23.53	23.02	23.26
PB.10110.10	Protein_PB.10110.10	RAD52	RAD52	novel_not_in_catalog	YES	20.45	17.3	16.87
PB.10110.11	Protein_PB.10110.11	RAD52	RAD52	novel_in_catalog	YES	34.74	35.85	32.23
PB.10114.1	Protein_PB.10114.1	FBXL14	FBXL14	full-splice_match	YES	46.14	39.14	29.93
PB.10120.2	Protein_PB.10120.2	DCP1B	DCP1B	full-splice_match	YES	22.0	29.07	33.13
PB.10120.3	Protein_PB.10120.3	DCP1B	DCP1B	novel_in_catalog	YES	35.38	22.61	31.07
PB.10120.6	Protein_PB.10120.6	DCP1B	DCP1B	full-splice_match	YES	32.41	9.07	2.12
PB.10120.7	Protein_PB.10120.7	DCP1B	DCP1B	novel_in_catalog	YES	27.04	24.59	24.8
PB.10123.1	Protein_PB.10123.1	TMEM121B	TMEM121B	full-splice_match	YES	20.39	14.19	7.67
PB.10123.2	Protein_PB.10123.2	TMEM121B	TMEM121B	full-splice_match	YES	18.13	9.97	6.58
PB.10124.2	Protein_PB.10124.2	HDHD5	HDHD5	novel_in_catalog	YES	94.03	66.83	62.26
PB.10124.3	Protein_PB.10124.3	HDHD5	HDHD5	novel_in_catalog	YES	10.9	19.52	15.67
PB.10124.4	Protein_PB.10124.4	HDHD5	HDHD5	full-splice_match	YES	217.97	191.77	97.42
PB.10124.5	Protein_PB.10124.5	HDHD5	HDHD5	novel_not_in_catalog	YES	44.1	58.53	31.75
PB.10125.1	Protein_PB.10125.1	ADA2	ADA2	novel_not_in_catalog	YES	67.31	62.99	41.32
PB.10125.9	Protein_PB.10125.9	ADA2	ADA2	novel_in_catalog	YES	55.87	50.18	26.64
PB.10126.1	Protein_PB.10126.1	ATP6V1E1	ATP6V1E1	novel_in_catalog	YES	23.01	23.12	26.34
PB.10126.2	Protein_PB.10126.2	ATP6V1E1	ATP6V1E1	full-splice_match	YES	306.23	313.13	261.25
PB.10130.1	Protein_PB.10130.1	BID	BID	full-splice_match	YES	247.74	307.14	142.82
PB.10130.2	Protein_PB.10130.2	BID	BID	full-splice_match	YES	249.37	261.97	192.82
PB.10130.3	Protein_PB.10130.3	BID	BID	novel_in_catalog	YES	21.96	32.0	27.72
PB.10130.5	Protein_PB.10130.5	BID	BID	full-splice_match	YES	24.61	11.2	18.08
PB.10131.1	Protein_PB.10131.1	MICAL3	MICAL3	novel_in_catalog	YES	402.73	379.03	719.35
PB.10132.1	Protein_PB.10132.1	RALGAPA2	RALGAPA2	full-splice_match	YES	539.75	545.96	703.07
PB.10134.2	Protein_PB.10134.2	CRNKL1	CRNKL1	incomplete-splice_match	YES	184.6	209.0	125.99
PB.10134.3	Protein_PB.10134.3	CRNKL1_LOC113258304	CRNKL1_LOC113258304	full-splice_match	YES	355.09	292.08	263.69
PB.10135.1	Protein_PB.10135.1	RBBP9	RBBP9	novel_not_in_catalog	YES	149.02	126.32	95.4
PB.10135.2		RBBP9	RBBP9	novel_in_catalog	NO	42.35	89.87	74.35
PB.10135.4	Protein_PB.10135.4	RBBP9	RBBP9	full-splice_match	YES	160.27	154.14	115.17
PB.10139.10	Protein_PB.10139.10	SNX5	SNX5	incomplete-splice_match	YES	23.26	29.12	34.84
PB.10139.3	Protein_PB.10139.3	SNX5	SNX5	full-splice_match	YES	9.32	15.03	4.82
PB.10139.4	Protein_PB.10139.4	SNX5	SNX5	novel_not_in_catalog	YES	57.4	58.18	47.17
PB.10139.5	Protein_PB.10139.5	SNX5	SNX5	novel_not_in_catalog	YES	20.6	36.77	27.13
PB.10139.7	Protein_PB.10139.7	SNX5	SNX5	novel_in_catalog	YES	34.05	33.97	23.43
PB.10139.8	Protein_PB.10139.8	SNX5	SNX5	incomplete-splice_match	YES	197.43	212.72	92.4
PB.10139.9	Protein_PB.10139.9	SNX5	SNX5	novel_not_in_catalog	YES	203.97	245.79	180.07
PB.10140.1		LOC113258860	LOC113258860	full-splice_match	NO	2679.49	3486.97	1803.33
PB.10141.1	Protein_PB.10141.1	RRBP1	RRBP1	full-splice_match	YES	426.75	377.52	421.05
PB.10141.11	Protein_PB.10141.11	RRBP1	RRBP1	novel_not_in_catalog	YES	10.18	62.38	57.39
PB.10141.12	Protein_PB.10141.12	RRBP1	RRBP1	incomplete-splice_match	YES	23.32	25.51	77.52
PB.10141.2	Protein_PB.10141.2	RRBP1	RRBP1	full-splice_match	YES	111.43	81.42	229.54
PB.10141.3	Protein_PB.10141.3	RRBP1	RRBP1	full-splice_match	YES	565.16	577.88	1820.32
PB.10141.6	Protein_PB.10141.6	RRBP1	RRBP1	novel_in_catalog	YES	160.42	165.54	348.56
PB.10141.7	Protein_PB.10141.7	RRBP1	RRBP1	novel_not_in_catalog	YES	100.37	133.79	308.2
PB.10141.8	Protein_PB.10141.8	RRBP1	RRBP1	incomplete-splice_match	YES	141.77	108.29	301.01
PB.10143.3	Protein_PB.10143.3	KIF16B	KIF16B	full-splice_match	YES	47.41	46.16	46.5
PB.10143.4	Protein_PB.10143.4	KIF16B	KIF16B	full-splice_match	YES	15.91	27.19	12.94
PB.10143.7	Protein_PB.10143.7	KIF16B	KIF16B	full-splice_match	YES	36.72	11.32	20.98
PB.10143.8	Protein_PB.10143.8	KIF16B	KIF16B	novel_in_catalog	YES	116.27	126.43	96.71
PB.10143.9	Protein_PB.10143.9	KIF16B	KIF16B	incomplete-splice_match	YES	57.48	47.11	52.44
PB.10148.1	Protein_PB.10148.1	ESF1	ESF1	full-splice_match	YES	47.94	61.56	76.35
PB.10148.3	Protein_PB.10148.3	ESF1	ESF1	incomplete-splice_match	YES	51.08	53.55	74.92
PB.10148.4	Protein_PB.10148.4	ESF1	ESF1	incomplete-splice_match	YES	10.45	24.62	10.81
PB.10150.1	Protein_PB.10150.1	TASP1	TASP1	full-splice_match	YES	20.56	24.14	32.51
PB.10150.3	Protein_PB.10150.3	TASP1	TASP1	full-splice_match	YES	16.34	18.86	23.44
PB.10153.1	Protein_PB.10153.1	JAG1	JAG1	full-splice_match	YES	96.77	124.59	140.35
