p.value	R.squared
MCFD2	5.36085969359472e-14	0.809736949119206
MCM10	3.3839201238565e-12	0.723888724295969
MCOLN1	1.62002450707979e-17	0.839591810363377
MED7	1.97638412047274e-09	0.705488451584409
MED8	3.16201898190769e-11	0.741314947357972
MEGF10	1.18666983300399e-08	0.72810252549873
MEGF9	7.08987073076713e-08	0.706632632064534
METTL16	3.59716580080326e-11	0.755314516680905
MGLL	2.8051503273058e-11	0.784149912155552
MGST1	1.15498097659875e-20	0.868540422041343
MGST2	4.68163648949097e-15	0.827972107605256
MIA2	4.2750332488556e-09	0.738341073366682
MICAL3	2.87938543515489e-11	0.787675566452377
MIIP	5.4996269775012e-10	0.730316167218821
MIPOL1	5.27672639724292e-10	0.721563441392737
MKNK2	1.1868215000084e-23	0.872845063643372
MLIP	1.3934981747781e-28	0.893038016154418
MLX	1.3087471417367e-11	0.783873780825964
MME	5.62527666246819e-36	0.912861162806944
MOCS1	5.69580728408906e-10	0.710545546939334
MOGAT3	1.8956932691893e-10	0.758990693366671
MORF4L1	1.69873395280272e-10	0.732232095313443
MPC1	1.46132140979069e-36	0.921941847948497
MPND	1.30350412832306e-14	0.802990759914681
MRC1	1.72289016001195e-13	0.790241769964931
MRPL37	9.4960139273327e-09	0.721446940180168
MRPL50	9.25422581662937e-10	0.747163968645522
MRPL55	3.99117765848287e-10	0.755152578338069
MRPS36	5.97836623948764e-20	0.86459353641542
MRPS9	1.17666672432286e-08	0.727628603227696
MSMO1	1.40112777493856e-10	0.721079417306089
MTCH2	1.04034484464997e-15	0.818121411393647
MTG1	8.05568906139425e-19	0.853180418020991
MTSS1	9.88066701381774e-10	0.745865485837588
MUT	1.43658251071393e-22	0.882779690508426
MVD	1.72971037612431e-28	0.874734997516008
MVK	1.72252191103307e-25	0.873859489753661
MYO1B	2.63293727490539e-10	0.76319597619464
NAGLU	9.63259685787542e-11	0.730037279451773
NAPRT	1.48041388162078e-08	0.708669390277477
NBR1	1.43418989227371e-09	0.741022823946136
NCOR1	4.85539276860018e-23	0.878810379654125
NDUFA1	4.37264041760377e-11	0.776038539958638
NDUFA12	6.56016375424324e-09	0.730261151490359
NDUFA4	1.32388664725055e-09	0.753714007754215
NDUFB11	1.17960977579308e-07	0.703183629047646
NDUFB5	5.87214936551982e-09	0.725549028494047
NDUFS2	7.1730848614092e-18	0.849087752114133
NDUFV1	3.62151947264526e-13	0.782163814679391
NFKBIB	2.49103737213874e-11	0.743560237091559
NFS1	3.61462449935064e-11	0.748896491413692
NKTR	8.79537297306993e-17	0.820178623670022
NNT	3.81210030536055e-15	0.822410231306388
NOP53	6.79650804526181e-11	0.767276673398968
NOP58	2.02804036833778e-10	0.74093142071966
NOTCH4	7.07419558938285e-14	0.808351977954858
