




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	6	1	.05	+	19.23	5.86E-02	1.00E00
small molecule sensor activity (GO:0140299)	6	1	.05	+	19.23	5.86E-02	1.00E00
cAMP binding (GO:0030552)	7	1	.06	+	16.49	6.67E-02	1.00E00
cyclosporin A binding (GO:0016018)	7	1	.06	+	16.49	6.67E-02	1.00E00
polynucleotide adenylyltransferase activity (GO:0004652)	7	1	.06	+	16.49	6.67E-02	1.00E00
oxygen binding (GO:0019825)	7	1	.06	+	16.49	6.67E-02	1.00E00
hexosaminidase activity (GO:0015929)	7	1	.06	+	16.49	6.67E-02	1.00E00
MAP kinase activity (GO:0004707)	8	1	.07	+	14.43	7.48E-02	1.00E00
armadillo repeat domain binding (GO:0070016)	8	1	.07	+	14.43	7.48E-02	1.00E00
ferrous iron binding (GO:0008198)	8	1	.07	+	14.43	7.48E-02	1.00E00
cAMP response element binding protein binding (GO:0008140)	8	1	.07	+	14.43	7.48E-02	1.00E00
L-ascorbic acid binding (GO:0031418)	9	1	.08	+	12.82	8.27E-02	1.00E00
SNAP receptor activity (GO:0005484)	19	2	.16	+	12.15	1.37E-02	1.00E00
cyclic nucleotide binding (GO:0030551)	11	1	.10	+	10.49	9.84E-02	1.00E00
lysophospholipase activity (GO:0004622)	12	1	.10	+	9.62	1.06E-01	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	13	1	.11	+	8.88	1.14E-01	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	13	1	.11	+	8.88	1.14E-01	1.00E00
DNA-directed DNA polymerase activity (GO:0003887)	14	1	.12	+	8.24	1.22E-01	1.00E00
deaminase activity (GO:0019239)	14	1	.12	+	8.24	1.22E-01	1.00E00
methyl-CpG binding (GO:0008327)	14	1	.12	+	8.24	1.22E-01	1.00E00
adenylyltransferase activity (GO:0070566)	14	1	.12	+	8.24	1.22E-01	1.00E00
ubiquitin ligase-substrate adaptor activity (GO:1990756)	14	1	.12	+	8.24	1.22E-01	1.00E00
FAD binding (GO:0071949)	15	1	.13	+	7.69	1.29E-01	1.00E00
carboxylic acid binding (GO:0031406)	47	3	.41	+	7.37	8.84E-03	1.00E00
organic acid binding (GO:0043177)	47	3	.41	+	7.37	8.84E-03	1.00E00
protein phosphatase 2A binding (GO:0051721)	16	1	.14	+	7.21	1.37E-01	1.00E00
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	33	2	.29	+	6.99	3.60E-02	1.00E00
RNA polymerase II general transcription initiation factor activity (GO:0016251)	18	1	.16	+	6.41	1.51E-01	1.00E00
microtubule motor activity (GO:0003777)	18	1	.16	+	6.41	1.51E-01	1.00E00
DNA polymerase activity (GO:0034061)	18	1	.16	+	6.41	1.51E-01	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	20	1	.17	+	5.77	1.66E-01	1.00E00
general transcription initiation factor activity (GO:0140223)	20	1	.17	+	5.77	1.66E-01	1.00E00
monocarboxylic acid binding (GO:0033293)	20	1	.17	+	5.77	1.66E-01	1.00E00
dioxygenase activity (GO:0051213)	41	2	.36	+	5.63	5.23E-02	1.00E00
protein serine/threonine kinase activator activity (GO:0043539)	21	1	.18	+	5.50	1.73E-01	1.00E00
amino acid binding (GO:0016597)	21	1	.18	+	5.50	1.73E-01	1.00E00
cis-trans isomerase activity (GO:0016859)	22	1	.19	+	5.25	1.80E-01	1.00E00
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	22	1	.19	+	5.25	1.80E-01	1.00E00
NADP binding (GO:0050661)	22	1	.19	+	5.25	1.80E-01	1.00E00
protein-macromolecule adaptor activity (GO:0030674)	144	6	1.25	+	4.81	1.68E-03	1.00E00
modified amino acid binding (GO:0072341)	25	1	.22	+	4.62	2.01E-01	1.00E00
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	25	1	.22	+	4.62	2.01E-01	1.00E00
transcription corepressor binding (GO:0001222)	26	1	.23	+	4.44	2.08E-01	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	54	2	.47	+	4.27	8.31E-02	1.00E00
syntaxin binding (GO:0019905)	28	1	.24	+	4.12	2.22E-01	1.00E00
cytoskeletal motor activity (GO:0003774)	29	1	.25	+	3.98	2.29E-01	1.00E00
clathrin binding (GO:0030276)	29	1	.25	+	3.98	2.29E-01	1.00E00
rRNA binding (GO:0019843)	29	1	.25	+	3.98	2.29E-01	1.00E00
monosaccharide binding (GO:0048029)	29	1	.25	+	3.98	2.29E-01	1.00E00
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	30	1	.26	+	3.85	2.35E-01	1.00E00
molecular adaptor activity (GO:0060090)	183	6	1.59	+	3.78	5.31E-03	1.00E00
phosphoric diester hydrolase activity (GO:0008081)	31	1	.27	+	3.72	2.42E-01	1.00E00
translation initiation factor activity (GO:0003743)	32	1	.28	+	3.61	2.48E-01	1.00E00
nucleotidyltransferase activity (GO:0016779)	66	2	.57	+	3.50	1.15E-01	1.00E00
vitamin binding (GO:0019842)	67	2	.58	+	3.44	1.18E-01	1.00E00
phospholipase activity (GO:0004620)	36	1	.31	+	3.21	2.74E-01	1.00E00
promoter-specific chromatin binding (GO:1990841)	36	1	.31	+	3.21	2.74E-01	1.00E00
iron ion binding (GO:0005506)	36	1	.31	+	3.21	2.74E-01	1.00E00
manganese ion binding (GO:0030145)	37	1	.32	+	3.12	2.80E-01	1.00E00
phosphatidylinositol bisphosphate binding (GO:1902936)	38	1	.33	+	3.04	2.86E-01	1.00E00
GTPase activity (GO:0003924)	115	3	1.00	+	3.01	8.03E-02	1.00E00
ribosome binding (GO:0043022)	41	1	.36	+	2.81	3.05E-01	1.00E00
protein kinase activator activity (GO:0030295)	42	1	.36	+	2.75	3.11E-01	1.00E00
signaling adaptor activity (GO:0035591)	42	1	.36	+	2.75	3.11E-01	1.00E00
ligase activity (GO:0016874)	85	2	.74	+	2.72	1.71E-01	1.00E00
ribonucleoprotein complex binding (GO:0043021)	85	2	.74	+	2.72	1.71E-01	1.00E00
lipase activity (GO:0016298)	43	1	.37	+	2.68	3.17E-01	1.00E00
kinase activator activity (GO:0019209)	44	1	.38	+	2.62	3.23E-01	1.00E00
flavin adenine dinucleotide binding (GO:0050660)	46	1	.40	+	2.51	3.34E-01	1.00E00
translation factor activity, RNA binding (GO:0008135)	46	1	.40	+	2.51	3.34E-01	1.00E00
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	141	3	1.22	+	2.46	1.26E-01	1.00E00
DNA-binding transcription activator activity (GO:0001216)	141	3	1.22	+	2.46	1.26E-01	1.00E00
SNARE binding (GO:0000149)	47	1	.41	+	2.46	3.40E-01	1.00E00
GTP binding (GO:0005525)	142	3	1.23	+	2.44	1.28E-01	1.00E00
phosphatase binding (GO:0019902)	97	2	.84	+	2.38	2.09E-01	1.00E00
guanyl ribonucleotide binding (GO:0032561)	148	3	1.28	+	2.34	1.40E-01	1.00E00
guanyl nucleotide binding (GO:0019001)	148	3	1.28	+	2.34	1.40E-01	1.00E00
hydrolase activity, acting on glycosyl bonds (GO:0016798)	50	1	.43	+	2.31	3.57E-01	1.00E00
sulfur compound binding (GO:1901681)	101	2	.88	+	2.29	2.21E-01	1.00E00
magnesium ion binding (GO:0000287)	103	2	.89	+	2.24	2.28E-01	1.00E00
SH3 domain binding (GO:0017124)	55	1	.48	+	2.10	3.84E-01	1.00E00
translation regulator activity, nucleic acid binding (GO:0090079)	55	1	.48	+	2.10	3.84E-01	1.00E00
protein tyrosine kinase activity (GO:0004713)	57	1	.49	+	2.02	3.95E-01	1.00E00
carboxylic ester hydrolase activity (GO:0052689)	57	1	.49	+	2.02	3.95E-01	1.00E00
amide binding (GO:0033218)	120	2	1.04	+	1.92	2.82E-01	1.00E00
phosphatidylinositol binding (GO:0035091)	121	2	1.05	+	1.91	2.85E-01	1.00E00
G protein-coupled receptor binding (GO:0001664)	62	1	.54	+	1.86	4.21E-01	1.00E00
DNA-binding transcription factor activity (GO:0003700)	378	6	3.28	+	1.83	1.42E-01	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	64	1	.55	+	1.80	4.31E-01	1.00E00
transcription coregulator binding (GO:0001221)	64	1	.55	+	1.80	4.31E-01	1.00E00
calmodulin binding (GO:0005516)	64	1	.55	+	1.80	4.31E-01	1.00E00
phosphatidylinositol phosphate binding (GO:1901981)	65	1	.56	+	1.78	4.36E-01	1.00E00
ubiquitin binding (GO:0043130)	66	1	.57	+	1.75	4.41E-01	1.00E00
sequence-specific DNA binding (GO:0043565)	537	8	4.65	+	1.72	1.37E-01	1.00E00
GTPase activator activity (GO:0005096)	135	2	1.17	+	1.71	3.30E-01	1.00E00
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	344	5	2.98	+	1.68	2.24E-01	1.00E00
translation regulator activity (GO:0045182)	70	1	.61	+	1.65	4.60E-01	1.00E00
cis-regulatory region sequence-specific DNA binding (GO:0000987)	355	5	3.08	+	1.63	2.36E-01	1.00E00
isomerase activity (GO:0016853)	72	1	.62	+	1.60	4.69E-01	1.00E00
protein homodimerization activity (GO:0042803)	288	4	2.50	+	1.60	3.17E-01	1.00E00
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	365	5	3.16	+	1.58	2.48E-01	1.00E00
protein phosphatase binding (GO:0019903)	73	1	.63	+	1.58	4.74E-01	1.00E00
pyrophosphatase activity (GO:0016462)	297	4	2.57	+	1.55	3.28E-01	1.00E00
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	300	4	2.60	+	1.54	3.32E-01	1.00E00
hydrolase activity, acting on acid anhydrides (GO:0016817)	300	4	2.60	+	1.54	3.32E-01	1.00E00
protein domain specific binding (GO:0019904)	300	4	2.60	+	1.54	3.32E-01	1.00E00
transcription cis-regulatory region binding (GO:0000976)	457	6	3.96	+	1.52	2.88E-01	1.00E00
transcription regulatory region nucleic acid binding (GO:0001067)	459	6	3.98	+	1.51	2.90E-01	1.00E00
carbohydrate binding (GO:0030246)	78	1	.68	+	1.48	4.96E-01	1.00E00
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	397	5	3.44	+	1.45	3.93E-01	1.00E00
sequence-specific double-stranded DNA binding (GO:1990837)	477	6	4.13	+	1.45	3.05E-01	1.00E00
ubiquitin-like protein binding (GO:0032182)	81	1	.70	+	1.42	5.09E-01	1.00E00
oxidoreductase activity (GO:0016491)	249	3	2.16	+	1.39	4.78E-01	1.00E00
protein kinase regulator activity (GO:0019887)	83	1	.72	+	1.39	5.18E-01	1.00E00
small molecule binding (GO:0036094)	1091	13	9.45	+	1.38	2.09E-01	1.00E00
anion binding (GO:0043168)	1021	12	8.85	+	1.36	2.66E-01	1.00E00
double-stranded DNA binding (GO:0003690)	522	6	4.52	+	1.33	4.55E-01	1.00E00
peptide binding (GO:0042277)	87	1	.75	+	1.33	5.34E-01	1.00E00
protein serine kinase activity (GO:0106310)	174	2	1.51	+	1.33	6.64E-01	1.00E00
heterocyclic compound binding (GO:1901363)	2458	28	21.30	+	1.31	6.96E-02	1.00E00
organic cyclic compound binding (GO:0097159)	2480	28	21.49	+	1.30	9.30E-02	1.00E00
DNA binding (GO:0003677)	894	10	7.75	+	1.29	4.33E-01	1.00E00
phospholipid binding (GO:0005543)	182	2	1.58	+	1.27	6.72E-01	1.00E00
chromatin binding (GO:0003682)	278	3	2.41	+	1.25	7.34E-01	1.00E00
nucleoside-triphosphatase activity (GO:0017111)	279	3	2.42	+	1.24	7.34E-01	1.00E00
protein C-terminus binding (GO:0008022)	96	1	.83	+	1.20	5.70E-01	1.00E00
kinase regulator activity (GO:0019207)	96	1	.83	+	1.20	5.70E-01	1.00E00
protein dimerization activity (GO:0046983)	388	4	3.36	+	1.19	5.78E-01	1.00E00
nucleotide binding (GO:0000166)	973	10	8.43	+	1.19	5.71E-01	1.00E00
nucleoside phosphate binding (GO:1901265)	973	10	8.43	+	1.19	5.71E-01	1.00E00
nucleic acid binding (GO:0003676)	1660	17	14.38	+	1.18	4.40E-01	1.00E00
protein serine/threonine/tyrosine kinase activity (GO:0004712)	202	2	1.75	+	1.14	6.95E-01	1.00E00
protein-containing complex binding (GO:0044877)	524	5	4.54	+	1.10	8.04E-01	1.00E00
transcription regulator activity (GO:0140110)	630	6	5.46	+	1.10	8.19E-01	1.00E00
carbohydrate derivative binding (GO:0097367)	948	9	8.21	+	1.10	7.05E-01	1.00E00
purine ribonucleotide binding (GO:0032555)	843	8	7.30	+	1.10	6.93E-01	1.00E00
purine nucleotide binding (GO:0017076)	850	8	7.37	+	1.09	8.41E-01	1.00E00
transition metal ion binding (GO:0046914)	426	4	3.69	+	1.08	7.85E-01	1.00E00
ribonucleotide binding (GO:0032553)	852	8	7.38	+	1.08	8.42E-01	1.00E00
protein serine/threonine kinase activity (GO:0004674)	214	2	1.85	+	1.08	7.09E-01	1.00E00
binding (GO:0005488)	5708	53	49.46	+	1.07	8.58E-02	1.00E00
ion binding (GO:0043167)	2298	21	19.91	+	1.05	7.78E-01	1.00E00
protein binding (GO:0005515)	5208	47	45.13	+	1.04	5.83E-01	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	444	4	3.85	+	1.04	7.93E-01	1.00E00
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	111	1	.96	+	1.04	6.23E-01	1.00E00
molecular_function (GO:0003674)	6022	54	52.18	+	1.03	2.64E-01	1.00E00
cation binding (GO:0043169)	1581	14	13.70	+	1.02	8.76E-01	1.00E00
DNA-binding transcription repressor activity (GO:0001217)	114	1	.99	+	1.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor activity (GO:0005085)	115	1	1.00	+	1.00	1.00E00	1.00E00
enzyme binding (GO:0019899)	934	8	8.09	-	.99	1.00E00	1.00E00
purine ribonucleoside triphosphate binding (GO:0035639)	818	7	7.09	-	.99	1.00E00	1.00E00
metal ion binding (GO:0046872)	1553	13	13.46	-	.97	1.00E00	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	243	2	2.11	-	.95	1.00E00	1.00E00
GTPase regulator activity (GO:0030695)	243	2	2.11	-	.95	1.00E00	1.00E00
RNA binding (GO:0003723)	870	7	7.54	-	.93	1.00E00	1.00E00
enzyme activator activity (GO:0008047)	249	2	2.16	-	.93	1.00E00	1.00E00
catalytic activity, acting on DNA (GO:0140097)	126	1	1.09	-	.92	1.00E00	1.00E00
catalytic activity (GO:0003824)	2313	18	20.04	-	.90	6.72E-01	1.00E00
protein kinase activity (GO:0004672)	272	2	2.36	-	.85	1.00E00	1.00E00
hydrolase activity (GO:0016787)	956	7	8.28	-	.85	8.49E-01	1.00E00
ubiquitin protein ligase binding (GO:0031625)	141	1	1.22	-	.82	1.00E00	1.00E00
lipid binding (GO:0008289)	282	2	2.44	-	.82	1.00E00	1.00E00
ubiquitin protein ligase activity (GO:0061630)	142	1	1.23	-	.81	1.00E00	1.00E00
adenyl ribonucleotide binding (GO:0032559)	718	5	6.22	-	.80	8.30E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	723	5	6.26	-	.80	8.30E-01	1.00E00
ubiquitin-like protein ligase binding (GO:0044389)	146	1	1.27	-	.79	1.00E00	1.00E00
ubiquitin-like protein ligase activity (GO:0061659)	148	1	1.28	-	.78	1.00E00	1.00E00
small GTPase binding (GO:0031267)	150	1	1.30	-	.77	1.00E00	1.00E00
transcription factor binding (GO:0008134)	304	2	2.63	-	.76	1.00E00	1.00E00
protein kinase binding (GO:0019901)	311	2	2.69	-	.74	1.00E00	1.00E00
catalytic activity, acting on a protein (GO:0140096)	983	6	8.52	-	.70	4.53E-01	1.00E00
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	331	2	2.87	-	.70	1.00E00	1.00E00
identical protein binding (GO:0042802)	829	5	7.18	-	.70	5.44E-01	1.00E00
mRNA binding (GO:0003729)	166	1	1.44	-	.70	1.00E00	1.00E00
GTPase binding (GO:0051020)	166	1	1.44	-	.70	1.00E00	1.00E00
phosphoric ester hydrolase activity (GO:0042578)	167	1	1.45	-	.69	1.00E00	1.00E00
cadherin binding (GO:0045296)	169	1	1.46	-	.68	1.00E00	1.00E00
zinc ion binding (GO:0008270)	341	2	2.95	-	.68	7.69E-01	1.00E00
kinase binding (GO:0019900)	344	2	2.98	-	.67	7.69E-01	1.00E00
ATP binding (GO:0005524)	694	4	6.01	-	.67	5.15E-01	1.00E00
kinase activity (GO:0016301)	362	2	3.14	-	.64	7.69E-01	1.00E00
ubiquitin-protein transferase activity (GO:0004842)	198	1	1.72	-	.58	1.00E00	1.00E00
transferase activity (GO:0016740)	1039	5	9.00	-	.56	1.96E-01	1.00E00
ubiquitin-like protein transferase activity (GO:0019787)	209	1	1.81	-	.55	1.00E00	1.00E00
DNA-binding transcription factor binding (GO:0140297)	234	1	2.03	-	.49	7.23E-01	1.00E00
cell adhesion molecule binding (GO:0050839)	247	1	2.14	-	.47	7.24E-01	1.00E00
ATP-dependent activity (GO:0140657)	253	1	2.19	-	.46	7.25E-01	1.00E00
enzyme regulator activity (GO:0030234)	521	2	4.51	-	.44	3.20E-01	1.00E00
molecular function regulator (GO:0098772)	645	2	5.59	-	.36	1.71E-01	1.00E00
hydrolase activity, acting on ester bonds (GO:0016788)	332	1	2.88	-	.35	3.67E-01	1.00E00
catalytic activity, acting on a nucleic acid (GO:0140640)	336	1	2.91	-	.34	3.67E-01	1.00E00
signaling receptor binding (GO:0005102)	410	1	3.55	-	.28	2.62E-01	1.00E00
GDP-fucose transmembrane transporter activity (GO:0005457)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond (GO:0046992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase (quinone) activity (GO:0004368)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic anion exchanger activity (GO:0005452)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
guanine transmembrane transporter activity (GO:0015208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
monovalent cation:proton antiporter activity (GO:0005451)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
adenine transmembrane transporter activity (GO:0015207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate O-acyltransferase activity (GO:0004366)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase transmembrane transporter activity (GO:0015205)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutathione transferase activity (GO:0004364)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
urea transmembrane transporter activity (GO:0015204)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP-dependent protein binding (GO:0043008)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione synthase activity (GO:0004363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyamine transmembrane transporter activity (GO:0015203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione-disulfide reductase (NADPH) activity (GO:0004362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamine-fructose-6-phosphate transaminase (isomerizing) activity (GO:0004360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
biliverdin reductase (NADP+) activity (GO:0106277)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
biliberdin reductase NAD+ activity (GO:0106276)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (H3-K14 specific) (GO:0031078)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
NADP+-protein-arginine ADP-ribosyltransferase activity (GO:0106275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD+-protein-arginine ADP-ribosyltransferase activity (GO:0106274)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heat shock protein binding (GO:0031072)	59	0	.51	-	 < 0.01	1.00E00	1.00E00
basal RNA polymerase II transcription machinery binding (GO:0001099)	41	0	.36	-	 < 0.01	1.00E00	1.00E00
cysteine desulfurase activity (GO:0031071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basal transcription machinery binding (GO:0001098)	41	0	.36	-	 < 0.01	1.00E00	1.00E00
TFIIH-class transcription factor complex binding (GO:0001097)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TFIIF-class transcription factor complex binding (GO:0001096)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TFIID-class transcription factor complex binding (GO:0001094)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
TFIIB-class transcription factor binding (GO:0001093)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
short-chain carboxylesterase activity (GO:0034338)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II general transcription initiation factor binding (GO:0001091)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
protein heterodimerization activity (GO:0046982)	114	0	.99	-	 < 0.01	6.27E-01	1.00E00
tRNA dimethylallyltransferase activity (GO:0052381)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutaminase activity (GO:0004359)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tapasin binding (GO:0046980)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase activity (GO:0004357)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methionine synthase activity (GO:0008705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine kinase activity (using GTP as donor) (GO:0106264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA uridine(34) acetyltransferase activity (GO:0106261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-DNA tethering activity (GO:0106260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TAP2 binding (GO:0046979)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TAP1 binding (GO:0046978)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
TAP binding (GO:0046977)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K27 specific) (GO:0046976)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K36 specific) (GO:0046975)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
