




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
spinal cord patterning (GO:0021511)	4	1	.03	+	28.85	4.22E-02	1.00E00
regulation of chemokine (C-C motif) ligand 5 production (GO:0071649)	4	1	.03	+	28.85	4.22E-02	1.00E00
neurofilament cytoskeleton organization (GO:0060052)	4	1	.03	+	28.85	4.22E-02	1.00E00
C-terminal protein lipidation (GO:0006501)	4	1	.03	+	28.85	4.22E-02	1.00E00
auditory receptor cell morphogenesis (GO:0002093)	4	1	.03	+	28.85	4.22E-02	1.00E00
peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	4	1	.03	+	28.85	4.22E-02	1.00E00
negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:1901621)	4	1	.03	+	28.85	4.22E-02	1.00E00
endosome to plasma membrane protein transport (GO:0099638)	4	1	.03	+	28.85	4.22E-02	1.00E00
changes to DNA methylation involved in embryo development (GO:1901538)	4	1	.03	+	28.85	4.22E-02	1.00E00
Rab protein signal transduction (GO:0032482)	4	1	.03	+	28.85	4.22E-02	1.00E00
postsynapse to nucleus signaling pathway (GO:0099527)	4	1	.03	+	28.85	4.22E-02	1.00E00
primary amino compound metabolic process (GO:1901160)	4	1	.03	+	28.85	4.22E-02	1.00E00
tetrahydrofolate interconversion (GO:0035999)	4	1	.03	+	28.85	4.22E-02	1.00E00
regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459)	4	1	.03	+	28.85	4.22E-02	1.00E00
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	4	1	.03	+	28.85	4.22E-02	1.00E00
parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization (GO:0061734)	4	1	.03	+	28.85	4.22E-02	1.00E00
DNA methylation involved in embryo development (GO:0043045)	4	1	.03	+	28.85	4.22E-02	1.00E00
ribonucleoside diphosphate catabolic process (GO:0009191)	4	1	.03	+	28.85	4.22E-02	1.00E00
regulation of peroxisome organization (GO:1900063)	4	1	.03	+	28.85	4.22E-02	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	4	1	.03	+	28.85	4.22E-02	1.00E00
positive regulation of smooth muscle cell apoptotic process (GO:0034393)	4	1	.03	+	28.85	4.22E-02	1.00E00
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	4	1	.03	+	28.85	4.22E-02	1.00E00
positive regulation of myeloid dendritic cell cytokine production (GO:0002735)	4	1	.03	+	28.85	4.22E-02	1.00E00
regulation of myeloid dendritic cell cytokine production (GO:0002733)	4	1	.03	+	28.85	4.22E-02	1.00E00
cellular response to exogenous dsRNA (GO:0071360)	9	2	.08	+	25.65	3.79E-03	1.00E00
pyrimidine ribonucleotide salvage (GO:0010138)	5	1	.04	+	23.08	5.05E-02	1.00E00
positive regulation of receptor recycling (GO:0001921)	5	1	.04	+	23.08	5.05E-02	1.00E00
negative regulation of cardiac muscle cell proliferation (GO:0060044)	5	1	.04	+	23.08	5.05E-02	1.00E00
positive regulation of interferon-alpha production (GO:0032727)	10	2	.09	+	23.08	4.52E-03	1.00E00
UV-damage excision repair (GO:0070914)	5	1	.04	+	23.08	5.05E-02	1.00E00
regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:1901620)	5	1	.04	+	23.08	5.05E-02	1.00E00
translocation of molecules into host (GO:0044417)	5	1	.04	+	23.08	5.05E-02	1.00E00
negative regulation of DNA damage checkpoint (GO:2000002)	5	1	.04	+	23.08	5.05E-02	1.00E00
pyrimidine nucleotide salvage (GO:0032262)	5	1	.04	+	23.08	5.05E-02	1.00E00
UMP salvage (GO:0044206)	5	1	.04	+	23.08	5.05E-02	1.00E00
PERK-mediated unfolded protein response (GO:0036499)	5	1	.04	+	23.08	5.05E-02	1.00E00
regulation of respiratory system process (GO:0044065)	5	1	.04	+	23.08	5.05E-02	1.00E00
homocysteine metabolic process (GO:0050667)	5	1	.04	+	23.08	5.05E-02	1.00E00
vesicle fusion with Golgi apparatus (GO:0048280)	5	1	.04	+	23.08	5.05E-02	1.00E00
protein localization to endosome (GO:0036010)	5	1	.04	+	23.08	5.05E-02	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	5	1	.04	+	23.08	5.05E-02	1.00E00
lysosomal microautophagy (GO:0016237)	5	1	.04	+	23.08	5.05E-02	1.00E00
methionine biosynthetic process (GO:0009086)	5	1	.04	+	23.08	5.05E-02	1.00E00
response to cycloheximide (GO:0046898)	5	1	.04	+	23.08	5.05E-02	1.00E00
ganglion development (GO:0061548)	5	1	.04	+	23.08	5.05E-02	1.00E00
viral mRNA export from host cell nucleus (GO:0046784)	5	1	.04	+	23.08	5.05E-02	1.00E00
regulation of vesicle size (GO:0097494)	5	1	.04	+	23.08	5.05E-02	1.00E00
cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	5	1	.04	+	23.08	5.05E-02	1.00E00
short-chain fatty acid metabolic process (GO:0046459)	5	1	.04	+	23.08	5.05E-02	1.00E00
positive regulation of dendritic cell cytokine production (GO:0002732)	5	1	.04	+	23.08	5.05E-02	1.00E00
regulation of dendritic cell cytokine production (GO:0002730)	5	1	.04	+	23.08	5.05E-02	1.00E00
positive regulation of type I interferon-mediated signaling pathway (GO:0060340)	11	2	.10	+	20.98	5.32E-03	1.00E00
cellular response to nitrogen starvation (GO:0006995)	6	1	.05	+	19.23	5.86E-02	1.00E00
auditory receptor cell development (GO:0060117)	6	1	.05	+	19.23	5.86E-02	1.00E00
negative regulation of cell cycle checkpoint (GO:1901977)	6	1	.05	+	19.23	5.86E-02	1.00E00
behavioral defense response (GO:0002209)	6	1	.05	+	19.23	5.86E-02	1.00E00
behavioral fear response (GO:0001662)	6	1	.05	+	19.23	5.86E-02	1.00E00
positive regulation of CREB transcription factor activity (GO:0032793)	6	1	.05	+	19.23	5.86E-02	1.00E00
C-terminal protein amino acid modification (GO:0018410)	6	1	.05	+	19.23	5.86E-02	1.00E00
regulation of interferon-alpha production (GO:0032647)	12	2	.10	+	19.23	6.17E-03	1.00E00
cellular response to dsRNA (GO:0071359)	12	2	.10	+	19.23	6.17E-03	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	6	1	.05	+	19.23	5.86E-02	1.00E00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	6	1	.05	+	19.23	5.86E-02	1.00E00
endoplasmic reticulum membrane organization (GO:0090158)	6	1	.05	+	19.23	5.86E-02	1.00E00
neurotransmitter receptor transport to plasma membrane (GO:0098877)	6	1	.05	+	19.23	5.86E-02	1.00E00
positive regulation of mitophagy in response to mitochondrial depolarization (GO:0098779)	6	1	.05	+	19.23	5.86E-02	1.00E00
regulation of respiratory gaseous exchange (GO:0043576)	6	1	.05	+	19.23	5.86E-02	1.00E00
cellular response to nitrogen levels (GO:0043562)	6	1	.05	+	19.23	5.86E-02	1.00E00
cellular response to increased oxygen levels (GO:0036295)	6	1	.05	+	19.23	5.86E-02	1.00E00
negative regulation of cardiac muscle tissue growth (GO:0055022)	6	1	.05	+	19.23	5.86E-02	1.00E00
fear response (GO:0042596)	6	1	.05	+	19.23	5.86E-02	1.00E00
pyrimidine-containing compound salvage (GO:0008655)	6	1	.05	+	19.23	5.86E-02	1.00E00
positive regulation of dendrite development (GO:1900006)	6	1	.05	+	19.23	5.86E-02	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	6	1	.05	+	19.23	5.86E-02	1.00E00
platelet formation (GO:0030220)	6	1	.05	+	19.23	5.86E-02	1.00E00
establishment of protein localization to postsynaptic membrane (GO:1903540)	6	1	.05	+	19.23	5.86E-02	1.00E00
negative regulation of heart growth (GO:0061117)	6	1	.05	+	19.23	5.86E-02	1.00E00
peptidyl-proline hydroxylation (GO:0019511)	6	1	.05	+	19.23	5.86E-02	1.00E00
apoptotic process involved in morphogenesis (GO:0060561)	6	1	.05	+	19.23	5.86E-02	1.00E00
pyrimidine-containing compound catabolic process (GO:0072529)	13	2	.11	+	17.75	7.08E-03	1.00E00
negative regulation of activated T cell proliferation (GO:0046007)	7	1	.06	+	16.49	6.67E-02	1.00E00
methionine metabolic process (GO:0006555)	7	1	.06	+	16.49	6.67E-02	1.00E00
ribosome disassembly (GO:0032790)	7	1	.06	+	16.49	6.67E-02	1.00E00
p38MAPK cascade (GO:0038066)	7	1	.06	+	16.49	6.67E-02	1.00E00
neurotransmitter receptor transport (GO:0099637)	7	1	.06	+	16.49	6.67E-02	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	7	1	.06	+	16.49	6.67E-02	1.00E00
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	7	1	.06	+	16.49	6.67E-02	1.00E00
regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904923)	7	1	.06	+	16.49	6.67E-02	1.00E00
platelet morphogenesis (GO:0036344)	7	1	.06	+	16.49	6.67E-02	1.00E00
polarized epithelial cell differentiation (GO:0030859)	7	1	.06	+	16.49	6.67E-02	1.00E00
ribonucleoside catabolic process (GO:0042454)	7	1	.06	+	16.49	6.67E-02	1.00E00
error-prone translesion synthesis (GO:0042276)	7	1	.06	+	16.49	6.67E-02	1.00E00
monocyte differentiation (GO:0030224)	7	1	.06	+	16.49	6.67E-02	1.00E00
DNA demethylation (GO:0080111)	7	1	.06	+	16.49	6.67E-02	1.00E00
response to exogenous dsRNA (GO:0043330)	15	2	.13	+	15.39	9.07E-03	1.00E00
glycoprotein catabolic process (GO:0006516)	8	1	.07	+	14.43	7.48E-02	1.00E00
pyrimidine nucleoside metabolic process (GO:0006213)	8	1	.07	+	14.43	7.48E-02	1.00E00
regulation of pigmentation (GO:0120305)	8	1	.07	+	14.43	7.48E-02	1.00E00
regulation of lysosomal lumen pH (GO:0035751)	8	1	.07	+	14.43	7.48E-02	1.00E00
regulation of developmental pigmentation (GO:0048070)	8	1	.07	+	14.43	7.48E-02	1.00E00
positive regulation of long-term synaptic potentiation (GO:1900273)	8	1	.07	+	14.43	7.48E-02	1.00E00
protein localization to postsynapse (GO:0062237)	8	1	.07	+	14.43	7.48E-02	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	8	1	.07	+	14.43	7.48E-02	1.00E00
establishment of apical/basal cell polarity (GO:0035089)	8	1	.07	+	14.43	7.48E-02	1.00E00
regulation of Rac protein signal transduction (GO:0035020)	8	1	.07	+	14.43	7.48E-02	1.00E00
protein localization to postsynaptic membrane (GO:1903539)	8	1	.07	+	14.43	7.48E-02	1.00E00
negative regulation of nucleotide metabolic process (GO:0045980)	8	1	.07	+	14.43	7.48E-02	1.00E00
regulation of smooth muscle cell apoptotic process (GO:0034391)	8	1	.07	+	14.43	7.48E-02	1.00E00
negative regulation of autophagosome assembly (GO:1902902)	8	1	.07	+	14.43	7.48E-02	1.00E00
histone H3-K4 trimethylation (GO:0080182)	8	1	.07	+	14.43	7.48E-02	1.00E00
interferon-gamma-mediated signaling pathway (GO:0060333)	9	1	.08	+	12.82	8.27E-02	1.00E00
UMP metabolic process (GO:0046049)	9	1	.08	+	12.82	8.27E-02	1.00E00
autophagy of nucleus (GO:0044804)	9	1	.08	+	12.82	8.27E-02	1.00E00
positive regulation of interferon-beta production (GO:0032728)	18	2	.16	+	12.82	1.25E-02	1.00E00
oxidative demethylation (GO:0070989)	9	1	.08	+	12.82	8.27E-02	1.00E00
UMP biosynthetic process (GO:0006222)	9	1	.08	+	12.82	8.27E-02	1.00E00
homeostasis of number of cells within a tissue (GO:0048873)	9	1	.08	+	12.82	8.27E-02	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	9	1	.08	+	12.82	8.27E-02	1.00E00
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	9	1	.08	+	12.82	8.27E-02	1.00E00
nucleoside catabolic process (GO:0009164)	9	1	.08	+	12.82	8.27E-02	1.00E00
inner ear auditory receptor cell differentiation (GO:0042491)	9	1	.08	+	12.82	8.27E-02	1.00E00
embryonic hemopoiesis (GO:0035162)	9	1	.08	+	12.82	8.27E-02	1.00E00
positive regulation of muscle cell apoptotic process (GO:0010661)	9	1	.08	+	12.82	8.27E-02	1.00E00
programmed necrotic cell death (GO:0097300)	9	1	.08	+	12.82	8.27E-02	1.00E00
DNA strand elongation (GO:0022616)	9	1	.08	+	12.82	8.27E-02	1.00E00
establishment or maintenance of monopolar cell polarity (GO:0061339)	9	1	.08	+	12.82	8.27E-02	1.00E00
S-adenosylmethionine metabolic process (GO:0046500)	9	1	.08	+	12.82	8.27E-02	1.00E00
establishment of monopolar cell polarity (GO:0061162)	9	1	.08	+	12.82	8.27E-02	1.00E00
dorsal/ventral neural tube patterning (GO:0021904)	9	1	.08	+	12.82	8.27E-02	1.00E00
mitochondrial fusion (GO:0008053)	9	1	.08	+	12.82	8.27E-02	1.00E00
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	9	1	.08	+	12.82	8.27E-02	1.00E00
neuromuscular junction development (GO:0007528)	18	2	.16	+	12.82	1.25E-02	1.00E00
response to dsRNA (GO:0043331)	19	2	.16	+	12.15	1.37E-02	1.00E00
regulation of activated T cell proliferation (GO:0046006)	10	1	.09	+	11.54	9.06E-02	1.00E00
regulation of receptor recycling (GO:0001919)	10	1	.09	+	11.54	9.06E-02	1.00E00
inner ear receptor cell stereocilium organization (GO:0060122)	10	1	.09	+	11.54	9.06E-02	1.00E00
protein deglycosylation (GO:0006517)	10	1	.09	+	11.54	9.06E-02	1.00E00
integrated stress response signaling (GO:0140467)	10	1	.09	+	11.54	9.06E-02	1.00E00
pigment granule localization (GO:0051875)	10	1	.09	+	11.54	9.06E-02	1.00E00
mitochondrial translation (GO:0032543)	20	2	.17	+	11.54	1.50E-02	1.00E00
mismatch repair (GO:0006298)	10	1	.09	+	11.54	9.06E-02	1.00E00
melanosome localization (GO:0032400)	10	1	.09	+	11.54	9.06E-02	1.00E00
N-acetylglucosamine metabolic process (GO:0006044)	10	1	.09	+	11.54	9.06E-02	1.00E00
postsynaptic signal transduction (GO:0098926)	10	1	.09	+	11.54	9.06E-02	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	10	1	.09	+	11.54	9.06E-02	1.00E00
necrotic cell death (GO:0070265)	10	1	.09	+	11.54	9.06E-02	1.00E00
DNA dealkylation (GO:0035510)	10	1	.09	+	11.54	9.06E-02	1.00E00
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	10	1	.09	+	11.54	9.06E-02	1.00E00
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	10	1	.09	+	11.54	9.06E-02	1.00E00
negative regulation of smoothened signaling pathway (GO:0045879)	10	1	.09	+	11.54	9.06E-02	1.00E00
regulation of Golgi organization (GO:1903358)	10	1	.09	+	11.54	9.06E-02	1.00E00
apoptotic process involved in development (GO:1902742)	11	1	.10	+	10.49	9.84E-02	1.00E00
Golgi to vacuole transport (GO:0006896)	11	1	.10	+	10.49	9.84E-02	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	11	1	.10	+	10.49	9.84E-02	1.00E00
response to mitochondrial depolarisation (GO:0098780)	11	1	.10	+	10.49	9.84E-02	1.00E00
skeletal muscle cell differentiation (GO:0035914)	11	1	.10	+	10.49	9.84E-02	1.00E00
glucosamine-containing compound metabolic process (GO:1901071)	11	1	.10	+	10.49	9.84E-02	1.00E00
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	11	1	.10	+	10.49	9.84E-02	1.00E00
cellular response to virus (GO:0098586)	22	2	.19	+	10.49	1.77E-02	1.00E00
nucleotide salvage (GO:0043173)	11	1	.10	+	10.49	9.84E-02	1.00E00
response to hyperoxia (GO:0055093)	11	1	.10	+	10.49	9.84E-02	1.00E00
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	11	1	.10	+	10.49	9.84E-02	1.00E00
intracellular estrogen receptor signaling pathway (GO:0030520)	11	1	.10	+	10.49	9.84E-02	1.00E00
hair cell differentiation (GO:0035315)	11	1	.10	+	10.49	9.84E-02	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	11	1	.10	+	10.49	9.84E-02	1.00E00
protein localization to cell-cell junction (GO:0150105)	11	1	.10	+	10.49	9.84E-02	1.00E00
negative regulation of organ growth (GO:0046621)	11	1	.10	+	10.49	9.84E-02	1.00E00
type I interferon signaling pathway (GO:0060337)	12	1	.10	+	9.62	1.06E-01	1.00E00
leukocyte apoptotic process (GO:0071887)	12	1	.10	+	9.62	1.06E-01	1.00E00
one-carbon metabolic process (GO:0006730)	12	1	.10	+	9.62	1.06E-01	1.00E00
positive regulation of defense response to virus by host (GO:0002230)	12	1	.10	+	9.62	1.06E-01	1.00E00
cellular response to type I interferon (GO:0071357)	12	1	.10	+	9.62	1.06E-01	1.00E00
protein hydroxylation (GO:0018126)	12	1	.10	+	9.62	1.06E-01	1.00E00
Rac protein signal transduction (GO:0016601)	12	1	.10	+	9.62	1.06E-01	1.00E00
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	12	1	.10	+	9.62	1.06E-01	1.00E00
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	12	1	.10	+	9.62	1.06E-01	1.00E00
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	12	1	.10	+	9.62	1.06E-01	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	12	1	.10	+	9.62	1.06E-01	1.00E00
glial cell migration (GO:0008347)	12	1	.10	+	9.62	1.06E-01	1.00E00
protein localization to phagophore assembly site (GO:0034497)	12	1	.10	+	9.62	1.06E-01	1.00E00
mammary gland duct morphogenesis (GO:0060603)	12	1	.10	+	9.62	1.06E-01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	12	1	.10	+	9.62	1.06E-01	1.00E00
negative regulation of mitotic nuclear division (GO:0045839)	12	1	.10	+	9.62	1.06E-01	1.00E00
regulation of type I interferon-mediated signaling pathway (GO:0060338)	25	2	.22	+	9.23	2.22E-02	1.00E00
transcription initiation from RNA polymerase II promoter (GO:0006367)	25	2	.22	+	9.23	2.22E-02	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	26	2	.23	+	8.88	2.37E-02	1.00E00
neural tube patterning (GO:0021532)	13	1	.11	+	8.88	1.14E-01	1.00E00
morphogenesis of a polarized epithelium (GO:0001738)	13	1	.11	+	8.88	1.14E-01	1.00E00
regulation of cardiac muscle cell proliferation (GO:0060043)	13	1	.11	+	8.88	1.14E-01	1.00E00
positive regulation of interleukin-12 production (GO:0032735)	13	1	.11	+	8.88	1.14E-01	1.00E00
