




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
early phagosome (GO:0032009)	4	1	.05	+	21.34	5.66E-02	1.00E00
axon initial segment (GO:0043194)	4	1	.05	+	21.34	5.66E-02	1.00E00
THO complex part of transcription export complex (GO:0000445)	4	1	.05	+	21.34	5.66E-02	1.00E00
U2AF complex (GO:0089701)	4	1	.05	+	21.34	5.66E-02	1.00E00
dendritic spine membrane (GO:0032591)	4	1	.05	+	21.34	5.66E-02	1.00E00
THO complex (GO:0000347)	4	1	.05	+	21.34	5.66E-02	1.00E00
rDNA heterochromatin (GO:0033553)	4	1	.05	+	21.34	5.66E-02	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	5	1	.06	+	17.07	6.75E-02	1.00E00
ciliary transition fiber (GO:0097539)	5	1	.06	+	17.07	6.75E-02	1.00E00
transcription export complex (GO:0000346)	5	1	.06	+	17.07	6.75E-02	1.00E00
integrator complex (GO:0032039)	12	2	.14	+	14.23	1.10E-02	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	6	1	.07	+	14.23	7.83E-02	1.00E00
Seh1-associated complex (GO:0035859)	6	1	.07	+	14.23	7.83E-02	1.00E00
MLL3/4 complex (GO:0044666)	7	1	.08	+	12.20	8.90E-02	1.00E00
ER ubiquitin ligase complex (GO:0000835)	7	1	.08	+	12.20	8.90E-02	1.00E00
complex of collagen trimers (GO:0098644)	7	1	.08	+	12.20	8.90E-02	1.00E00
MIB complex (GO:0140275)	7	1	.08	+	12.20	8.90E-02	1.00E00
node of Ranvier (GO:0033268)	7	1	.08	+	12.20	8.90E-02	1.00E00
SAM complex (GO:0001401)	7	1	.08	+	12.20	8.90E-02	1.00E00
dendrite membrane (GO:0032590)	8	1	.09	+	10.67	9.96E-02	1.00E00
centriolar subdistal appendage (GO:0120103)	8	1	.09	+	10.67	9.96E-02	1.00E00
RNA polymerase II transcription repressor complex (GO:0090571)	8	1	.09	+	10.67	9.96E-02	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	9	1	.11	+	9.49	1.10E-01	1.00E00
chromatin silencing complex (GO:0005677)	10	1	.12	+	8.54	1.20E-01	1.00E00
ATAC complex (GO:0140672)	10	1	.12	+	8.54	1.20E-01	1.00E00
mitochondrial outer membrane translocase complex (GO:0005742)	10	1	.12	+	8.54	1.20E-01	1.00E00
outer mitochondrial membrane protein complex (GO:0098799)	11	1	.13	+	7.76	1.31E-01	1.00E00
mitochondria-associated endoplasmic reticulum membrane (GO:0044233)	12	1	.14	+	7.11	1.41E-01	1.00E00
organelle membrane contact site (GO:0044232)	26	2	.30	+	6.57	4.12E-02	1.00E00
T-tubule (GO:0030315)	13	1	.15	+	6.57	1.51E-01	1.00E00
exocytic vesicle membrane (GO:0099501)	28	2	.33	+	6.10	4.67E-02	1.00E00
mitochondrial nucleoid (GO:0042645)	28	2	.33	+	6.10	4.67E-02	1.00E00
synaptic vesicle membrane (GO:0030672)	28	2	.33	+	6.10	4.67E-02	1.00E00
nucleoid (GO:0009295)	28	2	.33	+	6.10	4.67E-02	1.00E00
neuron projection membrane (GO:0032589)	15	1	.18	+	5.69	1.70E-01	1.00E00
main axon (GO:0044304)	17	1	.20	+	5.02	1.89E-01	1.00E00
transcription repressor complex (GO:0017053)	35	2	.41	+	4.88	6.79E-02	1.00E00
protein-lipid complex (GO:0032994)	19	1	.22	+	4.49	2.08E-01	1.00E00
collagen trimer (GO:0005581)	19	1	.22	+	4.49	2.08E-01	1.00E00
SAGA-type complex (GO:0070461)	20	1	.23	+	4.27	2.17E-01	1.00E00
stereocilium (GO:0032420)	20	1	.23	+	4.27	2.17E-01	1.00E00
stereocilium bundle (GO:0032421)	21	1	.25	+	4.07	2.26E-01	1.00E00
axon terminus (GO:0043679)	22	1	.26	+	3.88	2.35E-01	1.00E00
sperm flagellum (GO:0036126)	23	1	.27	+	3.71	2.44E-01	1.00E00
Z disc (GO:0030018)	46	2	.54	+	3.71	1.06E-01	1.00E00
9+2 motile cilium (GO:0097729)	24	1	.28	+	3.56	2.53E-01	1.00E00
integral component of mitochondrial inner membrane (GO:0031305)	24	1	.28	+	3.56	2.53E-01	1.00E00
I band (GO:0031674)	49	2	.57	+	3.48	1.17E-01	1.00E00
intrinsic component of mitochondrial inner membrane (GO:0031304)	25	1	.29	+	3.41	2.62E-01	1.00E00
ciliary transition zone (GO:0035869)	26	1	.30	+	3.28	2.70E-01	1.00E00
SCF ubiquitin ligase complex (GO:0019005)	26	1	.30	+	3.28	2.70E-01	1.00E00
methyltransferase complex (GO:0034708)	54	2	.63	+	3.16	1.37E-01	1.00E00
extrinsic component of organelle membrane (GO:0031312)	27	1	.32	+	3.16	2.79E-01	1.00E00
cluster of actin-based cell projections (GO:0098862)	56	2	.66	+	3.05	1.45E-01	1.00E00
neuron projection terminus (GO:0044306)	29	1	.34	+	2.94	2.95E-01	1.00E00
dendritic spine (GO:0043197)	58	2	.68	+	2.94	1.53E-01	1.00E00
intercellular bridge (GO:0045171)	29	1	.34	+	2.94	2.95E-01	1.00E00
neuron spine (GO:0044309)	59	2	.69	+	2.89	1.57E-01	1.00E00
phagocytic vesicle (GO:0045335)	60	2	.70	+	2.85	1.61E-01	1.00E00
cis-Golgi network (GO:0005801)	31	1	.36	+	2.75	3.12E-01	1.00E00
sarcomere (GO:0030017)	64	2	.75	+	2.67	1.77E-01	1.00E00
transport vesicle membrane (GO:0030658)	65	2	.76	+	2.63	1.82E-01	1.00E00
mitochondrial outer membrane (GO:0005741)	98	3	1.15	+	2.61	1.11E-01	1.00E00
nuclear envelope (GO:0005635)	232	7	2.72	+	2.58	2.00E-02	1.00E00
synaptic vesicle (GO:0008021)	67	2	.78	+	2.55	1.90E-01	1.00E00
leading edge membrane (GO:0031256)	67	2	.78	+	2.55	1.90E-01	1.00E00
microbody membrane (GO:0031903)	35	1	.41	+	2.44	3.43E-01	1.00E00
lysosomal lumen (GO:0043202)	35	1	.41	+	2.44	3.43E-01	1.00E00
peroxisomal membrane (GO:0005778)	35	1	.41	+	2.44	3.43E-01	1.00E00
organelle outer membrane (GO:0031968)	106	3	1.24	+	2.42	1.32E-01	1.00E00
centriole (GO:0005814)	71	2	.83	+	2.40	2.07E-01	1.00E00
outer membrane (GO:0019867)	107	3	1.25	+	2.39	1.34E-01	1.00E00
myofibril (GO:0030016)	72	2	.84	+	2.37	2.11E-01	1.00E00
exocytic vesicle (GO:0070382)	73	2	.86	+	2.34	2.15E-01	1.00E00
apical part of cell (GO:0045177)	147	4	1.72	+	2.32	9.70E-02	1.00E00
basement membrane (GO:0005604)	37	1	.43	+	2.31	3.58E-01	1.00E00
heterochromatin (GO:0000792)	37	1	.43	+	2.31	3.58E-01	1.00E00
contractile fiber (GO:0043292)	75	2	.88	+	2.28	2.24E-01	1.00E00
ciliary basal body (GO:0036064)	75	2	.88	+	2.28	2.24E-01	1.00E00
sarcolemma (GO:0042383)	38	1	.45	+	2.25	3.66E-01	1.00E00
histone methyltransferase complex (GO:0035097)	38	1	.45	+	2.25	3.66E-01	1.00E00
brush border (GO:0005903)	39	1	.46	+	2.19	3.73E-01	1.00E00
adherens junction (GO:0005912)	79	2	.93	+	2.16	2.41E-01	1.00E00
apical plasma membrane (GO:0016324)	120	3	1.41	+	2.13	1.70E-01	1.00E00
integral component of mitochondrial membrane (GO:0032592)	41	1	.48	+	2.08	3.88E-01	1.00E00
integral component of endoplasmic reticulum membrane (GO:0030176)	83	2	.97	+	2.06	2.58E-01	1.00E00
external side of plasma membrane (GO:0009897)	83	2	.97	+	2.06	2.58E-01	1.00E00
intrinsic component of mitochondrial membrane (GO:0098573)	43	1	.50	+	1.99	4.02E-01	1.00E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	87	2	1.02	+	1.96	2.76E-01	1.00E00
melanosome (GO:0042470)	44	1	.52	+	1.94	4.09E-01	1.00E00
pigment granule (GO:0048770)	44	1	.52	+	1.94	4.09E-01	1.00E00
spindle pole (GO:0000922)	90	2	1.05	+	1.90	2.88E-01	1.00E00
lytic vacuole membrane (GO:0098852)	184	4	2.16	+	1.86	1.73E-01	1.00E00
lysosomal membrane (GO:0005765)	184	4	2.16	+	1.86	1.73E-01	1.00E00
inner mitochondrial membrane protein complex (GO:0098800)	47	1	.55	+	1.82	4.29E-01	1.00E00
nuclear membrane (GO:0031965)	143	3	1.68	+	1.79	2.39E-01	1.00E00
postsynaptic membrane (GO:0045211)	48	1	.56	+	1.78	4.36E-01	1.00E00
lipid droplet (GO:0005811)	48	1	.56	+	1.78	4.36E-01	1.00E00
mitochondrial matrix (GO:0005759)	240	5	2.81	+	1.78	2.08E-01	1.00E00
nucleolus (GO:0005730)	495	10	5.80	+	1.72	8.05E-02	1.00E00
serine/threonine protein kinase complex (GO:1902554)	50	1	.59	+	1.71	4.49E-01	1.00E00
midbody (GO:0030496)	101	2	1.18	+	1.69	3.36E-01	1.00E00
envelope (GO:0031975)	557	11	6.52	+	1.69	9.46E-02	1.00E00
organelle envelope (GO:0031967)	557	11	6.52	+	1.69	9.46E-02	1.00E00
vacuolar membrane (GO:0005774)	203	4	2.38	+	1.68	3.04E-01	1.00E00
motile cilium (GO:0031514)	51	1	.60	+	1.67	4.56E-01	1.00E00
specific granule (GO:0042581)	51	1	.60	+	1.67	4.56E-01	1.00E00
postsynaptic density (GO:0014069)	103	2	1.21	+	1.66	3.44E-01	1.00E00
asymmetric synapse (GO:0032279)	103	2	1.21	+	1.66	3.44E-01	1.00E00
lytic vacuole (GO:0000323)	310	6	3.63	+	1.65	1.81E-01	1.00E00
lysosome (GO:0005764)	310	6	3.63	+	1.65	1.81E-01	1.00E00
postsynaptic specialization (GO:0099572)	105	2	1.23	+	1.63	3.53E-01	1.00E00
cell surface (GO:0009986)	210	4	2.46	+	1.63	3.14E-01	1.00E00
side of membrane (GO:0098552)	159	3	1.86	+	1.61	4.37E-01	1.00E00
Golgi stack (GO:0005795)	53	1	.62	+	1.61	4.68E-01	1.00E00
histone acetyltransferase complex (GO:0000123)	54	1	.63	+	1.58	4.74E-01	1.00E00
neuron to neuron synapse (GO:0098984)	108	2	1.27	+	1.58	3.65E-01	1.00E00
transcription regulator complex (GO:0005667)	219	4	2.57	+	1.56	3.29E-01	1.00E00
bicellular tight junction (GO:0005923)	55	1	.64	+	1.55	4.81E-01	1.00E00
centriolar satellite (GO:0034451)	55	1	.64	+	1.55	4.81E-01	1.00E00
endoplasmic reticulum protein-containing complex (GO:0140534)	55	1	.64	+	1.55	4.81E-01	1.00E00
integral component of organelle membrane (GO:0031301)	173	3	2.03	+	1.48	4.59E-01	1.00E00
extrinsic component of membrane (GO:0019898)	116	2	1.36	+	1.47	3.98E-01	1.00E00
protein kinase complex (GO:1902911)	58	1	.68	+	1.47	4.99E-01	1.00E00
cell leading edge (GO:0031252)	177	3	2.07	+	1.45	4.66E-01	1.00E00
postsynapse (GO:0098794)	178	3	2.09	+	1.44	4.67E-01	1.00E00
vacuole (GO:0005773)	357	6	4.18	+	1.43	3.13E-01	1.00E00
endosome (GO:0005768)	417	7	4.88	+	1.43	3.40E-01	1.00E00
dendritic tree (GO:0097447)	179	3	2.10	+	1.43	4.69E-01	1.00E00
dendrite (GO:0030425)	179	3	2.10	+	1.43	4.69E-01	1.00E00
protein acetyltransferase complex (GO:0031248)	60	1	.70	+	1.42	5.10E-01	1.00E00
tight junction (GO:0070160)	60	1	.70	+	1.42	5.10E-01	1.00E00
acetyltransferase complex (GO:1902493)	60	1	.70	+	1.42	5.10E-01	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	120	2	1.41	+	1.42	6.53E-01	1.00E00
collagen-containing extracellular matrix (GO:0062023)	121	2	1.42	+	1.41	6.54E-01	1.00E00
spliceosomal complex (GO:0005681)	123	2	1.44	+	1.39	6.57E-01	1.00E00
Unclassified (UNCLASSIFIED)	185	3	2.17	+	1.38	4.80E-01	1.00E00
synapse (GO:0045202)	370	6	4.33	+	1.38	4.48E-01	1.00E00
intrinsic component of organelle membrane (GO:0031300)	185	3	2.17	+	1.38	4.80E-01	1.00E00
cell junction (GO:0030054)	682	11	7.99	+	1.38	2.58E-01	1.00E00
PML body (GO:0016605)	62	1	.73	+	1.38	5.22E-01	1.00E00
nuclear protein-containing complex (GO:0140513)	683	11	8.00	+	1.37	2.58E-01	1.00E00
supramolecular polymer (GO:0099081)	314	5	3.68	+	1.36	4.19E-01	1.00E00
endocytic vesicle (GO:0030139)	128	2	1.50	+	1.33	6.63E-01	1.00E00
apical junction complex (GO:0043296)	66	1	.77	+	1.29	5.44E-01	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	66	1	.77	+	1.29	5.44E-01	1.00E00
vacuolar lumen (GO:0005775)	67	1	.78	+	1.27	5.49E-01	1.00E00
spindle (GO:0005819)	202	3	2.37	+	1.27	5.14E-01	1.00E00
azurophil granule (GO:0042582)	68	1	.80	+	1.26	5.54E-01	1.00E00
primary lysosome (GO:0005766)	68	1	.80	+	1.26	5.54E-01	1.00E00
fibrillar center (GO:0001650)	69	1	.81	+	1.24	5.59E-01	1.00E00
late endosome (GO:0005770)	139	2	1.63	+	1.23	6.79E-01	1.00E00
bounding membrane of organelle (GO:0098588)	846	12	9.91	+	1.21	4.91E-01	1.00E00
external encapsulating structure (GO:0030312)	142	2	1.66	+	1.20	6.83E-01	1.00E00
extracellular matrix (GO:0031012)	142	2	1.66	+	1.20	6.83E-01	1.00E00
cytoplasmic side of membrane (GO:0098562)	71	1	.83	+	1.20	5.70E-01	1.00E00
transferase complex (GO:1990234)	429	6	5.03	+	1.19	6.39E-01	1.00E00
clathrin-coated vesicle (GO:0030136)	72	1	.84	+	1.19	5.75E-01	1.00E00
recycling endosome (GO:0055037)	72	1	.84	+	1.19	5.75E-01	1.00E00
presynapse (GO:0098793)	145	2	1.70	+	1.18	6.88E-01	1.00E00
plasma membrane region (GO:0098590)	367	5	4.30	+	1.16	6.19E-01	1.00E00
mitochondrion (GO:0005739)	734	10	8.60	+	1.16	5.84E-01	1.00E00
transport vesicle (GO:0030133)	147	2	1.72	+	1.16	6.91E-01	1.00E00
actin-based cell projection (GO:0098858)	74	1	.87	+	1.15	5.85E-01	1.00E00
endosome membrane (GO:0010008)	224	3	2.62	+	1.14	7.47E-01	1.00E00
late endosome membrane (GO:0031902)	75	1	.88	+	1.14	5.90E-01	1.00E00
early endosome membrane (GO:0031901)	75	1	.88	+	1.14	5.90E-01	1.00E00
basolateral plasma membrane (GO:0016323)	76	1	.89	+	1.12	5.94E-01	1.00E00
organelle membrane (GO:0031090)	1450	19	16.98	+	1.12	5.78E-01	1.00E00
microbody (GO:0042579)	77	1	.90	+	1.11	5.99E-01	1.00E00
peroxisome (GO:0005777)	77	1	.90	+	1.11	5.99E-01	1.00E00
vesicle membrane (GO:0012506)	465	6	5.45	+	1.10	8.21E-01	1.00E00
supramolecular fiber (GO:0099512)	311	4	3.64	+	1.10	7.85E-01	1.00E00
endomembrane system (GO:0012505)	1793	23	21.00	+	1.10	6.04E-01	1.00E00
cytosol (GO:0005829)	2423	31	28.38	+	1.09	5.47E-01	1.00E00
organelle lumen (GO:0043233)	2608	33	30.55	+	1.08	6.33E-01	1.00E00
intracellular organelle lumen (GO:0070013)	2608	33	30.55	+	1.08	6.33E-01	1.00E00
membrane-enclosed lumen (GO:0031974)	2608	33	30.55	+	1.08	6.33E-01	1.00E00
nuclear lumen (GO:0031981)	2146	27	25.14	+	1.07	7.10E-01	1.00E00
mitochondrial membrane (GO:0031966)	318	4	3.72	+	1.07	7.88E-01	1.00E00
somatodendritic compartment (GO:0036477)	239	3	2.80	+	1.07	7.59E-01	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	80	1	.94	+	1.07	6.13E-01	1.00E00
ribosome (GO:0005840)	80	1	.94	+	1.07	6.13E-01	1.00E00
nucleus (GO:0005634)	3140	39	36.78	+	1.06	6.39E-01	1.00E00
synaptic membrane (GO:0097060)	81	1	.95	+	1.05	6.18E-01	1.00E00
ubiquitin ligase complex (GO:0000151)	162	2	1.90	+	1.05	7.15E-01	1.00E00
anchoring junction (GO:0070161)	332	4	3.89	+	1.03	7.96E-01	1.00E00
chromosome, telomeric region (GO:0000781)	83	1	.97	+	1.03	6.26E-01	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	4739	57	55.51	+	1.03	7.83E-01	1.00E00
cytoplasm (GO:0005737)	4618	55	54.09	+	1.02	8.94E-01	1.00E00
intracellular non-membrane-bounded organelle (GO:0043232)	2027	24	23.74	+	1.01	1.00E00	1.00E00
non-membrane-bounded organelle (GO:0043228)	2027	24	23.74	+	1.01	1.00E00	1.00E00
mitochondrial envelope (GO:0005740)	338	4	3.96	+	1.01	1.00E00	1.00E00
vesicle (GO:0031982)	1437	17	16.83	+	1.01	1.00E00	1.00E00
extracellular exosome (GO:0070062)	763	9	8.94	+	1.01	1.00E00	1.00E00
protein-containing complex (GO:0032991)	2206	26	25.84	+	1.01	1.00E00	1.00E00
membrane (GO:0016020)	3059	36	35.83	+	1.00	1.00E00	1.00E00
basal plasma membrane (GO:0009925)	85	1	1.00	+	1.00	1.00E00	1.00E00
ruffle (GO:0001726)	85	1	1.00	+	1.00	1.00E00	1.00E00
extracellular organelle (GO:0043230)	767	9	8.98	+	1.00	1.00E00	1.00E00
extracellular vesicle (GO:1903561)	767	9	8.98	+	1.00	1.00E00	1.00E00
extracellular membrane-bounded organelle (GO:0065010)	767	9	8.98	+	1.00	1.00E00	1.00E00
chromatin (GO:0000785)	427	5	5.00	-	1.00	1.00E00	1.00E00
cytoplasmic vesicle (GO:0031410)	940	11	11.01	-	1.00	1.00E00	1.00E00
intracellular vesicle (GO:0097708)	942	11	11.03	-	1.00	1.00E00	1.00E00
intracellular anatomical structure (GO:0005622)	5573	65	65.28	-	1.00	8.49E-01	1.00E00
cellular anatomical entity (GO:0110165)	6013	70	70.43	-	.99	7.43E-01	1.00E00
cellular_component (GO:0005575)	6047	70	70.83	-	.99	4.80E-01	1.00E00
early endosome (GO:0005769)	173	2	2.03	-	.99	1.00E00	1.00E00
membrane-bounded organelle (GO:0043227)	5019	58	58.79	-	.99	7.68E-01	1.00E00
extracellular space (GO:0005615)	956	11	11.20	-	.98	1.00E00	1.00E00
intracellular organelle (GO:0043229)	5046	58	59.11	-	.98	7.64E-01	1.00E00
nucleoplasm (GO:0005654)	2006	23	23.50	-	.98	1.00E00	1.00E00
intrinsic component of membrane (GO:0031224)	1484	17	17.38	-	.98	1.00E00	1.00E00
organelle (GO:0043226)	5239	60	61.37	-	.98	6.31E-01	1.00E00
focal adhesion (GO:0005925)	175	2	2.05	-	.98	1.00E00	1.00E00
integral component of plasma membrane (GO:0005887)	353	4	4.13	-	.97	1.00E00	1.00E00
endoplasmic reticulum membrane (GO:0005789)	444	5	5.20	-	.96	1.00E00	1.00E00
cell-substrate junction (GO:0030055)	178	2	2.09	-	.96	1.00E00	1.00E00
cell periphery (GO:0071944)	1611	18	18.87	-	.95	8.94E-01	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	448	5	5.25	-	.95	1.00E00	1.00E00
basal part of cell (GO:0045178)	90	1	1.05	-	.95	1.00E00	1.00E00
microtubule (GO:0005874)	181	2	2.12	-	.94	1.00E00	1.00E00
Golgi membrane (GO:0000139)	272	3	3.19	-	.94	1.00E00	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	455	5	5.33	-	.94	1.00E00	1.00E00
integral component of membrane (GO:0016021)	1459	16	17.09	-	.94	8.89E-01	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	456	5	5.34	-	.94	1.00E00	1.00E00
intrinsic component of plasma membrane (GO:0031226)	367	4	4.30	-	.93	1.00E00	1.00E00
distal axon (GO:0150034)	92	1	1.08	-	.93	1.00E00	1.00E00
glutamatergic synapse (GO:0098978)	92	1	1.08	-	.93	1.00E00	1.00E00
supramolecular complex (GO:0099080)	471	5	5.52	-	.91	1.00E00	1.00E00
extracellular region (GO:0005576)	1147	12	13.44	-	.89	7.62E-01	1.00E00
cell-cell junction (GO:0005911)	194	2	2.27	-	.88	1.00E00	1.00E00
organelle subcompartment (GO:0031984)	583	6	6.83	-	.88	1.00E00	1.00E00
centrosome (GO:0005813)	295	3	3.46	-	.87	1.00E00	1.00E00
plasma membrane bounded cell projection (GO:0120025)	694	7	8.13	-	.86	8.51E-01	1.00E00
chromosome (GO:0005694)	696	7	8.15	-	.86	8.51E-01	1.00E00
actin cytoskeleton (GO:0015629)	199	2	2.33	-	.86	1.00E00	1.00E00
neuron projection (GO:0043005)	407	4	4.77	-	.84	1.00E00	1.00E00
catalytic complex (GO:1902494)	725	7	8.49	-	.82	7.15E-01	1.00E00
cell projection (GO:0042995)	727	7	8.52	-	.82	7.15E-01	1.00E00
intracellular protein-containing complex (GO:0140535)	418	4	4.90	-	.82	1.00E00	1.00E00
mitochondrial inner membrane (GO:0005743)	210	2	2.46	-	.81	1.00E00	1.00E00
plasma membrane (GO:0005886)	1475	14	17.28	-	.81	4.09E-01	1.00E00
cell projection membrane (GO:0031253)	107	1	1.25	-	.80	1.00E00	1.00E00
cilium (GO:0005929)	217	2	2.54	-	.79	1.00E00	1.00E00
endoplasmic reticulum (GO:0005783)	769	7	9.01	-	.78	5.92E-01	1.00E00
cytoskeleton (GO:0005856)	886	8	10.38	-	.77	5.03E-01	1.00E00
mitochondrial protein-containing complex (GO:0098798)	111	1	1.30	-	.77	1.00E00	1.00E00
receptor complex (GO:0043235)	113	1	1.32	-	.76	1.00E00	1.00E00
nuclear body (GO:0016604)	454	4	5.32	-	.75	8.19E-01	1.00E00
microtubule cytoskeleton (GO:0015630)	568	5	6.65	-	.75	6.81E-01	1.00E00
secretory vesicle (GO:0099503)	342	3	4.01	-	.75	7.98E-01	1.00E00
coated vesicle (GO:0030135)	117	1	1.37	-	.73	1.00E00	1.00E00
organelle inner membrane (GO:0019866)	236	2	2.76	-	.72	1.00E00	1.00E00
polymeric cytoskeletal fiber (GO:0099513)	236	2	2.76	-	.72	1.00E00	1.00E00
nuclear speck (GO:0016607)	245	2	2.87	-	.70	1.00E00	1.00E00
endoplasmic reticulum lumen (GO:0005788)	123	1	1.44	-	.69	1.00E00	1.00E00
microtubule organizing center (GO:0005815)	371	3	4.35	-	.69	8.01E-01	1.00E00
Golgi apparatus (GO:0005794)	667	5	7.81	-	.64	3.45E-01	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	134	1	1.57	-	.64	1.00E00	1.00E00
neuronal cell body (GO:0043025)	137	1	1.60	-	.62	1.00E00	1.00E00
cell cortex (GO:0005938)	138	1	1.62	-	.62	1.00E00	1.00E00
Golgi apparatus subcompartment (GO:0098791)	157	1	1.84	-	.54	1.00E00	1.00E00
cell body (GO:0044297)	160	1	1.87	-	.53	1.00E00	1.00E00
chromosomal region (GO:0098687)	172	1	2.01	-	.50	7.24E-01	1.00E00
ribonucleoprotein complex (GO:1990904)	346	2	4.05	-	.49	4.38E-01	1.00E00
membrane protein complex (GO:0098796)	366	2	4.29	-	.47	4.44E-01	1.00E00
axon (GO:0030424)	203	1	2.38	-	.42	7.32E-01	1.00E00
secretory granule (GO:0030141)	290	1	3.40	-	.29	2.62E-01	1.00E00
perinuclear region of cytoplasm (GO:0048471)	302	1	3.54	-	.28	2.64E-01	1.00E00
apoptosome (GO:0043293)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
deuterosome (GO:0098536)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase dependent transmembrane transport complex (GO:0098533)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic specialization membrane (GO:0098892)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
CHOP-C/EBP complex (GO:0036488)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
