




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
branched-chain-amino-acid transaminase activity (GO:0004084)	1	1	.03	+	35.01	5.48E-02	1.00E00
arginyltransferase activity (GO:0004057)	1	1	.03	+	35.01	5.48E-02	1.00E00
L-aminoadipate-semialdehyde dehydrogenase activity (GO:0004043)	1	1	.03	+	35.01	5.48E-02	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor (GO:0016663)	1	1	.03	+	35.01	5.48E-02	1.00E00
endopolyphosphatase activity (GO:0000298)	1	1	.03	+	35.01	5.48E-02	1.00E00
cortisol dehydrogenase activity (GO:0102196)	1	1	.03	+	35.01	5.48E-02	1.00E00
L-isoleucine transaminase activity (GO:0052656)	1	1	.03	+	35.01	5.48E-02	1.00E00
L-valine transaminase activity (GO:0052655)	1	1	.03	+	35.01	5.48E-02	1.00E00
L-leucine transaminase activity (GO:0052654)	1	1	.03	+	35.01	5.48E-02	1.00E00
3-beta-hydroxysteroid dehydrogenase/C4-decarboxylase activity (GO:0102175)	1	1	.03	+	35.01	5.48E-02	1.00E00
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity (GO:0000252)	1	1	.03	+	35.01	5.48E-02	1.00E00
tRNA 2'-phosphotransferase activity (GO:0000215)	1	1	.03	+	35.01	5.48E-02	1.00E00
D-tyrosyl-tRNA(Tyr) deacylase activity (GO:0051500)	1	1	.03	+	35.01	5.48E-02	1.00E00
sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity (GO:0047012)	1	1	.03	+	35.01	5.48E-02	1.00E00
phenylacetaldehyde dehydrogenase activity (GO:0008957)	1	1	.03	+	35.01	5.48E-02	1.00E00
D-aminoacyl-tRNA deacylase activity (GO:0051499)	1	1	.03	+	35.01	5.48E-02	1.00E00
DNA clamp unloader activity (GO:0061860)	1	1	.03	+	35.01	5.48E-02	1.00E00
11-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0070524)	1	1	.03	+	35.01	5.48E-02	1.00E00
mitochondrial proton-transporting ATP synthase complex binding (GO:0140260)	1	1	.03	+	35.01	5.48E-02	1.00E00
receptor-receptor interaction (GO:0090722)	1	1	.03	+	35.01	5.48E-02	1.00E00
tripeptidyl-peptidase activity (GO:0008240)	1	1	.03	+	35.01	5.48E-02	1.00E00
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	1	1	.03	+	35.01	5.48E-02	1.00E00
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	1	1	.03	+	35.01	5.48E-02	1.00E00
betaine-aldehyde dehydrogenase activity (GO:0008802)	1	1	.03	+	35.01	5.48E-02	1.00E00
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity (GO:0103067)	1	1	.03	+	35.01	5.48E-02	1.00E00
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity (GO:0103066)	1	1	.03	+	35.01	5.48E-02	1.00E00
plus-end directed microfilament motor activity (GO:0060002)	1	1	.03	+	35.01	5.48E-02	1.00E00
nitroglycerin reductase activity (GO:0018547)	1	1	.03	+	35.01	5.48E-02	1.00E00
ganglioside GM1 binding (GO:1905573)	2	1	.06	+	17.50	8.10E-02	1.00E00
P-type divalent copper transporter activity (GO:0043682)	2	1	.06	+	17.50	8.10E-02	1.00E00
phosphatidic acid transfer activity (GO:1990050)	2	1	.06	+	17.50	8.10E-02	1.00E00
prostaglandin receptor activity (GO:0004955)	2	1	.06	+	17.50	8.10E-02	1.00E00
prostanoid receptor activity (GO:0004954)	2	1	.06	+	17.50	8.10E-02	1.00E00
icosanoid receptor activity (GO:0004953)	2	1	.06	+	17.50	8.10E-02	1.00E00
fatty-acyl-CoA reductase (alcohol-forming) activity (GO:0080019)	2	1	.06	+	17.50	8.10E-02	1.00E00
DNA binding domain binding (GO:0050692)	2	1	.06	+	17.50	8.10E-02	1.00E00
P-type monovalent copper transporter activity (GO:0140581)	2	1	.06	+	17.50	8.10E-02	1.00E00
alcohol-forming fatty acyl-CoA reductase activity (GO:0102965)	2	1	.06	+	17.50	8.10E-02	1.00E00
death effector domain binding (GO:0035877)	2	1	.06	+	17.50	8.10E-02	1.00E00
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	4	2	.11	+	17.50	1.07E-02	1.00E00
pyruvate dehydrogenase activity (GO:0004738)	4	2	.11	+	17.50	1.07E-02	1.00E00
arachidonic acid binding (GO:0050544)	2	1	.06	+	17.50	8.10E-02	1.00E00
icosatetraenoic acid binding (GO:0050543)	2	1	.06	+	17.50	8.10E-02	1.00E00
icosanoid binding (GO:0050542)	2	1	.06	+	17.50	8.10E-02	1.00E00
tubulin-glutamic acid ligase activity (GO:0070740)	4	2	.11	+	17.50	1.07E-02	1.00E00
protein-glutamic acid ligase activity (GO:0070739)	4	2	.11	+	17.50	1.07E-02	1.00E00
carbonyl reductase (NADPH) activity (GO:0004090)	2	1	.06	+	17.50	8.10E-02	1.00E00
aminoacyl-tRNA hydrolase activity (GO:0004045)	2	1	.06	+	17.50	8.10E-02	1.00E00
pyruvate dehydrogenase (NAD+) activity (GO:0034604)	4	2	.11	+	17.50	1.07E-02	1.00E00
pyruvate dehydrogenase [NAD(P)+] activity (GO:0034603)	4	2	.11	+	17.50	1.07E-02	1.00E00
all-trans-decaprenyl-diphosphate synthase activity (GO:0097269)	2	1	.06	+	17.50	8.10E-02	1.00E00
fibroblast growth factor-activated receptor activity (GO:0005007)	2	1	.06	+	17.50	8.10E-02	1.00E00
latrotoxin receptor activity (GO:0016524)	2	1	.06	+	17.50	8.10E-02	1.00E00
beta-galactosidase activity (GO:0004565)	2	1	.06	+	17.50	8.10E-02	1.00E00
trans-octaprenyltranstransferase activity (GO:0050347)	2	1	.06	+	17.50	8.10E-02	1.00E00
complement component C3b binding (GO:0001851)	2	1	.06	+	17.50	8.10E-02	1.00E00
opsonin binding (GO:0001846)	2	1	.06	+	17.50	8.10E-02	1.00E00
ganglioside binding (GO:0035594)	2	1	.06	+	17.50	8.10E-02	1.00E00
S-acetyltransferase activity (GO:0016418)	2	1	.06	+	17.50	8.10E-02	1.00E00
galactose binding (GO:0005534)	2	1	.06	+	17.50	8.10E-02	1.00E00
hydroxymethylglutaryl-CoA lyase activity (GO:0004419)	2	1	.06	+	17.50	8.10E-02	1.00E00
trans-hexaprenyltranstransferase activity (GO:0000010)	2	1	.06	+	17.50	8.10E-02	1.00E00
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity (GO:0043878)	5	2	.14	+	14.00	1.47E-02	1.00E00
glycerol-3-phosphate O-acyltransferase activity (GO:0004366)	3	1	.09	+	11.67	1.07E-01	1.00E00
ATP-dependent protein binding (GO:0043008)	3	1	.09	+	11.67	1.07E-01	1.00E00
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	3	1	.09	+	11.67	1.07E-01	1.00E00
natriuretic peptide receptor activity (GO:0016941)	3	1	.09	+	11.67	1.07E-01	1.00E00
galactoside binding (GO:0016936)	3	1	.09	+	11.67	1.07E-01	1.00E00
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity (GO:0102420)	3	1	.09	+	11.67	1.07E-01	1.00E00
heparan sulfate binding (GO:1904399)	3	1	.09	+	11.67	1.07E-01	1.00E00
myosin light chain binding (GO:0032027)	3	1	.09	+	11.67	1.07E-01	1.00E00
m7G(5')pppN diphosphatase activity (GO:0050072)	3	1	.09	+	11.67	1.07E-01	1.00E00
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	3	1	.09	+	11.67	1.07E-01	1.00E00
dipeptidase activity (GO:0016805)	3	1	.09	+	11.67	1.07E-01	1.00E00
LBD domain binding (GO:0050693)	3	1	.09	+	11.67	1.07E-01	1.00E00
creatine kinase activity (GO:0004111)	3	1	.09	+	11.67	1.07E-01	1.00E00
histone pre-mRNA DCP binding (GO:0071208)	3	1	.09	+	11.67	1.07E-01	1.00E00
stem cell factor receptor binding (GO:0005173)	3	1	.09	+	11.67	1.07E-01	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	3	1	.09	+	11.67	1.07E-01	1.00E00
maltose alpha-glucosidase activity (GO:0032450)	3	1	.09	+	11.67	1.07E-01	1.00E00
peptidoglycan binding (GO:0042834)	3	1	.09	+	11.67	1.07E-01	1.00E00
alpha-1,4-glucosidase activity (GO:0004558)	3	1	.09	+	11.67	1.07E-01	1.00E00
histone methyltransferase activity (H4-K20 specific) (GO:0042799)	3	1	.09	+	11.67	1.07E-01	1.00E00
cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199)	6	2	.17	+	11.67	1.92E-02	1.00E00
BH3 domain binding (GO:0051434)	3	1	.09	+	11.67	1.07E-01	1.00E00
complement binding (GO:0001848)	3	1	.09	+	11.67	1.07E-01	1.00E00
propionate-CoA ligase activity (GO:0050218)	3	1	.09	+	11.67	1.07E-01	1.00E00
acetate-CoA ligase activity (GO:0003987)	3	1	.09	+	11.67	1.07E-01	1.00E00
DNA clamp loader activity (GO:0003689)	7	2	.20	+	10.00	2.43E-02	1.00E00
cyclosporin A binding (GO:0016018)	7	2	.20	+	10.00	2.43E-02	1.00E00
alpha-glucosidase activity (GO:0090599)	4	1	.11	+	8.75	1.31E-01	1.00E00
3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)	4	1	.11	+	8.75	1.31E-01	1.00E00
AMP binding (GO:0016208)	4	1	.11	+	8.75	1.31E-01	1.00E00
clathrin heavy chain binding (GO:0032050)	4	1	.11	+	8.75	1.31E-01	1.00E00
cardiolipin binding (GO:1901612)	4	1	.11	+	8.75	1.31E-01	1.00E00
structural constituent of eye lens (GO:0005212)	4	1	.11	+	8.75	1.31E-01	1.00E00
phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)	4	1	.11	+	8.75	1.31E-01	1.00E00
chloride ion binding (GO:0031404)	4	1	.11	+	8.75	1.31E-01	1.00E00
7SK snRNA binding (GO:0097322)	4	1	.11	+	8.75	1.31E-01	1.00E00
carbonate dehydratase activity (GO:0004089)	4	1	.11	+	8.75	1.31E-01	1.00E00
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	8	2	.23	+	8.75	2.98E-02	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	20	5	.57	+	8.75	5.31E-04	1.00E00
protein tyrosine kinase inhibitor activity (GO:0030292)	4	1	.11	+	8.75	1.31E-01	1.00E00
BMP binding (GO:0036122)	4	1	.11	+	8.75	1.31E-01	1.00E00
transforming growth factor beta receptor activity, type I (GO:0005025)	4	1	.11	+	8.75	1.31E-01	1.00E00
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	8	2	.23	+	8.75	2.98E-02	1.00E00
BH domain binding (GO:0051400)	4	1	.11	+	8.75	1.31E-01	1.00E00
death domain binding (GO:0070513)	4	1	.11	+	8.75	1.31E-01	1.00E00
lipoprotein lipase activity (GO:0004465)	4	1	.11	+	8.75	1.31E-01	1.00E00
pattern recognition receptor activity (GO:0038187)	4	1	.11	+	8.75	1.31E-01	1.00E00
galactosidase activity (GO:0015925)	4	1	.11	+	8.75	1.31E-01	1.00E00
D1 dopamine receptor binding (GO:0031748)	4	1	.11	+	8.75	1.31E-01	1.00E00
proton channel activity (GO:0015252)	4	1	.11	+	8.75	1.31E-01	1.00E00
aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	9	2	.26	+	7.78	3.58E-02	1.00E00
transforming growth factor beta-activated receptor activity (GO:0005024)	9	2	.26	+	7.78	3.58E-02	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	23	5	.66	+	7.61	9.18E-04	1.00E00
chondroitin sulfate binding (GO:0035374)	5	1	.14	+	7.00	1.56E-01	1.00E00
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	5	1	.14	+	7.00	1.56E-01	1.00E00
copper ion transmembrane transporter activity (GO:0005375)	5	1	.14	+	7.00	1.56E-01	1.00E00
endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	5	1	.14	+	7.00	1.56E-01	1.00E00
oxo-acid-lyase activity (GO:0016833)	5	1	.14	+	7.00	1.56E-01	1.00E00
phosphatidylglycerol binding (GO:1901611)	5	1	.14	+	7.00	1.56E-01	1.00E00
interleukin-17 receptor activity (GO:0030368)	5	1	.14	+	7.00	1.56E-01	1.00E00
cobalamin binding (GO:0031419)	5	1	.14	+	7.00	1.56E-01	1.00E00
type II transforming growth factor beta receptor binding (GO:0005114)	5	1	.14	+	7.00	1.56E-01	1.00E00
serine-type exopeptidase activity (GO:0070008)	5	1	.14	+	7.00	1.56E-01	1.00E00
potassium channel inhibitor activity (GO:0019870)	5	1	.14	+	7.00	1.56E-01	1.00E00
glycosphingolipid binding (GO:0043208)	5	1	.14	+	7.00	1.56E-01	1.00E00
3'-5'-exodeoxyribonuclease activity (GO:0008296)	5	1	.14	+	7.00	1.56E-01	1.00E00
long-chain fatty acid binding (GO:0036041)	5	1	.14	+	7.00	1.56E-01	1.00E00
NEDD8-specific protease activity (GO:0019784)	5	1	.14	+	7.00	1.56E-01	1.00E00
dynactin binding (GO:0034452)	5	1	.14	+	7.00	1.56E-01	1.00E00
alpha-actinin binding (GO:0051393)	10	2	.29	+	7.00	4.22E-02	1.00E00
ubiquitin-protein transferase activator activity (GO:0097027)	5	1	.14	+	7.00	1.56E-01	1.00E00
STAT family protein binding (GO:0097677)	5	1	.14	+	7.00	1.56E-01	1.00E00
activin receptor activity, type I (GO:0016361)	5	1	.14	+	7.00	1.56E-01	1.00E00
acid-amino acid ligase activity (GO:0016881)	11	2	.31	+	6.37	4.90E-02	1.00E00
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	11	2	.31	+	6.37	4.90E-02	1.00E00
activin binding (GO:0048185)	11	2	.31	+	6.37	4.90E-02	1.00E00
peptide hormone binding (GO:0017046)	17	3	.49	+	6.18	1.70E-02	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	23	4	.66	+	6.09	6.14E-03	1.00E00
importin-alpha family protein binding (GO:0061676)	6	1	.17	+	5.83	1.79E-01	1.00E00
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	12	2	.34	+	5.83	5.61E-02	1.00E00
CARD domain binding (GO:0050700)	6	1	.17	+	5.83	1.79E-01	1.00E00
aminoacyltransferase activity (GO:0016755)	6	1	.17	+	5.83	1.79E-01	1.00E00
double-stranded telomeric DNA binding (GO:0003691)	6	1	.17	+	5.83	1.79E-01	1.00E00
diacylglycerol binding (GO:0019992)	6	1	.17	+	5.83	1.79E-01	1.00E00
Lys48-specific deubiquitinase activity (GO:1990380)	12	2	.34	+	5.83	5.61E-02	1.00E00
transforming growth factor beta binding (GO:0050431)	12	2	.34	+	5.83	5.61E-02	1.00E00
5'-nucleotidase activity (GO:0008253)	6	1	.17	+	5.83	1.79E-01	1.00E00
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	6	1	.17	+	5.83	1.79E-01	1.00E00
muscle alpha-actinin binding (GO:0051371)	6	1	.17	+	5.83	1.79E-01	1.00E00
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	26	4	.74	+	5.39	8.99E-03	1.00E00
lysophosphatidic acid acyltransferase activity (GO:0042171)	13	2	.37	+	5.39	6.36E-02	1.00E00
lysophospholipid acyltransferase activity (GO:0071617)	13	2	.37	+	5.39	6.36E-02	1.00E00
aminoacyl-tRNA editing activity (GO:0002161)	7	1	.20	+	5.00	2.02E-01	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	7	1	.20	+	5.00	2.02E-01	1.00E00
palmitoyl hydrolase activity (GO:0098599)	7	1	.20	+	5.00	2.02E-01	1.00E00
protein-membrane adaptor activity (GO:0043495)	7	1	.20	+	5.00	2.02E-01	1.00E00
protein kinase B binding (GO:0043422)	7	1	.20	+	5.00	2.02E-01	1.00E00
type I transforming growth factor beta receptor binding (GO:0034713)	7	1	.20	+	5.00	2.02E-01	1.00E00
siRNA binding (GO:0035197)	7	1	.20	+	5.00	2.02E-01	1.00E00
palmitoyl-(protein) hydrolase activity (GO:0008474)	7	1	.20	+	5.00	2.02E-01	1.00E00
fibroblast growth factor binding (GO:0017134)	7	1	.20	+	5.00	2.02E-01	1.00E00
sodium channel regulator activity (GO:0017080)	14	2	.40	+	5.00	7.14E-02	1.00E00
actinin binding (GO:0042805)	14	2	.40	+	5.00	7.14E-02	1.00E00
cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200)	7	1	.20	+	5.00	2.02E-01	1.00E00
activin-activated receptor activity (GO:0017002)	7	1	.20	+	5.00	2.02E-01	1.00E00
peptidase activator activity involved in apoptotic process (GO:0016505)	7	1	.20	+	5.00	2.02E-01	1.00E00
AP-2 adaptor complex binding (GO:0035612)	7	1	.20	+	5.00	2.02E-01	1.00E00
nucleotidase activity (GO:0008252)	7	1	.20	+	5.00	2.02E-01	1.00E00
extracellular matrix structural constituent conferring tensile strength (GO:0030020)	14	2	.40	+	5.00	7.14E-02	1.00E00
U1 snRNA binding (GO:0030619)	7	1	.20	+	5.00	2.02E-01	1.00E00
cullin family protein binding (GO:0097602)	14	2	.40	+	5.00	7.14E-02	1.00E00
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	15	2	.43	+	4.67	7.94E-02	1.00E00
acylglycerol O-acyltransferase activity (GO:0016411)	15	2	.43	+	4.67	7.94E-02	1.00E00
DNA-directed DNA polymerase activity (GO:0003887)	16	2	.46	+	4.38	8.78E-02	1.00E00
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	8	1	.23	+	4.38	2.24E-01	1.00E00
Lys63-specific deubiquitinase activity (GO:0061578)	8	1	.23	+	4.38	2.24E-01	1.00E00
protein disulfide isomerase activity (GO:0003756)	8	1	.23	+	4.38	2.24E-01	1.00E00
translation elongation factor activity (GO:0003746)	8	1	.23	+	4.38	2.24E-01	1.00E00
triglyceride lipase activity (GO:0004806)	8	1	.23	+	4.38	2.24E-01	1.00E00
nucleotide diphosphatase activity (GO:0004551)	8	1	.23	+	4.38	2.24E-01	1.00E00
dipeptidyl-peptidase activity (GO:0008239)	8	1	.23	+	4.38	2.24E-01	1.00E00
ubiquitin-protein transferase regulator activity (GO:0055106)	8	1	.23	+	4.38	2.24E-01	1.00E00
glucosidase activity (GO:0015926)	8	1	.23	+	4.38	2.24E-01	1.00E00
ceramide binding (GO:0097001)	8	1	.23	+	4.38	2.24E-01	1.00E00
retinoid X receptor binding (GO:0046965)	9	1	.26	+	3.89	2.46E-01	1.00E00
protein self-association (GO:0043621)	27	3	.77	+	3.89	4.94E-02	1.00E00
dopamine receptor binding (GO:0050780)	9	1	.26	+	3.89	2.46E-01	1.00E00
glycolipid binding (GO:0051861)	9	1	.26	+	3.89	2.46E-01	1.00E00
steroid dehydrogenase activity (GO:0016229)	18	2	.51	+	3.89	1.05E-01	1.00E00
coreceptor activity (GO:0015026)	9	1	.26	+	3.89	2.46E-01	1.00E00
G protein-coupled peptide receptor activity (GO:0008528)	18	2	.51	+	3.89	1.05E-01	1.00E00
MAP kinase kinase activity (GO:0004708)	9	1	.26	+	3.89	2.46E-01	1.00E00
phospholipid transfer activity (GO:0120014)	9	1	.26	+	3.89	2.46E-01	1.00E00
acyl-CoA dehydrogenase activity (GO:0003995)	9	1	.26	+	3.89	2.46E-01	1.00E00
ribosomal small subunit binding (GO:0043024)	9	1	.26	+	3.89	2.46E-01	1.00E00
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	29	3	.83	+	3.62	5.80E-02	1.00E00
snRNA binding (GO:0017069)	29	3	.83	+	3.62	5.80E-02	1.00E00
protein phosphatase activator activity (GO:0072542)	10	1	.29	+	3.50	2.67E-01	1.00E00
hormone binding (GO:0042562)	30	3	.86	+	3.50	6.26E-02	1.00E00
phosphatidic acid binding (GO:0070300)	10	1	.29	+	3.50	2.67E-01	1.00E00
peptide receptor activity (GO:0001653)	20	2	.57	+	3.50	1.23E-01	1.00E00
phosphatidylinositol-5-phosphate binding (GO:0010314)	10	1	.29	+	3.50	2.67E-01	1.00E00
P-type ion transporter activity (GO:0015662)	10	1	.29	+	3.50	2.67E-01	1.00E00
DNA secondary structure binding (GO:0000217)	20	2	.57	+	3.50	1.23E-01	1.00E00
P-type transmembrane transporter activity (GO:0140358)	10	1	.29	+	3.50	2.67E-01	1.00E00
potassium channel regulator activity (GO:0015459)	20	2	.57	+	3.50	1.23E-01	1.00E00
S-adenosyl-L-methionine binding (GO:1904047)	10	1	.29	+	3.50	2.67E-01	1.00E00
monocarboxylic acid binding (GO:0033293)	20	2	.57	+	3.50	1.23E-01	1.00E00
DNA polymerase activity (GO:0034061)	21	2	.60	+	3.33	1.33E-01	1.00E00
mRNA 3'-UTR AU-rich region binding (GO:0035925)	11	1	.31	+	3.18	2.87E-01	1.00E00
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	22	2	.63	+	3.18	1.42E-01	1.00E00
magnesium ion transmembrane transporter activity (GO:0015095)	11	1	.31	+	3.18	2.87E-01	1.00E00
3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	11	1	.31	+	3.18	2.87E-01	1.00E00
protein serine/threonine kinase inhibitor activity (GO:0030291)	11	1	.31	+	3.18	2.87E-01	1.00E00
structural constituent of nuclear pore (GO:0017056)	11	1	.31	+	3.18	2.87E-01	1.00E00
fatty acid binding (GO:0005504)	11	1	.31	+	3.18	2.87E-01	1.00E00
cis-trans isomerase activity (GO:0016859)	23	2	.66	+	3.04	1.52E-01	1.00E00
3'-5' exonuclease activity (GO:0008408)	35	3	1.00	+	3.00	8.76E-02	1.00E00
carboxylic ester hydrolase activity (GO:0052689)	59	5	1.69	+	2.97	3.19E-02	1.00E00
low-density lipoprotein particle receptor binding (GO:0050750)	12	1	.34	+	2.92	3.07E-01	1.00E00
exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	12	1	.34	+	2.92	3.07E-01	1.00E00
calcium-dependent protein kinase activity (GO:0010857)	12	1	.34	+	2.92	3.07E-01	1.00E00
metallocarboxypeptidase activity (GO:0004181)	12	1	.34	+	2.92	3.07E-01	1.00E00
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	12	1	.34	+	2.92	3.07E-01	1.00E00
sphingolipid binding (GO:0046625)	12	1	.34	+	2.92	3.07E-01	1.00E00
lysophospholipase activity (GO:0004622)	12	1	.34	+	2.92	3.07E-01	1.00E00
exodeoxyribonuclease activity (GO:0004529)	12	1	.34	+	2.92	3.07E-01	1.00E00
microfilament motor activity (GO:0000146)	12	1	.34	+	2.92	3.07E-01	1.00E00
ion channel inhibitor activity (GO:0008200)	12	1	.34	+	2.92	3.07E-01	1.00E00
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	12	1	.34	+	2.92	3.07E-01	1.00E00
p53 binding (GO:0002039)	37	3	1.06	+	2.84	9.87E-02	1.00E00
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	38	3	1.09	+	2.76	1.04E-01	1.00E00
transmembrane receptor protein kinase activity (GO:0019199)	39	3	1.11	+	2.69	1.10E-01	1.00E00
lipoprotein particle receptor binding (GO:0070325)	13	1	.37	+	2.69	3.26E-01	1.00E00
ATPase activator activity (GO:0001671)	13	1	.37	+	2.69	3.26E-01	1.00E00
channel inhibitor activity (GO:0016248)	13	1	.37	+	2.69	3.26E-01	1.00E00
cyclin-dependent protein kinase activity (GO:0097472)	13	1	.37	+	2.69	3.26E-01	1.00E00
cyclic-nucleotide phosphodiesterase activity (GO:0004112)	13	1	.37	+	2.69	3.26E-01	1.00E00
