




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	13_Adipose_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	13_Adipose_DeAndDiuGenes.txt (120)	13_Adipose_DeAndDiuGenes.txt (expected)	13_Adipose_DeAndDiuGenes.txt (over/under)	13_Adipose_DeAndDiuGenes.txt (fold Enrichment)	13_Adipose_DeAndDiuGenes.txt (raw P-value)	13_Adipose_DeAndDiuGenes.txt (FDR)
organelle outer membrane (GO:0031968)	120	8	2.02	+	3.97	1.21E-03	1.88E-01
motile cilium (GO:0031514)	75	5	1.26	+	3.97	1.02E-02	5.45E-01
outer membrane (GO:0019867)	121	8	2.03	+	3.93	1.27E-03	1.81E-01
sarcolemma (GO:0042383)	46	3	.77	+	3.88	4.68E-02	1.00E00
acrosomal vesicle (GO:0001669)	32	2	.54	+	3.72	1.08E-01	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	16	1	.27	+	3.72	2.47E-01	1.00E00
respiratory chain complex I (GO:0045271)	16	1	.27	+	3.72	2.47E-01	1.00E00
NADH dehydrogenase complex (GO:0030964)	16	1	.27	+	3.72	2.47E-01	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	16	1	.27	+	3.72	2.47E-01	1.00E00
mitochondrial respiratory chain complex I (GO:0005747)	16	1	.27	+	3.72	2.47E-01	1.00E00
filamentous actin (GO:0031941)	16	1	.27	+	3.72	2.47E-01	1.00E00
inner mitochondrial membrane protein complex (GO:0098800)	50	3	.84	+	3.57	5.68E-02	1.00E00
integral component of mitochondrial membrane (GO:0032592)	50	3	.84	+	3.57	5.68E-02	1.00E00
mitochondrial protein-containing complex (GO:0098798)	119	7	2.00	+	3.50	4.71E-03	3.23E-01
cytosolic ribosome (GO:0022626)	17	1	.29	+	3.50	2.59E-01	1.00E00
intrinsic component of mitochondrial membrane (GO:0098573)	52	3	.87	+	3.43	6.21E-02	1.00E00
microbody membrane (GO:0031903)	36	2	.60	+	3.31	1.30E-01	1.00E00
PcG protein complex (GO:0031519)	18	1	.30	+	3.31	2.72E-01	1.00E00
magnesium-dependent protein serine/threonine phosphatase complex (GO:0005963)	18	1	.30	+	3.31	2.72E-01	1.00E00
myosin complex (GO:0016459)	18	1	.30	+	3.31	2.72E-01	1.00E00
peroxisomal membrane (GO:0005778)	36	2	.60	+	3.31	1.30E-01	1.00E00
azurophil granule lumen (GO:0035578)	37	2	.62	+	3.22	1.35E-01	1.00E00
ficolin-1-rich granule lumen (GO:1904813)	56	3	.94	+	3.19	7.35E-02	1.00E00
lysosomal lumen (GO:0043202)	38	2	.64	+	3.13	1.41E-01	1.00E00
clathrin-coated pit (GO:0005905)	38	2	.64	+	3.13	1.41E-01	1.00E00
brush border (GO:0005903)	38	2	.64	+	3.13	1.41E-01	1.00E00
neuron projection membrane (GO:0032589)	19	1	.32	+	3.13	2.84E-01	1.00E00
microbody (GO:0042579)	76	4	1.28	+	3.13	4.29E-02	1.00E00
peroxisome (GO:0005777)	76	4	1.28	+	3.13	4.29E-02	1.00E00
neuron projection terminus (GO:0044306)	39	2	.66	+	3.05	1.47E-01	1.00E00
intercalated disc (GO:0014704)	20	1	.34	+	2.98	2.96E-01	1.00E00
inclusion body (GO:0016234)	41	2	.69	+	2.90	1.58E-01	1.00E00
postsynaptic membrane (GO:0045211)	62	3	1.04	+	2.88	9.21E-02	1.00E00
mitochondrial membrane (GO:0031966)	354	17	5.95	+	2.86	1.14E-04	3.93E-02
postsynaptic density membrane (GO:0098839)	21	1	.35	+	2.83	3.07E-01	1.00E00
calcium channel complex (GO:0034704)	21	1	.35	+	2.83	3.07E-01	1.00E00
mitochondrial envelope (GO:0005740)	380	18	6.38	+	2.82	8.35E-05	3.58E-02
endoplasmic reticulum lumen (GO:0005788)	129	6	2.17	+	2.77	2.40E-02	1.00E00
centriolar satellite (GO:0034451)	65	3	1.09	+	2.75	1.02E-01	1.00E00
core mediator complex (GO:0070847)	22	1	.37	+	2.71	3.19E-01	1.00E00
postsynaptic specialization membrane (GO:0099634)	22	1	.37	+	2.71	3.19E-01	1.00E00
mitochondrial matrix (GO:0005759)	265	12	4.45	+	2.70	1.99E-03	1.80E-01
mitochondrial inner membrane (GO:0005743)	223	10	3.75	+	2.67	5.04E-03	3.33E-01
site of double-strand break (GO:0035861)	45	2	.76	+	2.65	1.82E-01	1.00E00
cell body (GO:0044297)	183	8	3.07	+	2.60	1.35E-02	6.83E-01
vacuolar lumen (GO:0005775)	69	3	1.16	+	2.59	1.16E-01	1.00E00
intermediate filament (GO:0005882)	23	1	.39	+	2.59	3.30E-01	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	23	1	.39	+	2.59	3.30E-01	1.00E00
neuronal cell body (GO:0043025)	162	7	2.72	+	2.57	2.16E-02	9.49E-01
dendritic spine (GO:0043197)	71	3	1.19	+	2.51	1.23E-01	1.00E00
azurophil granule (GO:0042582)	71	3	1.19	+	2.51	1.23E-01	1.00E00
primary lysosome (GO:0005766)	71	3	1.19	+	2.51	1.23E-01	1.00E00
presynapse (GO:0098793)	170	7	2.86	+	2.45	2.70E-02	1.00E00
neuron spine (GO:0044309)	73	3	1.23	+	2.45	1.31E-01	1.00E00
synaptic membrane (GO:0097060)	100	4	1.68	+	2.38	9.29E-02	1.00E00
synaptic vesicle (GO:0008021)	76	3	1.28	+	2.35	1.42E-01	1.00E00
organelle inner membrane (GO:0019866)	255	10	4.28	+	2.33	1.20E-02	6.26E-01
filopodium (GO:0030175)	52	2	.87	+	2.29	2.24E-01	1.00E00
clathrin coat (GO:0030118)	26	1	.44	+	2.29	3.63E-01	1.00E00
growth cone (GO:0030426)	78	3	1.31	+	2.29	1.50E-01	1.00E00
nuclear ubiquitin ligase complex (GO:0000152)	26	1	.44	+	2.29	3.63E-01	1.00E00
ruffle membrane (GO:0032587)	52	2	.87	+	2.29	2.24E-01	1.00E00
actin filament (GO:0005884)	52	2	.87	+	2.29	2.24E-01	1.00E00
distal axon (GO:0150034)	106	4	1.78	+	2.25	1.08E-01	1.00E00
mitochondrion (GO:0005739)	823	31	13.83	+	2.24	1.88E-05	3.22E-02
leading edge membrane (GO:0031256)	80	3	1.34	+	2.23	1.58E-01	1.00E00
ficolin-1-rich granule (GO:0101002)	80	3	1.34	+	2.23	1.58E-01	1.00E00
site of polarized growth (GO:0030427)	81	3	1.36	+	2.20	1.61E-01	1.00E00
Z disc (GO:0030018)	54	2	.91	+	2.20	2.36E-01	1.00E00
polysome (GO:0005844)	27	1	.45	+	2.20	3.73E-01	1.00E00
cluster of actin-based cell projections (GO:0098862)	55	2	.92	+	2.16	2.43E-01	1.00E00
integral component of endoplasmic reticulum membrane (GO:0030176)	83	3	1.39	+	2.15	1.70E-01	1.00E00
exocytic vesicle (GO:0070382)	84	3	1.41	+	2.13	1.74E-01	1.00E00
myofibril (GO:0030016)	85	3	1.43	+	2.10	1.78E-01	1.00E00
site of DNA damage (GO:0090734)	57	2	.96	+	2.09	2.55E-01	1.00E00
mediator complex (GO:0016592)	29	1	.49	+	2.05	3.94E-01	1.00E00
sarcoplasmic reticulum (GO:0016529)	29	1	.49	+	2.05	3.94E-01	1.00E00
I band (GO:0031674)	58	2	.97	+	2.05	2.61E-01	1.00E00
envelope (GO:0031975)	613	21	10.30	+	2.04	1.69E-03	1.71E-01
organelle envelope (GO:0031967)	613	21	10.30	+	2.04	1.69E-03	1.61E-01
contractile fiber (GO:0043292)	88	3	1.48	+	2.03	1.90E-01	1.00E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	88	3	1.48	+	2.03	1.90E-01	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	30	1	.50	+	1.98	4.04E-01	1.00E00
phosphatase complex (GO:1903293)	30	1	.50	+	1.98	4.04E-01	1.00E00
azurophil granule membrane (GO:0035577)	30	1	.50	+	1.98	4.04E-01	1.00E00
supramolecular fiber (GO:0099512)	366	12	6.15	+	1.95	3.38E-02	1.00E00
postsynaptic density (GO:0014069)	122	4	2.05	+	1.95	1.55E-01	1.00E00
asymmetric synapse (GO:0032279)	122	4	2.05	+	1.95	1.55E-01	1.00E00
membrane raft (GO:0045121)	122	4	2.05	+	1.95	1.55E-01	1.00E00
supramolecular polymer (GO:0099081)	367	12	6.17	+	1.95	3.40E-02	1.00E00
membrane microdomain (GO:0098857)	123	4	2.07	+	1.94	1.58E-01	1.00E00
postsynaptic specialization (GO:0099572)	124	4	2.08	+	1.92	1.61E-01	1.00E00
polymeric cytoskeletal fiber (GO:0099513)	280	9	4.70	+	1.91	5.66E-02	1.00E00
early endosome (GO:0005769)	188	6	3.16	+	1.90	1.39E-01	1.00E00
sarcoplasm (GO:0016528)	32	1	.54	+	1.86	4.24E-01	1.00E00
phagocytic vesicle membrane (GO:0030670)	32	1	.54	+	1.86	4.24E-01	1.00E00
neuron to neuron synapse (GO:0098984)	128	4	2.15	+	1.86	1.74E-01	1.00E00
axon terminus (GO:0043679)	32	1	.54	+	1.86	4.24E-01	1.00E00
integral component of organelle membrane (GO:0031301)	193	6	3.24	+	1.85	1.46E-01	1.00E00
proteasome complex (GO:0000502)	33	1	.55	+	1.80	4.33E-01	1.00E00
extracellular space (GO:0005615)	1045	31	17.56	+	1.77	1.62E-03	1.73E-01
extracellular region (GO:0005576)	1288	38	21.64	+	1.76	3.13E-04	7.66E-02
cell-cell contact zone (GO:0044291)	34	1	.57	+	1.75	4.43E-01	1.00E00
intrinsic component of organelle membrane (GO:0031300)	205	6	3.44	+	1.74	1.64E-01	1.00E00
exocytic vesicle membrane (GO:0099501)	35	1	.59	+	1.70	4.52E-01	1.00E00
synaptic vesicle membrane (GO:0030672)	35	1	.59	+	1.70	4.52E-01	1.00E00
microtubule (GO:0005874)	211	6	3.55	+	1.69	1.75E-01	1.00E00
glutamatergic synapse (GO:0098978)	106	3	1.78	+	1.68	4.29E-01	1.00E00
dendritic tree (GO:0097447)	217	6	3.65	+	1.65	1.86E-01	1.00E00
dendrite (GO:0030425)	217	6	3.65	+	1.65	1.86E-01	1.00E00
caveola (GO:0005901)	38	1	.64	+	1.57	4.79E-01	1.00E00
intercellular bridge (GO:0045171)	38	1	.64	+	1.57	4.79E-01	1.00E00
secretory vesicle (GO:0099503)	382	10	6.42	+	1.56	1.52E-01	1.00E00
perikaryon (GO:0043204)	39	1	.66	+	1.53	4.87E-01	1.00E00
transmembrane transporter complex (GO:1902495)	78	2	1.31	+	1.53	3.82E-01	1.00E00
mitochondrial intermembrane space (GO:0005758)	39	1	.66	+	1.53	4.87E-01	1.00E00
cilium (GO:0005929)	275	7	4.62	+	1.51	2.34E-01	1.00E00
endoplasmic reticulum (GO:0005783)	868	22	14.58	+	1.51	4.85E-02	1.00E00
clathrin-coated vesicle (GO:0030136)	79	2	1.33	+	1.51	3.88E-01	1.00E00
sarcomere (GO:0030017)	79	2	1.33	+	1.51	3.88E-01	1.00E00
secretory granule (GO:0030141)	318	8	5.34	+	1.50	2.59E-01	1.00E00
extracellular exosome (GO:0070062)	798	20	13.41	+	1.49	7.83E-02	1.00E00
extracellular organelle (GO:0043230)	803	20	13.49	+	1.48	7.93E-02	1.00E00
extracellular vesicle (GO:1903561)	803	20	13.49	+	1.48	7.93E-02	1.00E00
extracellular membrane-bounded organelle (GO:0065010)	803	20	13.49	+	1.48	7.93E-02	1.00E00
cell leading edge (GO:0031252)	204	5	3.43	+	1.46	3.98E-01	1.00E00
postsynapse (GO:0098794)	204	5	3.43	+	1.46	3.98E-01	1.00E00
platelet alpha granule (GO:0031091)	41	1	.69	+	1.45	5.04E-01	1.00E00
axon (GO:0030424)	247	6	4.15	+	1.45	3.14E-01	1.00E00
lytic vacuole (GO:0000323)	331	8	5.56	+	1.44	2.73E-01	1.00E00
lysosome (GO:0005764)	331	8	5.56	+	1.44	2.73E-01	1.00E00
somatodendritic compartment (GO:0036477)	291	7	4.89	+	1.43	3.46E-01	1.00E00
early endosome membrane (GO:0031901)	84	2	1.41	+	1.42	6.54E-01	1.00E00
integral component of plasma membrane (GO:0005887)	422	10	7.09	+	1.41	2.43E-01	1.00E00
vacuole (GO:0005773)	384	9	6.45	+	1.39	3.05E-01	1.00E00
histone deacetylase complex (GO:0000118)	43	1	.72	+	1.38	5.21E-01	1.00E00
large ribosomal subunit (GO:0015934)	43	1	.72	+	1.38	5.21E-01	1.00E00
organelle envelope lumen (GO:0031970)	43	1	.72	+	1.38	5.21E-01	1.00E00
secretory granule membrane (GO:0030667)	129	3	2.17	+	1.38	4.82E-01	1.00E00
endocytic vesicle (GO:0030139)	130	3	2.18	+	1.37	4.84E-01	1.00E00
actin-based cell projection (GO:0098858)	87	2	1.46	+	1.37	6.59E-01	1.00E00
transporter complex (GO:1990351)	87	2	1.46	+	1.37	6.59E-01	1.00E00
synapse (GO:0045202)	438	10	7.36	+	1.36	3.34E-01	1.00E00
cell projection membrane (GO:0031253)	132	3	2.22	+	1.35	4.90E-01	1.00E00
secretory granule lumen (GO:0034774)	132	3	2.22	+	1.35	4.90E-01	1.00E00
plasma membrane raft (GO:0044853)	44	1	.74	+	1.35	5.29E-01	1.00E00
cell periphery (GO:0071944)	1849	42	31.07	+	1.35	2.75E-02	1.00E00
intrinsic component of plasma membrane (GO:0031226)	442	10	7.43	+	1.35	3.37E-01	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	133	3	2.23	+	1.34	4.93E-01	1.00E00
supramolecular complex (GO:0099080)	535	12	8.99	+	1.33	2.94E-01	1.00E00
vesicle lumen (GO:0031983)	134	3	2.25	+	1.33	4.95E-01	1.00E00
cation channel complex (GO:0034703)	45	1	.76	+	1.32	5.36E-01	1.00E00
basolateral plasma membrane (GO:0016323)	90	2	1.51	+	1.32	6.65E-01	1.00E00
vesicle (GO:0031982)	1554	34	26.11	+	1.30	9.43E-02	1.00E00
chromosome, telomeric region (GO:0000781)	92	2	1.55	+	1.29	6.69E-01	1.00E00
actin cytoskeleton (GO:0015629)	232	5	3.90	+	1.28	5.98E-01	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	140	3	2.35	+	1.28	5.12E-01	1.00E00
cell projection (GO:0042995)	890	19	14.95	+	1.27	2.66E-01	1.00E00
intrinsic component of membrane (GO:0031224)	1735	37	29.15	+	1.27	1.08E-01	1.00E00
integral component of membrane (GO:0016021)	1705	36	28.65	+	1.26	1.31E-01	1.00E00
chromosomal region (GO:0098687)	190	4	3.19	+	1.25	5.64E-01	1.00E00
axoneme (GO:0005930)	48	1	.81	+	1.24	5.59E-01	1.00E00
intermediate filament cytoskeleton (GO:0045111)	48	1	.81	+	1.24	5.59E-01	1.00E00
ciliary basal body (GO:0036064)	97	2	1.63	+	1.23	6.80E-01	1.00E00
microtubule organizing center (GO:0005815)	437	9	7.34	+	1.23	5.62E-01	1.00E00
