




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
protein kinase complex (GO:1902911)	63	3	1.80	+	1.67	4.32E-01	1.00E00
organelle envelope lumen (GO:0031970)	43	2	1.23	+	1.63	3.57E-01	1.00E00
receptor complex (GO:0043235)	132	6	3.77	+	1.59	2.84E-01	1.00E00
9+2 motile cilium (GO:0097729)	44	2	1.26	+	1.59	3.67E-01	1.00E00
core mediator complex (GO:0070847)	22	1	.63	+	1.59	4.77E-01	1.00E00
replication fork (GO:0005657)	44	2	1.26	+	1.59	3.67E-01	1.00E00
plasma membrane raft (GO:0044853)	44	2	1.26	+	1.59	3.67E-01	1.00E00
dynein complex (GO:0030286)	22	1	.63	+	1.59	4.77E-01	1.00E00
mitochondrion (GO:0005739)	823	37	23.51	+	1.57	5.63E-03	1.00E00
basal part of cell (GO:0045178)	112	5	3.20	+	1.56	2.61E-01	1.00E00
organellar ribosome (GO:0000313)	45	2	1.29	+	1.56	3.77E-01	1.00E00
mitochondrial ribosome (GO:0005761)	45	2	1.29	+	1.56	3.77E-01	1.00E00
phagophore assembly site (GO:0000407)	23	1	.66	+	1.52	4.92E-01	1.00E00
microtubule end (GO:1990752)	23	1	.66	+	1.52	4.92E-01	1.00E00
Sm-like protein family complex (GO:0120114)	46	2	1.31	+	1.52	3.87E-01	1.00E00
photoreceptor outer segment (GO:0001750)	23	1	.66	+	1.52	4.92E-01	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	23	1	.66	+	1.52	4.92E-01	1.00E00
transport vesicle (GO:0030133)	165	7	4.71	+	1.49	3.39E-01	1.00E00
mitochondrial protein-containing complex (GO:0098798)	119	5	3.40	+	1.47	3.97E-01	1.00E00
SAGA-type complex (GO:0070461)	24	1	.69	+	1.46	5.06E-01	1.00E00
ficolin-1-rich granule membrane (GO:0101003)	24	1	.69	+	1.46	5.06E-01	1.00E00
integral component of postsynaptic membrane (GO:0099055)	24	1	.69	+	1.46	5.06E-01	1.00E00
ciliary basal body (GO:0036064)	97	4	2.77	+	1.44	3.65E-01	1.00E00
nuclear periphery (GO:0034399)	73	3	2.09	+	1.44	4.70E-01	1.00E00
secretory granule (GO:0030141)	318	13	9.08	+	1.43	2.27E-01	1.00E00
vacuolar membrane (GO:0005774)	223	9	6.37	+	1.41	3.05E-01	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	149	6	4.26	+	1.41	3.28E-01	1.00E00
motile cilium (GO:0031514)	75	3	2.14	+	1.40	4.79E-01	1.00E00
lytic vacuole membrane (GO:0098852)	200	8	5.71	+	1.40	2.88E-01	1.00E00
SNARE complex (GO:0031201)	25	1	.71	+	1.40	5.20E-01	1.00E00
nuclear pore (GO:0005643)	50	2	1.43	+	1.40	6.56E-01	1.00E00
external encapsulating structure (GO:0030312)	175	7	5.00	+	1.40	3.56E-01	1.00E00
extracellular matrix (GO:0031012)	175	7	5.00	+	1.40	3.56E-01	1.00E00
catalytic step 2 spliceosome (GO:0071013)	50	2	1.43	+	1.40	6.56E-01	1.00E00
lysosomal membrane (GO:0005765)	200	8	5.71	+	1.40	2.88E-01	1.00E00
ruffle (GO:0001726)	101	4	2.88	+	1.39	5.39E-01	1.00E00
synaptic vesicle (GO:0008021)	76	3	2.17	+	1.38	4.83E-01	1.00E00
secretory vesicle (GO:0099503)	382	15	10.91	+	1.37	2.08E-01	1.00E00
spindle pole (GO:0000922)	102	4	2.91	+	1.37	5.41E-01	1.00E00
envelope (GO:0031975)	613	24	17.51	+	1.37	1.28E-01	1.00E00
organelle envelope (GO:0031967)	613	24	17.51	+	1.37	1.28E-01	1.00E00
endoplasmic reticulum lumen (GO:0005788)	129	5	3.68	+	1.36	4.24E-01	1.00E00
neuromuscular junction (GO:0031594)	26	1	.74	+	1.35	5.33E-01	1.00E00
ruffle membrane (GO:0032587)	52	2	1.49	+	1.35	6.62E-01	1.00E00
mitochondrial nucleoid (GO:0042645)	26	1	.74	+	1.35	5.33E-01	1.00E00
actin filament (GO:0005884)	52	2	1.49	+	1.35	6.62E-01	1.00E00
nucleoid (GO:0009295)	26	1	.74	+	1.35	5.33E-01	1.00E00
clathrin-coated vesicle (GO:0030136)	79	3	2.26	+	1.33	4.97E-01	1.00E00
sarcomere (GO:0030017)	79	3	2.26	+	1.33	4.97E-01	1.00E00
plasma membrane signaling receptor complex (GO:0098802)	53	2	1.51	+	1.32	6.66E-01	1.00E00
Z disc (GO:0030018)	54	2	1.54	+	1.30	6.69E-01	1.00E00
DNA repair complex (GO:1990391)	27	1	.77	+	1.30	5.46E-01	1.00E00
intrinsic component of postsynaptic membrane (GO:0098936)	27	1	.77	+	1.30	5.46E-01	1.00E00
early endosome membrane (GO:0031901)	84	3	2.40	+	1.25	7.35E-01	1.00E00
autophagosome membrane (GO:0000421)	28	1	.80	+	1.25	5.59E-01	1.00E00
exocytic vesicle (GO:0070382)	84	3	2.40	+	1.25	7.35E-01	1.00E00
platelet alpha granule lumen (GO:0031093)	28	1	.80	+	1.25	5.59E-01	1.00E00
myofibril (GO:0030016)	85	3	2.43	+	1.24	7.37E-01	1.00E00
nuclear body (GO:0016604)	484	17	13.82	+	1.23	3.96E-01	1.00E00
centrosome (GO:0005813)	342	12	9.77	+	1.23	4.10E-01	1.00E00
mediator complex (GO:0016592)	29	1	.83	+	1.21	5.71E-01	1.00E00
I band (GO:0031674)	58	2	1.66	+	1.21	6.83E-01	1.00E00
integral component of synaptic membrane (GO:0099699)	29	1	.83	+	1.21	5.71E-01	1.00E00
microtubule organizing center (GO:0005815)	437	15	12.48	+	1.20	4.59E-01	1.00E00
contractile fiber (GO:0043292)	88	3	2.51	+	1.19	7.41E-01	1.00E00
vacuole (GO:0005773)	384	13	10.97	+	1.19	5.28E-01	1.00E00
extracellular exosome (GO:0070062)	798	27	22.79	+	1.18	3.67E-01	1.00E00
extracellular organelle (GO:0043230)	803	27	22.94	+	1.18	3.69E-01	1.00E00
extracellular vesicle (GO:1903561)	803	27	22.94	+	1.18	3.69E-01	1.00E00
extracellular membrane-bounded organelle (GO:0065010)	803	27	22.94	+	1.18	3.69E-01	1.00E00
endoplasmic reticulum membrane (GO:0005789)	508	17	14.51	+	1.17	4.90E-01	1.00E00
anchored component of membrane (GO:0031225)	30	1	.86	+	1.17	5.83E-01	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	30	1	.86	+	1.17	5.83E-01	1.00E00
phosphatase complex (GO:1903293)	30	1	.86	+	1.17	5.83E-01	1.00E00
lytic vacuole (GO:0000323)	331	11	9.45	+	1.16	6.11E-01	1.00E00
lysosome (GO:0005764)	331	11	9.45	+	1.16	6.11E-01	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	512	17	14.62	+	1.16	4.92E-01	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	520	17	14.85	+	1.14	5.84E-01	1.00E00
organelle membrane (GO:0031090)	1633	53	46.64	+	1.14	3.11E-01	1.00E00
axon cytoplasm (GO:1904115)	31	1	.89	+	1.13	5.95E-01	1.00E00
endoplasmic reticulum (GO:0005783)	868	28	24.79	+	1.13	5.14E-01	1.00E00
vesicle (GO:0031982)	1554	50	44.39	+	1.13	3.45E-01	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	500	16	14.28	+	1.12	5.80E-01	1.00E00
vesicle membrane (GO:0012506)	510	16	14.57	+	1.10	6.79E-01	1.00E00
perinuclear region of cytoplasm (GO:0048471)	351	11	10.03	+	1.10	7.42E-01	1.00E00
acrosomal vesicle (GO:0001669)	32	1	.91	+	1.09	6.06E-01	1.00E00
sarcoplasm (GO:0016528)	32	1	.91	+	1.09	6.06E-01	1.00E00
coated vesicle (GO:0030135)	128	4	3.66	+	1.09	7.87E-01	1.00E00
cytoplasmic microtubule (GO:0005881)	32	1	.91	+	1.09	6.06E-01	1.00E00
spliceosomal snRNP complex (GO:0097525)	32	1	.91	+	1.09	6.06E-01	1.00E00
organellar large ribosomal subunit (GO:0000315)	32	1	.91	+	1.09	6.06E-01	1.00E00
cell division site (GO:0032153)	32	1	.91	+	1.09	6.06E-01	1.00E00
autophagosome (GO:0005776)	64	2	1.83	+	1.09	7.06E-01	1.00E00
mitochondrial large ribosomal subunit (GO:0005762)	32	1	.91	+	1.09	6.06E-01	1.00E00
spindle (GO:0005819)	226	7	6.46	+	1.08	8.38E-01	1.00E00
plasma membrane region (GO:0098590)	421	13	12.03	+	1.08	7.62E-01	1.00E00
endocytic vesicle (GO:0030139)	130	4	3.71	+	1.08	7.89E-01	1.00E00
nuclear speck (GO:0016607)	260	8	7.43	+	1.08	8.49E-01	1.00E00
recycling endosome membrane (GO:0055038)	33	1	.94	+	1.06	6.17E-01	1.00E00
bounding membrane of organelle (GO:0098588)	959	29	27.39	+	1.06	7.55E-01	1.00E00
cytoplasmic vesicle (GO:0031410)	1031	31	29.45	+	1.05	7.62E-01	1.00E00
intracellular vesicle (GO:0097708)	1033	31	29.51	+	1.05	7.62E-01	1.00E00
coated vesicle membrane (GO:0030662)	67	2	1.91	+	1.05	7.18E-01	1.00E00
cytosol (GO:0005829)	2685	80	76.69	+	1.04	6.60E-01	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	5341	159	152.56	+	1.04	3.27E-01	1.00E00
cytoplasm (GO:0005737)	5218	155	149.04	+	1.04	3.79E-01	1.00E00
organelle lumen (GO:0043233)	2863	85	81.78	+	1.04	6.64E-01	1.00E00
intracellular organelle lumen (GO:0070013)	2863	85	81.78	+	1.04	6.64E-01	1.00E00
membrane-enclosed lumen (GO:0031974)	2863	85	81.78	+	1.04	6.64E-01	1.00E00
nucleolus (GO:0005730)	539	16	15.40	+	1.04	8.93E-01	1.00E00
membrane-bounded organelle (GO:0043227)	5660	168	161.67	+	1.04	3.34E-01	1.00E00
extracellular space (GO:0005615)	1045	31	29.85	+	1.04	8.41E-01	1.00E00
organelle subcompartment (GO:0031984)	675	20	19.28	+	1.04	8.09E-01	1.00E00
Unclassified (UNCLASSIFIED)	237	7	6.77	+	1.03	8.43E-01	1.00E00
intracellular organelle (GO:0043229)	5725	169	163.53	+	1.03	3.73E-01	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	34	1	.97	+	1.03	1.00E00	1.00E00
intrinsic component of plasma membrane (GO:0031226)	442	13	12.63	+	1.03	8.83E-01	1.00E00
intrinsic component of synaptic membrane (GO:0099240)	34	1	.97	+	1.03	1.00E00	1.00E00
organelle (GO:0043226)	5929	173	169.35	+	1.02	5.70E-01	1.00E00
external side of plasma membrane (GO:0009897)	103	3	2.94	+	1.02	7.70E-01	1.00E00
cilium (GO:0005929)	275	8	7.85	+	1.02	8.54E-01	1.00E00
intracellular anatomical structure (GO:0005622)	6314	181	180.35	+	1.00	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	35	1	1.00	+	1.00	1.00E00	1.00E00
cellular anatomical entity (GO:0110165)	6869	196	196.20	-	1.00	8.53E-01	1.00E00
cellular_component (GO:0005575)	6905	197	197.23	-	1.00	8.43E-01	1.00E00
integral component of plasma membrane (GO:0005887)	422	12	12.05	-	1.00	1.00E00	1.00E00
