#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
ACOX1	ACOX1	Not DIU	0.14064	NO		412.42	388.87	297.6
ACOX3	ACOX3	Not DIU	0.97928	NO		160.5	209.54	152.01
ACSF3	ACSF3	Not DIU	0.67936	NO		144.03	152.01	69.35
ACSL3	ACSL3	Not DIU	0.69751	NO		182.5	179.01	176.05
ACSL4	ACSL4	Not DIU	0.097586	YES	1,3	678.1	592.02	459.52
ACSL6	ACSL6	Not DIU	0.8498	YES	1,2,3	171.98	171.58	130.89
ACSM5	ACSM5	Not DIU	0.32867	YES	2,3	190.76	182.73	47.46
ACSS2	ACSS2	Not DIU	0.75864	NO		1210.83	1439.66	814.69
ACSS3	ACSS3	Not DIU	0.43816	YES	3	104.16	124.79	90.86
ACTG1	ACTG1	Not DIU	0.081195	NO		1878.68	1221.77	1708.96
ACTL6A	ACTL6A	Not DIU	0.6913	NO		72.16	85.72	80.3
ACTN1	ACTN1	Not DIU	0.55882	YES	1	167.99	63.58	102.05
ACTN2	ACTN2	Not DIU	0.50537	NO		55021.48	63857.02	53879.41
ACTN3	ACTN3	Not DIU	0.99962	NO		13040.41	6973.26	11983.57
ACTN4	ACTN4	Not DIU	0.92827	NO		437.79	286.56	397.49
ACTR10	ACTR10	Not DIU	0.64234	NO		425.37	506.8	415.43
ACTR3	ACTR3	Not DIU	0.53005	NO		350.6	330.29	323.29
ACTR3B	ACTR3B	Not DIU	0.40056	NO		176.74	200.28	171.94
ACTR8	ACTR8	Not DIU	0.99945	YES	1	418.49	491.39	465.25
ACVR1	ACVR1	Not DIU	0.055617	NO		76.65	50.67	64.48
ACVRL1	ACVRL1	Not DIU	0.99347	YES	2	149.0	118.34	108.65
ADAL	ADAL	Not DIU	0.34448	NO		123.64	114.98	92.37
ADAM10	ADAM10	Not DIU	0.22458	YES	1	257.21	255.47	240.9
ADAM15	ADAM15	Not DIU	0.61291	YES	2,3	194.45	161.27	192.25
ADAM22	ADAM22	Not DIU	0.95322	NO		137.23	90.09	93.44
ADAM9	ADAM9	Not DIU	0.97928	NO		480.75	487.01	317.87
ADAMTS1	ADAMTS1	Not DIU	0.46932	NO		103.4	89.39	106.64
ADAMTSL4	ADAMTSL4	Not DIU	0.471	NO		159.82	169.06	103.43
ADAMTSL5	ADAMTSL5	Not DIU	0.90516	NO		293.51	373.79	259.79
ADAP2	ADAP2	DIU	0.018897	YES	1,2	57.52	52.76	55.79
ADAR	ADAR	Not DIU	0.14359	YES	3	125.61	82.69	112.5
ADCY6	ADCY6	DIU	0.03875	YES	3	76.6	49.96	61.13
ADCY9	ADCY9	Not DIU	0.93194	NO		1605.98	1637.26	1563.38
ADD1	ADD1	Not DIU	0.43879	NO		787.32	774.84	640.92
ADD3	ADD3	Not DIU	0.99945	NO		212.99	126.64	239.23
ADGRA3	ADGRA3	Not DIU	0.57874	NO		931.69	1062.49	1117.3
ADGRD1	ADGRD1	Not DIU	0.41278	NO		93.12	67.93	102.36
ADGRE5	ADGRE5	Not DIU	0.49058	YES	1	48.07	37.9	56.5
ADGRG1	ADGRG1	Not DIU	0.80529	YES	3	182.63	144.28	109.84
ADGRL2	ADGRL2	Not DIU	0.52156	NO		181.31	180.94	135.12
ADHFE1	ADHFE1	Not DIU	0.77676	NO		41.07	61.3	30.47
ADIPOR1	ADIPOR1	Not DIU	0.78222	NO		874.91	1212.13	1051.33
ADK	ADK	Not DIU	0.40024	YES	1	467.52	378.61	184.51
ADNP	ADNP	Not DIU	0.92816	NO		211.14	183.38	212.02
ADNP2	ADNP2	Not DIU	0.49243	NO		109.26	82.01	126.08
ADPGK	ADPGK	Not DIU	0.065546	YES	1	97.09	80.63	93.73
ADPRH	ADPRH	Not DIU	0.81369	NO		149.31	136.59	116.22
ADPRHL1	ADPRHL1	Not DIU	0.94525	NO		1202.05	1203.33	2026.5
ADRM1	ADRM1	Not DIU	0.75227	NO		1663.19	1875.98	1715.2
ADSS	ADSS	Not DIU	0.91482	YES	2	80.28	52.14	101.69
AEBP2	AEBP2	Not DIU	0.58184	NO		202.65	204.25	265.12
AEN	AEN	Not DIU	0.06686	NO		87.61	75.17	83.12
AFAP1	AFAP1	Not DIU	0.99945	NO		73.67	70.64	99.97
AFAP1L1	AFAP1L1	Not DIU	0.38231	NO		198.67	94.74	121.38
AFDN	AFDN	DIU	0.026574	NO		463.82	417.9	449.17
AFF1	AFF1	Not DIU	0.58195	NO		607.25	562.17	601.5
AFG1L	AFG1L	Not DIU	0.13306	YES	3	39.16	73.67	40.31
AFG3L2	AFG3L2	Not DIU	0.99945	NO		1889.49	1920.5	2085.47
AFTPH	AFTPH	Not DIU	0.89229	NO		410.6	373.35	441.41
AGAP1	AGAP1	Not DIU	0.4773	NO		143.08	106.81	167.01
AGAP2	AGAP2	DIU	0.014397	YES	1	85.73	66.21	60.34
AGAP3	AGAP3	Not DIU	0.87063	NO		242.38	205.47	236.78
AGGF1	AGGF1	Not DIU	0.5177	NO		245.73	247.39	250.8
AGK	AGK	Not DIU	0.61945	NO		85.84	89.27	81.71
AGL	AGL	Not DIU	0.42507	NO		12495.76	11095.86	8132.79
AGPAT1	AGPAT1	DIU	0.048501	NO		176.78	224.66	104.26
AGPAT2	AGPAT2	Not DIU	0.62468	NO		89.74	122.5	78.07
AGPAT3	AGPAT3	Not DIU	0.85997	NO		221.58	174.42	91.01
AGPS	AGPS	Not DIU	0.63293	NO		480.27	490.62	503.1
AGT	AGT	Not DIU	0.3802	YES	1,3	67.27	46.35	67.99
AGTPBP1	AGTPBP1	Not DIU	0.4026	NO		238.97	171.9	251.06
AGTR1	AGTR1	Not DIU	0.30556	NO		52.65	49.27	18.34
AGTRAP	AGTRAP	Not DIU	0.78121	YES	1	86.93	78.21	92.06
AHCTF1	AHCTF1	Not DIU	0.3802	NO		537.52	592.17	519.77
AHCYL1	AHCYL1	Not DIU	0.74444	NO		554.46	408.51	421.4
AHCYL2	AHCYL2	Not DIU	0.20457	NO		666.91	615.09	1010.35
AHI1	AHI1	Not DIU	0.80032	NO		305.3	372.36	317.79
AHR	AHR	Not DIU	0.53522	NO		212.42	166.41	188.05
AIFM2	AIFM2	Not DIU	0.79314	NO		257.34	295.47	187.3
AIG1	AIG1	Not DIU	0.69399	NO		189.74	164.41	141.23
AIMP2	AIMP2	Not DIU	0.70618	NO		427.02	466.05	351.45
AIP	AIP	Not DIU	0.82704	NO		240.22	220.4	163.09
AK2	AK2	Not DIU	0.9788	YES	1,2	323.5	319.53	258.26
AK4	AK4	Not DIU	0.56575	NO		231.98	117.78	140.67
AKAP1	AKAP1	Not DIU	0.57884	YES	2	1999.41	2673.89	1876.05
AKAP11	AKAP11	Not DIU	0.97575	YES	2	164.84	113.7	194.03
AKAP13	AKAP13	Not DIU	0.82704	NO		1145.86	1059.34	1174.82
AKAP17A	AKAP17A	Not DIU	0.89223	NO		76.92	61.01	75.86
AKAP2	AKAP2	Not DIU	0.80334	NO		743.84	537.59	532.42
AKAP7	AKAP7	Not DIU	0.11668	YES	1,2	61.6	67.0	71.4
AKAP9	AKAP9	Not DIU	0.33389	YES	1,2,3	1767.19	1721.53	1409.71
AKIP1	AKIP1	Not DIU	0.37063	YES	1	179.32	174.12	200.71
AKR1A1	AKR1A1	Not DIU	0.76902	NO		188.3	186.89	142.68
AKT1S1	AKT1S1	Not DIU	0.35102	NO		391.75	361.12	265.25
AKT2	AKT2	DIU	0.017141	YES	3	556.41	546.05	688.71
AKT3	AKT3	Not DIU	0.63625	NO		201.44	124.57	153.19
AKTIP	AKTIP	Not DIU	0.56299	NO		692.3	688.26	577.66
ALAD	ALAD	DIU	1.131E-5	NO		159.64	191.21	204.59
ALB	ALB	Not DIU	0.071114	YES	3	82.65	111.56	68.6
ALDH1A1	ALDH1A1	Not DIU	0.61767	NO		2602.01	2754.41	2097.25
ALDH1L1	ALDH1L1	Not DIU	0.065896	NO		1151.09	1137.06	128.47
ALDH2	ALDH2	Not DIU	0.74471	NO		1152.0	1171.06	1834.62
ALDH3A2	ALDH3A2	DIU	8.7832E-10	YES	1	304.02	319.5	298.3
ALDH4A1	ALDH4A1	Not DIU	0.99646	YES	1	389.28	627.18	193.67
ALDH7A1	ALDH7A1	DIU	8.2786E-4	NO		297.26	347.58	228.2
ALDH9A1	ALDH9A1	Not DIU	0.33389	NO		434.74	445.61	368.11
ALDOA	ALDOA	Not DIU	0.99945	NO		140524.29	109451.81	129534.04
ALG12	ALG12	Not DIU	0.42713	NO		51.9	44.35	40.6
ALG2	ALG2	Not DIU	0.36246	NO		51.85	38.58	40.53
ALG6	ALG6	Not DIU	0.61083	NO		57.22	63.7	67.36
ALG9	ALG9	Not DIU	0.70646	YES	3	27.9	29.75	40.33
ALKBH5	ALKBH5	Not DIU	0.86171	NO		2637.75	2686.76	2288.06
ALMS1	ALMS1	Not DIU	0.79643	NO		278.65	230.43	357.8
ALS2	ALS2	Not DIU	0.32847	NO		680.57	742.02	654.4
AMBRA1	AMBRA1	Not DIU	0.20753	NO		166.69	183.69	172.33
AMD1	AMD1	Not DIU	0.9604	NO		368.01	430.57	491.4
AMIGO1	AMIGO1	Not DIU	0.97028	NO		735.21	699.86	830.18
AMOTL1	AMOTL1	Not DIU	0.59661	NO		2469.59	1930.75	2437.53
AMOTL2	AMOTL2	Not DIU	0.85301	NO		187.54	126.56	230.22
AMPD1	AMPD1	Not DIU	0.68962	NO		4566.98	3571.67	4750.87
AMPD3	AMPD3	Not DIU	0.79041	NO		77.73	228.95	63.23
AMZ2	AMZ2	Not DIU	0.84636	NO		301.45	312.68	289.39
ANAPC13	ANAPC13	Not DIU	0.63116	YES	1	584.02	624.31	659.22
ANAPC16	ANAPC16	Not DIU	0.81519	NO		255.58	225.63	320.28
ANAPC7	ANAPC7	Not DIU	0.92699	NO		176.94	191.48	162.87
ANGEL2	ANGEL2	Not DIU	0.72792	NO		98.25	113.46	103.02
ANGPT4	ANGPT4	Not DIU	0.082686	NO		47.36	40.94	64.33
ANK2	ANK2	Not DIU	0.15582	NO		1584.2	1574.54	1557.73
ANK3	ANK3	Not DIU	0.23289	NO		919.44	1045.32	863.01
ANKFY1	ANKFY1	Not DIU	0.16262	NO		351.17	308.05	359.31
ANKIB1	ANKIB1	Not DIU	0.75566	NO		314.38	300.57	265.0
ANKLE2	ANKLE2	Not DIU	0.23495	NO		407.96	435.58	429.82
ANKRA2	ANKRA2	Not DIU	0.28065	NO		89.12	112.11	125.94
ANKRD11	ANKRD11	DIU	0.025322	NO		276.7	260.28	355.42
ANKRD12	ANKRD12	Not DIU	0.702	NO		195.53	180.05	311.64
ANKRD13C	ANKRD13C	Not DIU	0.59901	NO		175.53	154.48	130.89
ANKRD17	ANKRD17	Not DIU	0.9951	NO		581.4	627.71	656.58
ANKRD28	ANKRD28	Not DIU	0.64732	NO		887.16	647.44	629.02
ANKRD33B	ANKRD33B	Not DIU	0.99083	NO		246.51	226.17	161.17
ANKRD39	ANKRD39	DIU	9.6631E-4	NO		17091.32	17212.56	23111.26
ANKRD46	ANKRD46	Not DIU	0.47955	YES	1	213.71	235.94	226.26
ANKS1A	ANKS1A	Not DIU	0.25925	NO		151.56	113.72	140.82
ANO10	ANO10	Not DIU	0.96273	NO		190.42	137.02	194.25
ANO2	ANO2	Not DIU	0.35598	NO		165.36	262.13	212.21
ANO5	ANO5	Not DIU	0.951	NO		2238.71	2298.49	2171.9
ANO6	ANO6	Not DIU	0.96661	NO		1025.25	1021.35	1109.87
ANOS1	ANOS1	Not DIU	0.98785	NO		70.41	66.1	41.66
ANP32E	ANP32E	Not DIU	0.78395	NO		452.26	395.29	565.88
ANTXR2	ANTXR2	Not DIU	0.81742	NO		331.68	229.62	261.6
ANXA1	ANXA1	Not DIU	0.98048	NO		524.04	362.94	494.81
ANXA11	ANXA11	Not DIU	0.9951	NO		1300.55	1545.6	1292.15
ANXA4	ANXA4	Not DIU	0.9012	NO		290.16	285.37	325.29
ANXA6	ANXA6	Not DIU	0.54228	NO		2020.51	2084.37	1393.76
AP1B1	AP1B1	Not DIU	0.21359	YES	1,3	495.41	491.49	473.46
AP1G1	AP1G1	Not DIU	0.82437	NO		262.29	264.9	255.35
AP1S2	AP1S2	Not DIU	0.15618	NO		401.55	399.77	403.37
AP2A2	AP2A2	Not DIU	0.81478	NO		516.71	530.73	473.02
AP2B1	AP2B1	Not DIU	0.81519	NO		572.25	481.91	709.09
AP3B1	AP3B1	DIU	4.3472E-8	NO		247.93	166.53	158.42
AP3M1	AP3M1	Not DIU	0.95586	YES	1,2	103.77	102.24	105.5
AP4B1	AP4B1	Not DIU	0.2404	YES	2	167.62	172.24	142.3
AP4S1	AP4S1	Not DIU	0.32482	NO		86.96	109.57	97.56
AP5M1	AP5M1	Not DIU	0.71446	YES	1	69.43	66.69	60.63
AP5Z1	AP5Z1	Not DIU	0.22458	YES	3	44.43	27.93	46.98
APBA3	APBA3	Not DIU	0.77863	NO		71.66	64.98	45.73
APBB2	APBB2	Not DIU	0.43889	NO		407.99	346.07	310.69
APEH	APEH	Not DIU	0.22025	NO		535.92	558.03	501.51
APEX2	APEX2	Not DIU	0.13102	NO		87.4	87.07	87.76
APH1A	APH1A	DIU	0.0054031	NO		159.25	173.61	163.86
API5	API5	Not DIU	0.9951	YES	1,2	389.74	439.45	561.23
APIP	APIP	Not DIU	0.99768	NO		196.28	233.26	203.96
APLNR	APLNR	Not DIU	0.96965	NO		135.28	83.23	64.26
APLP2	APLP2	Not DIU	0.82704	NO		1116.08	1086.77	1128.7
APMAP	APMAP	Not DIU	0.53815	NO		118.54	106.03	107.69
APOA1	APOA1	Not DIU	0.61944	NO		170.19	138.11	77.83
APOD	APOD	Not DIU	0.32123	YES	3	195.68	113.3	140.2
APOL6	APOL6	Not DIU	0.88734	NO		116.49	82.47	81.22
APOLD1	APOLD1	Not DIU	0.89683	NO		65.55	86.19	121.65
APP	APP	Not DIU	0.051439	NO		432.67	250.74	316.67
APPBP2	APPBP2	DIU	4.1713E-13	YES	2	260.95	232.86	230.98
APPL1	APPL1	DIU	0.016032	YES	3	1193.09	1244.64	1242.32
APPL2	APPL2	Not DIU	0.11656	YES	1,2	630.88	747.76	660.03
AQP7	AQP7	Not DIU	0.37555	NO		480.62	1137.08	771.48
ARAP1	ARAP1	Not DIU	0.53662	NO		130.73	83.4	95.87
ARAP3	ARAP3	Not DIU	0.054223	YES	1,3	35.03	57.47	18.67
AREL1	AREL1	Not DIU	0.45158	NO		245.39	283.01	288.51
ARF3	ARF3	Not DIU	0.44912	YES	2,3	103.84	101.05	97.39
ARF4	ARF4	Not DIU	0.23338	NO		415.07	420.12	410.66
ARFGAP1	ARFGAP1	Not DIU	0.99083	NO		170.38	187.33	192.29
ARFIP1	ARFIP1	Not DIU	0.47999	YES	2,3	62.0	54.84	52.93
ARGLU1	ARGLU1	Not DIU	0.4889	NO		215.3	172.99	222.8
ARHGAP10	ARHGAP10	Not DIU	0.34448	NO		363.49	335.63	363.26
ARHGAP12	ARHGAP12	Not DIU	0.99537	YES	3	199.69	229.63	272.75
ARHGAP18	ARHGAP18	Not DIU	0.63625	NO		245.29	193.62	179.27
ARHGAP20	ARHGAP20	Not DIU	0.50537	NO		121.82	120.51	152.66
ARHGAP21	ARHGAP21	Not DIU	0.64234	NO		549.37	464.59	467.55
ARHGAP24	ARHGAP24	Not DIU	0.99083	YES	2	379.58	462.8	279.17
ARHGAP29	ARHGAP29	Not DIU	0.45158	NO		389.2	252.32	299.5
ARHGAP44	ARHGAP44	Not DIU	0.97847	NO		91.98	39.42	30.72
ARHGAP5	ARHGAP5	Not DIU	0.46727	NO		1088.16	1088.44	1282.09
ARHGDIA	ARHGDIA	Not DIU	0.78318	NO		287.25	261.28	296.56
ARHGEF10	ARHGEF10	DIU	8.1773E-4	NO		54.23	21.22	44.84
ARHGEF10L	ARHGEF10L	Not DIU	0.67565	NO		660.65	617.62	458.11
ARHGEF11	ARHGEF11	Not DIU	0.58678	NO		114.14	145.52	150.98
ARHGEF12	ARHGEF12	Not DIU	0.6735	NO		1084.62	1051.03	1033.56
ARHGEF2	ARHGEF2	Not DIU	0.26656	YES	1	129.84	88.54	133.02
ARHGEF28	ARHGEF28	Not DIU	0.91201	NO		193.58	167.78	90.68
ARHGEF37	ARHGEF37	Not DIU	0.77278	YES	1	29.97	62.59	47.7
ARHGEF6	ARHGEF6	Not DIU	0.062769	YES	3	337.58	272.75	314.62
ARHGEF7	ARHGEF7	DIU	6.4534E-9	NO		713.29	741.38	738.54
ARID1A	ARID1A	Not DIU	0.81519	NO		161.09	127.48	203.87
ARID1B	ARID1B	DIU	0.0074716	NO		352.48	316.97	400.22
ARID2	ARID2	Not DIU	0.15107	NO		267.04	292.8	275.35
ARID4A	ARID4A	Not DIU	0.58184	NO		164.52	150.15	211.35
ARID4B	ARID4B	Not DIU	0.31048	YES	1,3	179.12	197.95	193.68
ARID5A	ARID5A	Not DIU	0.33006	YES	3	105.29	130.74	116.55
ARIH1	ARIH1	Not DIU	0.961	YES	3	691.97	670.11	630.63
ARIH2	ARIH2	Not DIU	0.98638	NO		902.34	1054.37	1022.87
ARL10	ARL10	Not DIU	0.059364	YES	1,2	293.18	285.65	439.13
ARL13B	ARL13B	Not DIU	0.67936	YES	1,2	38.36	38.32	40.37
ARL2BP	ARL2BP	Not DIU	0.14761	YES	3	169.94	148.47	209.02
ARL4A	ARL4A	Not DIU	0.76486	NO		42.0	38.14	48.78
ARL6IP5	ARL6IP5	Not DIU	0.92981	YES	1	726.22	687.83	721.51
ARL8A	ARL8A	Not DIU	0.36192	NO		50.81	54.07	81.22
ARL8B	ARL8B	Not DIU	0.77676	NO		293.79	316.86	334.38
ARMC8	ARMC8	Not DIU	0.87762	NO		499.61	522.65	469.65
ARMCX3	ARMCX3	Not DIU	0.85301	NO		441.42	320.16	571.94
ARMH3	ARMH3	Not DIU	0.78661	NO		118.03	112.55	116.61
ARMT1	ARMT1	Not DIU	0.19703	NO		498.5	622.13	430.1
ARNT	ARNT	Not DIU	0.82437	NO		553.27	519.85	513.97
ARNTL	ARNTL	Not DIU	0.39135	YES	3	17.0	12.42	41.43
ARPP19	ARPP19	Not DIU	0.84555	NO		2399.89	2309.01	2422.86
ARPP21	ARPP21	DIU	5.0188E-4	NO		466.23	478.41	522.42
ARRB1	ARRB1	DIU	0.012885	NO		132.71	74.98	116.15
ARRDC3	ARRDC3	Not DIU	0.63198	NO		521.96	564.21	375.75
ARSA	ARSA	Not DIU	0.98369	NO		50.12	55.65	33.67
ARSB	ARSB	Not DIU	0.097586	NO		108.57	72.32	87.64
ART5	ART5	Not DIU	0.93522	NO		83.94	130.39	147.76
ARVCF	ARVCF	Not DIU	0.2548	NO		116.36	89.74	162.95
ASAH1	ASAH1	Not DIU	0.43603	NO		302.39	297.25	250.98
ASAP1	ASAP1	Not DIU	0.65108	YES	3	70.7	47.87	80.9
ASAP2	ASAP2	Not DIU	0.18171	YES	1	100.49	49.07	68.23
ASB1	ASB1	Not DIU	0.78121	NO		369.83	396.19	395.73
ASB10	ASB10	Not DIU	0.78019	YES	1,2	242.36	254.37	234.89
ASB14	ASB14	Not DIU	0.79214	NO		471.6	565.23	566.69
ASB15	ASB15	DIU	4.2023E-4	YES	1,2	280.58	226.3	364.0
ASB3	ASB3	Not DIU	0.6569	YES	1	74.85	65.48	88.69
ASB4	ASB4	Not DIU	0.26612	NO		249.47	315.22	241.42
ASB6	ASB6	Not DIU	0.98785	NO		139.75	129.2	165.06
ASCC2	ASCC2	Not DIU	0.29777	YES	2	537.43	589.8	550.38
ASDURF	ASDURF	Not DIU	0.93012	NO		87.42	107.29	88.63
ASF1A	ASF1A	Not DIU	0.77535	NO		95.21	113.45	98.56
ASH1L	ASH1L	Not DIU	0.089832	YES	2	847.18	802.65	1130.6
ASPA	ASPA	Not DIU	0.38029	YES	3	58.02	45.17	38.67
ASPH	ASPH	Not DIU	0.83606	NO		1772.26	1490.25	2021.06
ASPRV1	ASPRV1	Not DIU	0.71755	NO		50.79	42.67	56.69
ASPSCR1	ASPSCR1	Not DIU	0.83052	YES	3	1184.76	1288.12	976.96
ASXL1	ASXL1	Not DIU	0.94466	NO		82.23	74.59	85.25
ATE1	ATE1	Not DIU	0.37767	NO		194.4	199.96	252.52
ATF1	ATF1	DIU	0.0083374	NO		288.18	317.04	312.34
ATF2	ATF2	Not DIU	0.3384	YES	1,2,3	171.71	167.09	184.29
ATF6	ATF6	Not DIU	0.85301	NO		360.24	407.8	341.58
ATF7	ATF7	Not DIU	0.43616	YES	3	60.95	38.95	64.52
ATF7IP	ATF7IP	Not DIU	0.3433	YES	2	361.22	403.69	302.04
ATG12	ATG12	Not DIU	0.23006	NO		181.17	180.07	183.93
ATG13	ATG13	Not DIU	0.30541	YES	1	181.98	279.26	153.95
ATG14	ATG14	DIU	0.0091009	NO		180.9	172.99	195.51
ATG2A	ATG2A	Not DIU	0.49243	YES	3	122.67	115.39	133.8
ATG4A	ATG4A	Not DIU	0.31285	YES	3	373.71	362.48	353.86
ATG5	ATG5	Not DIU	0.37555	YES	1	189.78	217.36	202.42
ATG7	ATG7	Not DIU	0.15436	NO		40.78	51.89	60.34
ATG9A	ATG9A	DIU	6.3078E-4	NO		647.9	765.61	562.48
ATL2	ATL2	Not DIU	0.8137	NO		832.68	835.95	769.25
ATL3	ATL3	Not DIU	0.99083	NO		241.43	179.47	250.37
ATMIN	ATMIN	Not DIU	0.33766	NO		775.54	807.86	771.97
ATN1	ATN1	Not DIU	0.26427	NO		54.72	34.27	65.17
ATOH8	ATOH8	Not DIU	0.92981	NO		89.13	80.64	47.86
ATP11A	ATP11A	Not DIU	0.85093	YES	2	164.58	113.16	148.56
ATP11B	ATP11B	Not DIU	0.56408	YES	1	639.14	604.69	608.67
ATP11C	ATP11C	Not DIU	0.36466	NO		71.17	45.6	93.6
ATP13A2	ATP13A2	Not DIU	0.14931	YES	2,3	46.73	12.7	25.32
ATP1B2	ATP1B2	Not DIU	0.95482	YES	1	144.97	86.99	188.54
ATP1B3	ATP1B3	Not DIU	0.18276	YES	1,2	58.13	45.91	60.38
ATP2A1	ATP2A1	Not DIU	0.99945	YES	2,3	21620.24	9582.95	9048.47
ATP2B1	ATP2B1	Not DIU	0.61878	NO		1104.22	1005.89	1218.11
ATP2B3	ATP2B3	Not DIU	0.59886	NO		89.12	77.94	39.97
ATP2B4	ATP2B4	Not DIU	0.51347	YES	3	333.02	172.76	297.61
ATP2C1	ATP2C1	DIU	0.0075523	YES	3	611.24	615.68	607.63
ATP5MC2	ATP5MC2	DIU	0.038855	NO		2307.98	2307.88	2546.04
ATP6V0A1	ATP6V0A1	Not DIU	0.1648	NO		275.8	351.06	291.63
ATP6V0D1	ATP6V0D1	Not DIU	0.61945	YES	1	307.45	317.35	276.38
ATP6V1A	ATP6V1A	Not DIU	0.19163	YES	2	189.7	184.67	175.93
