p.value	R.squared
MB	4.43263989719184e-20	0.855491676551674
MCCC2	1.20866316344134e-13	0.796140651779726
MCTS1	6.00359468608335e-10	0.750062580783876
METTL15	2.41460922012043e-17	0.828345716628899
METTL26	5.24232657228749e-19	0.841447814665655
MINOS1	7.96081797352084e-10	0.732630897792452
MLLT6	1.04333179815976e-13	0.767781118159623
MMP24	2.77595076667953e-16	0.820670040662125
MRPL13	5.79769483322237e-11	0.759573666163699
MRPL18	7.79312696146817e-09	0.704949703951465
MRPL23	7.63577504294587e-11	0.721022933656856
MRPL27	3.99178221853559e-16	0.816643043484449
MRPL28	3.17135430537104e-13	0.777477216850747
MRPL34	1.0794023405682e-15	0.815023372860205
MRPL37	2.51145511957348e-13	0.798027034959591
MRPL38	1.44460642630199e-08	0.706741442624316
MRPL40	1.03055428627851e-10	0.75165492635757
MRPL47	1.03819273258258e-09	0.732931048460815
MRPS28	4.53507594037757e-10	0.753723785313925
MRPS36	3.2145642788252e-08	0.704106700096998
MSANTD3	5.18752797467777e-18	0.813510946676959
MTG1	4.51768896924821e-25	0.87249600366739
MTIF2	3.46750195382388e-13	0.80224316636593
MTO1	2.63336097901012e-09	0.727925559276995
MUT	2.44938847658007e-26	0.887370078053519
MYCBP	2.59876630597533e-20	0.856735316214718
NBEA	1.2936575863097e-15	0.817692573349793
NCOA1	2.58954741764719e-10	0.705789898109861
NDUFA10	2.00476184508799e-20	0.858330470997089
NDUFA12	2.16831003462424e-08	0.708564770872992
NDUFA8	1.55404916067834e-08	0.709144312090693
NDUFB1	1.13815065362469e-08	0.705895115395424
NDUFB2	1.9511761973961e-12	0.786697846224008
NDUFB3	2.39389575772243e-13	0.808386290763541
NDUFB4	4.31289960101839e-11	0.759102854680951
NDUFB5	4.94997576642777e-12	0.783180145925807
NDUFC1	6.21203688800016e-10	0.749857791627118
NDUFC2	9.82844056089482e-10	0.74325360488527
NDUFV1	2.20934741881503e-09	0.734443017082973
NEURL2_SPATA25	4.3619879902674e-14	0.798952057063735
NIPSNAP2	4.22238551925889e-18	0.847374182685315
NOP53	1.5104768491936e-17	0.837566403988669
NOP56	6.11432390939704e-09	0.717417764287434
NQO1	6.31438230956285e-12	0.781214593659764
NR2C1	3.45516781216348e-11	0.742769713396003
NR3C2	4.61633463275697e-10	0.741823666058221
NRAP	6.17593996547189e-14	0.788453947587139
NT5DC3	1.09206581380027e-21	0.864909215371318
NUBPL	1.99968361780297e-10	0.760879635760323
NUDT8	3.62958665689798e-09	0.721045475178623
NWD1	1.18576119295731e-13	0.793637802285508
OGFR	5.10391297965047e-09	0.720314796962211
OXCT1	6.2090404648768e-16	0.715802576681214
OXSM	7.63629845917689e-09	0.716082658224046
PACS1	3.49321858767312e-08	0.729135147241874
PCCB	1.22670360073776e-13	0.802869599218499
PDHX	1.04189942016734e-18	0.844045228067515
PDLIM5	2.10410906802303e-11	0.775234932301028
PDP1	4.96358665429738e-10	0.740332789700695
PHKG1	3.92714589837437e-14	0.770616267584082
PHOSPHO1	1.38184951681276e-12	0.764869799063973
PIR	4.88669756423655e-10	0.735710392258756
PITHD1	3.91931214799161e-10	0.710484668495136
PLBD1	5.51291978940417e-08	0.709264432818814
PLP2	3.90853079622901e-08	0.707787541656551
PLPP1	2.17060365677422e-11	0.742419797993407
PMPCA	4.38520704584447e-09	0.711387623192222
PNPLA8	3.87855605124508e-10	0.751297532903739
PNPT1	8.7953453132167e-13	0.776908631320584
POLR2D	9.4418833547863e-15	0.812933890832488
PPID	1.09270533751606e-24	0.879228913321862
PRDX3	6.71059649547254e-13	0.801220607912002
PRDX5	7.75859907820932e-14	0.789664881470431
PRELID3B	8.17817422472796e-09	0.707994909118812
PRKAR2A	2.13421511128033e-11	0.737637803585606
PSMB7	7.09884799266104e-14	0.805107366050592
PSMD13	1.48036306753843e-10	0.713460677877619
PTCD3	7.30646519541563e-11	0.767874041385188
PTGES2	2.16853108069719e-10	0.744085017475827
PTGR1	4.6689555192514e-17	0.832266739848401
PURA	1.28071219479481e-08	0.714112412745512
PUS7	5.02117666878307e-13	0.793238862823662
PXMP2	2.89789535338679e-12	0.78520297462556
RAB12	9.90161478509375e-10	0.735498033541426
RAB28	5.7670425612426e-10	0.713376917660996
RASGEF1B	5.91755179858496e-11	0.740029205860849
RGS3	2.25657167778439e-19	0.826213296688788
RNASEH1	1.40631445104103e-11	0.735246534173818
RPL10	2.56307704820755e-14	0.800858192777371
RPL12	1.02568483304815e-08	0.715162892707645
RPL13A	1.37010816204536e-11	0.768405401103459
RPL18A	8.22542232664672e-09	0.719546437240305
RPL21	6.8326214054513e-10	0.734239298385445
RPL23A	6.82271248983542e-10	0.728687485674511
RPL30	7.64032538025948e-14	0.797855851758334
RPL36	3.51519825170419e-12	0.776627873222252
RPS14	9.77864003365249e-11	0.755337307819331
RPS21	2.41533758667302e-12	0.778434036705397
RPS23	9.44103553607243e-14	0.797526821987573
RPS27A	1.32190688331467e-12	0.781296542078539
RRP7A	9.40894341781372e-11	0.71123316955173
RTN4IP1	1.44300357065051e-08	0.710939233061081
SAMM50	9.89065181543707e-09	0.711917168857521
SAT2	5.82856256978163e-10	0.708884523883186
SEL1L	1.50743768827337e-14	0.791837592802658
SERF2	2.19555460875395e-19	0.848754301177541
SESN3	6.01586468969686e-16	0.829470582880763
SETD9	4.97534020637154e-12	0.741441874354997
SGCA	1.86311091628288e-10	0.711494827014957
SIRT3	7.97110502592296e-10	0.761072863017914
SLC25A20	2.45782178724916e-10	0.719659029865342
SLC25A33	7.70992702263926e-11	0.756471641555247
SLC2A4RG	7.03987423683716e-22	0.833782364255935
SLTM	3.59944337591136e-08	0.704839596997059
SMG1	1.706132371952e-10	0.745170730675354
SMG5	2.51996356974666e-20	0.848411789019387
SMIM4	4.11546425486432e-11	0.762138489749596
SMS	8.34129149064555e-10	0.72760610118435
SNRPD3	8.59916806306194e-10	0.742306806971673
SNUPN	7.96409052628441e-15	0.812903761777062
SPATA24	1.87384828056251e-14	0.772449143084889
SSR2	4.42175891345018e-12	0.773123176494516
SSR4	1.43625063039896e-09	0.723468713294205
SUCLA2	8.34798910895397e-11	0.764257262808233
TAPT1	7.85358623805461e-16	0.821345280803479
TBC1D16	7.07201026529952e-10	0.719889151205757
TBC1D25	2.99156952270752e-11	0.754007507244357
TEFM	3.67490179498068e-12	0.780531016237032
TEN1	6.66962412867818e-17	0.833128268619705
TFB2M	8.72616290330961e-12	0.76701533218879
THOC7	1.67363967084778e-17	0.838961743664293
TIMM50	1.352889046916e-10	0.752620417580018
TLR9	4.12340462494688e-12	0.768635970572026
TMEM62	1.28620433324889e-11	0.77599792191902
TMX3	3.15312220347273e-11	0.732036371472881
TOMM20	1.09934764882804e-11	0.737836301305301
TPRG1L	6.14791798916168e-09	0.712149429776675
TRAK1	8.9739672332049e-10	0.734906559720443
TRAK2	5.16914217420182e-09	0.716369725249412
TRMT112	2.02609102247191e-09	0.725378348865405
TSFM	1.75440092428838e-11	0.75292352327338
TTC28	6.78836708189094e-09	0.701191579610148
TTC3	8.32126710930622e-10	0.73718807153119
TTC38	5.10242787223489e-11	0.72517100156675
UACA	7.69882510607422e-09	0.702665820549651
UBA52	4.35373847011096e-10	0.704138298611975
UBAP1L	1.78462969738182e-23	0.854222570228621
UROD	2.069578608917e-09	0.72058656063361
USP4	2.85860127762741e-12	0.748693397566761
VMA21	3.36499002115564e-12	0.750728625500793
VWA7	8.20611077604154e-10	0.734554910481065
WASHC1	1.21256769436849e-14	0.811470848834402
WDR90	1.24519042991014e-13	0.7729858821445
ZC3H6	8.84263524901433e-10	0.734549514177951
ZFAND5	3.21312658021823e-11	0.764745716302302
ZNF395	2.8363987356611e-08	0.71339724303478
ZXDC	2.71937446191497e-11	0.727249243174946
novelGene_1134	1.01381870715198e-10	0.727493126357313
novelGene_1180	3.37354443543845e-25	0.878388219456685
novelGene_1613	1.26897353938415e-14	0.79155369199999
novelGene_2560	6.48375014276818e-11	0.751885959858589
novelGene_370	5.84883379057418e-15	0.772901865914721
novelGene_MBNL1_AS	8.98350604806697e-18	0.846486233599462
novelGene_PACRG_AS	8.67984218454621e-10	0.759059028773754
novelGene_PCSK6_AS	1.41107429889911e-10	0.739550421568411
novelGene_PPP3CC_AS	1.61533912228255e-11	0.737704307031285
