




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
microbody membrane (GO:0031903)	27	1	.22	+	4.64	2.00E-01	1.00E00
neuromuscular junction (GO:0031594)	27	1	.22	+	4.64	2.00E-01	1.00E00
microvillus (GO:0005902)	27	1	.22	+	4.64	2.00E-01	1.00E00
peroxisomal membrane (GO:0005778)	27	1	.22	+	4.64	2.00E-01	1.00E00
basement membrane (GO:0005604)	28	1	.22	+	4.48	2.06E-01	1.00E00
ruffle membrane (GO:0032587)	29	1	.23	+	4.32	2.13E-01	1.00E00
cation channel complex (GO:0034703)	29	1	.23	+	4.32	2.13E-01	1.00E00
motile cilium (GO:0031514)	33	1	.26	+	3.80	2.37E-01	1.00E00
ruffle (GO:0001726)	69	2	.55	+	3.63	1.08E-01	1.00E00
nuclear pore (GO:0005643)	35	1	.28	+	3.58	2.50E-01	1.00E00
trans-Golgi network membrane (GO:0032588)	35	1	.28	+	3.58	2.50E-01	1.00E00
cytoplasmic stress granule (GO:0010494)	36	1	.29	+	3.48	2.56E-01	1.00E00
centriolar satellite (GO:0034451)	37	1	.30	+	3.39	2.62E-01	1.00E00
filopodium (GO:0030175)	39	1	.31	+	3.21	2.73E-01	1.00E00
cell projection membrane (GO:0031253)	80	2	.64	+	3.13	1.37E-01	1.00E00
Unclassified (UNCLASSIFIED)	121	3	.97	+	3.11	7.36E-02	1.00E00
ion channel complex (GO:0034702)	42	1	.34	+	2.98	2.91E-01	1.00E00
dendritic spine (GO:0043197)	43	1	.34	+	2.92	2.96E-01	1.00E00
nuclear matrix (GO:0016363)	43	1	.34	+	2.92	2.96E-01	1.00E00
neuron spine (GO:0044309)	44	1	.35	+	2.85	3.02E-01	1.00E00
trans-Golgi network (GO:0005802)	89	2	.71	+	2.82	1.61E-01	1.00E00
synaptic vesicle (GO:0008021)	46	1	.37	+	2.73	3.13E-01	1.00E00
endocytic vesicle membrane (GO:0030666)	46	1	.37	+	2.73	3.13E-01	1.00E00
leading edge membrane (GO:0031256)	49	1	.39	+	2.56	3.29E-01	1.00E00
exocytic vesicle (GO:0070382)	49	1	.39	+	2.56	3.29E-01	1.00E00
nuclear periphery (GO:0034399)	50	1	.40	+	2.51	3.35E-01	1.00E00
clathrin-coated vesicle (GO:0030136)	51	1	.41	+	2.46	3.40E-01	1.00E00
ciliary basal body (GO:0036064)	51	1	.41	+	2.46	3.40E-01	1.00E00
coated vesicle membrane (GO:0030662)	51	1	.41	+	2.46	3.40E-01	1.00E00
Z disc (GO:0030018)	53	1	.42	+	2.37	3.51E-01	1.00E00
transmembrane transporter complex (GO:1902495)	54	1	.43	+	2.32	3.56E-01	1.00E00
microbody (GO:0042579)	54	1	.43	+	2.32	3.56E-01	1.00E00
peroxisome (GO:0005777)	54	1	.43	+	2.32	3.56E-01	1.00E00
mitochondrial matrix (GO:0005759)	168	3	1.34	+	2.24	1.52E-01	1.00E00
mitotic spindle (GO:0072686)	57	1	.45	+	2.20	3.71E-01	1.00E00
integral component of endoplasmic reticulum membrane (GO:0030176)	59	1	.47	+	2.12	3.81E-01	1.00E00
transporter complex (GO:1990351)	60	1	.48	+	2.09	3.86E-01	1.00E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	61	1	.49	+	2.06	3.91E-01	1.00E00
spindle pole (GO:0000922)	61	1	.49	+	2.06	3.91E-01	1.00E00
I band (GO:0031674)	61	1	.49	+	2.06	3.91E-01	1.00E00
Golgi apparatus subcompartment (GO:0098791)	123	2	.98	+	2.04	2.60E-01	1.00E00
actin-based cell projection (GO:0098858)	66	1	.53	+	1.90	4.15E-01	1.00E00
spindle (GO:0005819)	137	2	1.09	+	1.83	3.02E-01	1.00E00
chromosome, centromeric region (GO:0000775)	74	1	.59	+	1.69	4.52E-01	1.00E00
cell leading edge (GO:0031252)	149	2	1.19	+	1.68	3.37E-01	1.00E00
midbody (GO:0030496)	76	1	.61	+	1.65	4.60E-01	1.00E00
condensed chromosome (GO:0000793)	79	1	.63	+	1.59	4.73E-01	1.00E00
sarcomere (GO:0030017)	80	1	.64	+	1.57	4.78E-01	1.00E00
extracellular exosome (GO:0070062)	566	7	4.51	+	1.55	2.07E-01	1.00E00
extracellular vesicle (GO:1903561)	570	7	4.55	+	1.54	2.10E-01	1.00E00
extracellular organelle (GO:0043230)	571	7	4.55	+	1.54	2.11E-01	1.00E00
extracellular membrane-bounded organelle (GO:0065010)	571	7	4.55	+	1.54	2.11E-01	1.00E00
lamellipodium (GO:0030027)	82	1	.65	+	1.53	4.86E-01	1.00E00
nuclear envelope (GO:0005635)	168	2	1.34	+	1.49	3.92E-01	1.00E00
organelle subcompartment (GO:0031984)	439	5	3.50	+	1.43	3.92E-01	1.00E00
myofibril (GO:0030016)	88	1	.70	+	1.42	5.10E-01	1.00E00
membrane raft (GO:0045121)	88	1	.70	+	1.42	5.10E-01	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	89	1	.71	+	1.41	5.14E-01	1.00E00
membrane microdomain (GO:0098857)	89	1	.71	+	1.41	5.14E-01	1.00E00
contractile fiber (GO:0043292)	90	1	.72	+	1.39	5.18E-01	1.00E00
microtubule organizing center (GO:0005815)	271	3	2.16	+	1.39	4.76E-01	1.00E00
coated vesicle (GO:0030135)	91	1	.73	+	1.38	5.22E-01	1.00E00
apical plasma membrane (GO:0016324)	91	1	.73	+	1.38	5.22E-01	1.00E00
collagen-containing extracellular matrix (GO:0062023)	93	1	.74	+	1.35	5.30E-01	1.00E00
endocytic vesicle (GO:0030139)	96	1	.77	+	1.31	5.41E-01	1.00E00
nuclear membrane (GO:0031965)	100	1	.80	+	1.25	5.56E-01	1.00E00
extracellular space (GO:0005615)	706	7	5.63	+	1.24	4.92E-01	1.00E00
ribonucleoprotein granule (GO:0035770)	101	1	.81	+	1.24	5.59E-01	1.00E00
synapse (GO:0045202)	305	3	2.43	+	1.23	7.33E-01	1.00E00
integral component of membrane (GO:0016021)	1025	10	8.18	+	1.22	4.31E-01	1.00E00
microtubule cytoskeleton (GO:0015630)	412	4	3.29	+	1.22	5.66E-01	1.00E00
intrinsic component of membrane (GO:0031224)	1036	10	8.26	+	1.21	5.50E-01	1.00E00
presynapse (GO:0098793)	104	1	.83	+	1.21	5.70E-01	1.00E00
centrosome (GO:0005813)	209	2	1.67	+	1.20	6.83E-01	1.00E00
transport vesicle (GO:0030133)	105	1	.84	+	1.19	5.73E-01	1.00E00
extracellular region (GO:0005576)	842	8	6.72	+	1.19	5.26E-01	1.00E00
apical part of cell (GO:0045177)	109	1	.87	+	1.15	5.87E-01	1.00E00
endoplasmic reticulum membrane (GO:0005789)	331	3	2.64	+	1.14	7.45E-01	1.00E00
extracellular matrix (GO:0031012)	111	1	.89	+	1.13	5.94E-01	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	334	3	2.66	+	1.13	7.47E-01	1.00E00
membrane (GO:0016020)	2230	20	17.79	+	1.12	5.06E-01	1.00E00
plasma membrane protein complex (GO:0098797)	112	1	.89	+	1.12	5.97E-01	1.00E00
external encapsulating structure (GO:0030312)	112	1	.89	+	1.12	5.97E-01	1.00E00
cytoskeleton (GO:0005856)	674	6	5.38	+	1.12	8.13E-01	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	339	3	2.70	+	1.11	7.50E-01	1.00E00
integral component of plasma membrane (GO:0005887)	235	2	1.87	+	1.07	7.12E-01	1.00E00
nuclear lumen (GO:0031981)	1578	13	12.59	+	1.03	8.63E-01	1.00E00
intrinsic component of plasma membrane (GO:0031226)	244	2	1.95	+	1.03	1.00E00	1.00E00
ubiquitin ligase complex (GO:0000151)	124	1	.99	+	1.01	1.00E00	1.00E00
chromosomal region (GO:0098687)	125	1	1.00	+	1.00	1.00E00	1.00E00
integral component of organelle membrane (GO:0031301)	127	1	1.01	-	.99	1.00E00	1.00E00
microtubule (GO:0005874)	128	1	1.02	-	.98	1.00E00	1.00E00
organelle lumen (GO:0043233)	1922	15	15.33	-	.98	1.00E00	1.00E00
intracellular organelle lumen (GO:0070013)	1922	15	15.33	-	.98	1.00E00	1.00E00
membrane-enclosed lumen (GO:0031974)	1922	15	15.33	-	.98	1.00E00	1.00E00
supramolecular complex (GO:0099080)	389	3	3.10	-	.97	1.00E00	1.00E00
vesicle (GO:0031982)	1041	8	8.30	-	.96	1.00E00	1.00E00
cellular anatomical entity (GO:0110165)	4374	33	34.89	-	.95	1.01E-01	1.00E00
cellular_component (GO:0005575)	4392	33	35.03	-	.94	7.36E-02	1.00E00
nucleoplasm (GO:0005654)	1472	11	11.74	-	.94	8.60E-01	1.00E00
supramolecular fiber (GO:0099512)	268	2	2.14	-	.94	1.00E00	1.00E00
intrinsic component of organelle membrane (GO:0031300)	134	1	1.07	-	.94	1.00E00	1.00E00
supramolecular polymer (GO:0099081)	269	2	2.15	-	.93	1.00E00	1.00E00
membrane-bounded organelle (GO:0043227)	3662	27	29.21	-	.92	3.90E-01	1.00E00
membrane protein complex (GO:0098796)	273	2	2.18	-	.92	1.00E00	1.00E00
plasma membrane region (GO:0098590)	273	2	2.18	-	.92	1.00E00	1.00E00
plasma membrane bounded cell projection (GO:0120025)	548	4	4.37	-	.92	1.00E00	1.00E00
organelle (GO:0043226)	3851	28	30.72	-	.91	2.33E-01	1.00E00
intracellular organelle (GO:0043229)	3725	27	29.71	-	.91	2.68E-01	1.00E00
cytosol (GO:0005829)	1794	13	14.31	-	.91	7.34E-01	1.00E00
cell junction (GO:0030054)	554	4	4.42	-	.91	1.00E00	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	3486	25	27.81	-	.90	3.17E-01	1.00E00
cytoplasm (GO:0005737)	3381	24	26.97	-	.89	2.51E-01	1.00E00
cell projection (GO:0042995)	574	4	4.58	-	.87	1.00E00	1.00E00
nucleus (GO:0005634)	2314	16	18.46	-	.87	5.04E-01	1.00E00
intracellular anatomical structure (GO:0005622)	4077	28	32.52	-	.86	2.02E-02	1.00E00
cilium (GO:0005929)	147	1	1.17	-	.85	1.00E00	1.00E00
cell-cell junction (GO:0005911)	147	1	1.17	-	.85	1.00E00	1.00E00
endomembrane system (GO:0012505)	1327	9	10.59	-	.85	7.14E-01	1.00E00
dendritic tree (GO:0097447)	148	1	1.18	-	.85	1.00E00	1.00E00
cell periphery (GO:0071944)	1184	8	9.44	-	.85	7.05E-01	1.00E00
dendrite (GO:0030425)	148	1	1.18	-	.85	1.00E00	1.00E00
postsynapse (GO:0098794)	151	1	1.20	-	.83	1.00E00	1.00E00
plasma membrane (GO:0005886)	1070	7	8.54	-	.82	6.95E-01	1.00E00
cell surface (GO:0009986)	157	1	1.25	-	.80	1.00E00	1.00E00
endosome (GO:0005768)	327	2	2.61	-	.77	1.00E00	1.00E00
Golgi apparatus (GO:0005794)	497	3	3.96	-	.76	7.92E-01	1.00E00
intracellular non-membrane-bounded organelle (GO:0043232)	1523	9	12.15	-	.74	2.94E-01	1.00E00
non-membrane-bounded organelle (GO:0043228)	1523	9	12.15	-	.74	2.94E-01	1.00E00
nuclear body (GO:0016604)	346	2	2.76	-	.72	1.00E00	1.00E00
nucleolus (GO:0005730)	348	2	2.78	-	.72	1.00E00	1.00E00
axon (GO:0030424)	177	1	1.41	-	.71	1.00E00	1.00E00
actin cytoskeleton (GO:0015629)	180	1	1.44	-	.70	1.00E00	1.00E00
mitochondrion (GO:0005739)	547	3	4.36	-	.69	6.15E-01	1.00E00
polymeric cytoskeletal fiber (GO:0099513)	184	1	1.47	-	.68	1.00E00	1.00E00
endoplasmic reticulum (GO:0005783)	571	3	4.55	-	.66	6.15E-01	1.00E00
somatodendritic compartment (GO:0036477)	193	1	1.54	-	.65	1.00E00	1.00E00
envelope (GO:0031975)	403	2	3.21	-	.62	7.67E-01	1.00E00
organelle envelope (GO:0031967)	403	2	3.21	-	.62	7.67E-01	1.00E00
Golgi membrane (GO:0000139)	207	1	1.65	-	.61	1.00E00	1.00E00
organelle membrane (GO:0031090)	1054	5	8.41	-	.59	2.35E-01	1.00E00
lytic vacuole (GO:0000323)	224	1	1.79	-	.56	1.00E00	1.00E00
lysosome (GO:0005764)	224	1	1.79	-	.56	1.00E00	1.00E00
secretory vesicle (GO:0099503)	241	1	1.92	-	.52	1.00E00	1.00E00
perinuclear region of cytoplasm (GO:0048471)	249	1	1.99	-	.50	7.20E-01	1.00E00
nuclear protein-containing complex (GO:0140513)	503	2	4.01	-	.50	4.24E-01	1.00E00
vacuole (GO:0005773)	258	1	2.06	-	.49	7.21E-01	1.00E00
ribonucleoprotein complex (GO:1990904)	259	1	2.07	-	.48	7.21E-01	1.00E00
anchoring junction (GO:0070161)	272	1	2.17	-	.46	7.22E-01	1.00E00
protein-containing complex (GO:0032991)	1657	6	13.22	-	.45	1.40E-02	1.00E00
intracellular protein-containing complex (GO:0140535)	312	1	2.49	-	.40	5.13E-01	1.00E00
bounding membrane of organelle (GO:0098588)	625	2	4.99	-	.40	2.21E-01	1.00E00
transferase complex (GO:1990234)	314	1	2.50	-	.40	5.13E-01	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	333	1	2.66	-	.38	5.16E-01	1.00E00
neuron projection (GO:0043005)	340	1	2.71	-	.37	5.18E-01	1.00E00
vesicle membrane (GO:0012506)	342	1	2.73	-	.37	5.19E-01	1.00E00
cytoplasmic vesicle (GO:0031410)	686	2	5.47	-	.37	1.57E-01	1.00E00
intracellular vesicle (GO:0097708)	687	2	5.48	-	.36	1.57E-01	1.00E00
chromosome (GO:0005694)	516	1	4.12	-	.24	1.17E-01	1.00E00
catalytic complex (GO:1902494)	533	1	4.25	-	.24	1.17E-01	1.00E00
apical junction complex (GO:0043296)	44	0	.35	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase dependent transmembrane transport complex (GO:0098533)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic specialization membrane (GO:0098892)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm flagellum (GO:0036126)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
astrocyte projection (GO:0097449)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
intrinsic component of presynaptic membrane (GO:0098889)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor complex (GO:0098878)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ER to Golgi transport vesicle membrane (GO:0012507)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor complex (GO:1990265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microbody lumen (GO:0031907)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endosome lumen (GO:0031904)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
late endosome membrane (GO:0031902)	52	0	.41	-	 < 0.01	1.00E00	1.00E00
SUMO ligase complex (GO:0106068)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
early endosome membrane (GO:0031901)	60	0	.48	-	 < 0.01	1.00E00	1.00E00
tubular endosome (GO:0097422)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
macropinosome (GO:0044354)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pinosome (GO:0044352)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end (GO:0035371)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
UBC13-UEV1A complex (GO:0035370)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
serine C-palmitoyltransferase complex (GO:0017059)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-11 complex (GO:0043260)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription repressor complex (GO:0017053)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
cluster of actin-based cell projections (GO:0098862)	43	0	.34	-	 < 0.01	1.00E00	1.00E00
neurofibrillary tangle (GO:0097418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel complex (GO:0008076)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth factor complex (GO:0036454)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
subapical complex (GO:0035003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-10 complex (GO:0043259)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase III complex (GO:0035000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin complex (GO:0043256)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lytic vacuole membrane (GO:0098852)	125	0	1.00	-	 < 0.01	6.25E-01	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic vesicle membrane (GO:0098850)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CAF-1 complex (GO:0033186)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pericentriolar material (GO:0000242)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Ragulator complex (GO:0071986)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome (GO:0098845)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BRCA1-C complex (GO:0070533)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V0 domain (GO:0033179)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BRCA1-B complex (GO:0070532)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase complex (GO:0033176)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic spine neck (GO:0044326)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
receptor complex (GO:0043235)	84	0	.67	-	 < 0.01	1.00E00	1.00E00
nuclear replication fork (GO:0043596)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
postsynaptic density membrane (GO:0098839)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome (GO:0098837)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone (GO:0098833)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear chromosome (GO:0000228)	66	0	.53	-	 < 0.01	1.00E00	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ARC complex (GO:0033167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
