




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
mammary gland lobule development (GO:0061377)	5	1	.04	+	25.07	4.66E-02	1.00E00
renal filtration cell differentiation (GO:0061318)	5	1	.04	+	25.07	4.66E-02	1.00E00
mammary gland alveolus development (GO:0060749)	5	1	.04	+	25.07	4.66E-02	1.00E00
actin filament depolymerization (GO:0030042)	5	1	.04	+	25.07	4.66E-02	1.00E00
respiratory system process (GO:0003016)	6	1	.05	+	20.89	5.41E-02	1.00E00
viral release from host cell (GO:0019076)	6	1	.05	+	20.89	5.41E-02	1.00E00
protein localization to chromosome, centromeric region (GO:0071459)	6	1	.05	+	20.89	5.41E-02	1.00E00
motile cilium assembly (GO:0044458)	6	1	.05	+	20.89	5.41E-02	1.00E00
exit from host cell (GO:0035891)	6	1	.05	+	20.89	5.41E-02	1.00E00
exit from host (GO:0035890)	6	1	.05	+	20.89	5.41E-02	1.00E00
actin filament severing (GO:0051014)	6	1	.05	+	20.89	5.41E-02	1.00E00
nucleosome positioning (GO:0016584)	6	1	.05	+	20.89	5.41E-02	1.00E00
regulation of synaptic vesicle endocytosis (GO:1900242)	6	1	.05	+	20.89	5.41E-02	1.00E00
axoneme assembly (GO:0035082)	6	1	.05	+	20.89	5.41E-02	1.00E00
cerebellar Purkinje cell differentiation (GO:0021702)	7	1	.06	+	17.91	6.16E-02	1.00E00
glomerular epithelium development (GO:0072010)	7	1	.06	+	17.91	6.16E-02	1.00E00
modulation by host of viral process (GO:0044788)	7	1	.06	+	17.91	6.16E-02	1.00E00
regulation of gene expression by genetic imprinting (GO:0006349)	7	1	.06	+	17.91	6.16E-02	1.00E00
negative regulation of receptor-mediated endocytosis (GO:0048261)	7	1	.06	+	17.91	6.16E-02	1.00E00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	1	.06	+	17.91	6.16E-02	1.00E00
cerebellar Purkinje cell layer formation (GO:0021694)	8	1	.06	+	15.67	6.91E-02	1.00E00
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	8	1	.06	+	15.67	6.91E-02	1.00E00
cell differentiation in hindbrain (GO:0021533)	8	1	.06	+	15.67	6.91E-02	1.00E00
brown fat cell differentiation (GO:0050873)	8	1	.06	+	15.67	6.91E-02	1.00E00
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	8	1	.06	+	15.67	6.91E-02	1.00E00
regulation of IRE1-mediated unfolded protein response (GO:1903894)	8	1	.06	+	15.67	6.91E-02	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	8	1	.06	+	15.67	6.91E-02	1.00E00
regulation of synaptic vesicle recycling (GO:1903421)	8	1	.06	+	15.67	6.91E-02	1.00E00
cerebellar Purkinje cell layer morphogenesis (GO:0021692)	9	1	.07	+	13.93	7.65E-02	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	9	1	.07	+	13.93	7.65E-02	1.00E00
genetic imprinting (GO:0071514)	9	1	.07	+	13.93	7.65E-02	1.00E00
negative regulation of type I interferon production (GO:0032480)	9	1	.07	+	13.93	7.65E-02	1.00E00
Golgi ribbon formation (GO:0090161)	9	1	.07	+	13.93	7.65E-02	1.00E00
protein depolymerization (GO:0051261)	9	1	.07	+	13.93	7.65E-02	1.00E00
epithelial cell differentiation involved in kidney development (GO:0035850)	9	1	.07	+	13.93	7.65E-02	1.00E00
positive regulation of receptor signaling pathway via STAT (GO:1904894)	9	1	.07	+	13.93	7.65E-02	1.00E00
P-body assembly (GO:0033962)	9	1	.07	+	13.93	7.65E-02	1.00E00
mitotic spindle assembly (GO:0090307)	19	2	.15	+	13.20	1.16E-02	1.00E00
cerebellar cortex formation (GO:0021697)	10	1	.08	+	12.54	8.38E-02	1.00E00
microtubule bundle formation (GO:0001578)	20	2	.16	+	12.54	1.27E-02	1.00E00
positive regulation of protein-containing complex disassembly (GO:0043243)	10	1	.08	+	12.54	8.38E-02	1.00E00
diterpenoid metabolic process (GO:0016101)	10	1	.08	+	12.54	8.38E-02	1.00E00
muscle cell cellular homeostasis (GO:0046716)	10	1	.08	+	12.54	8.38E-02	1.00E00
respiratory gaseous exchange by respiratory system (GO:0007585)	10	1	.08	+	12.54	8.38E-02	1.00E00
cerebellar cortex morphogenesis (GO:0021696)	11	1	.09	+	11.40	9.10E-02	1.00E00
regulation of sister chromatid cohesion (GO:0007063)	11	1	.09	+	11.40	9.10E-02	1.00E00
regulation of defense response to virus by host (GO:0050691)	11	1	.09	+	11.40	9.10E-02	1.00E00
negative regulation of Rho protein signal transduction (GO:0035024)	11	1	.09	+	11.40	9.10E-02	1.00E00
cell differentiation involved in kidney development (GO:0061005)	11	1	.09	+	11.40	9.10E-02	1.00E00
DNA modification (GO:0006304)	23	2	.18	+	10.90	1.63E-02	1.00E00
cerebellar Purkinje cell layer development (GO:0021680)	12	1	.10	+	10.45	9.83E-02	1.00E00
hexose biosynthetic process (GO:0019319)	12	1	.10	+	10.45	9.83E-02	1.00E00
stress granule assembly (GO:0034063)	12	1	.10	+	10.45	9.83E-02	1.00E00
cilium movement involved in cell motility (GO:0060294)	12	1	.10	+	10.45	9.83E-02	1.00E00
regulation of establishment of cell polarity (GO:2000114)	12	1	.10	+	10.45	9.83E-02	1.00E00
gluconeogenesis (GO:0006094)	12	1	.10	+	10.45	9.83E-02	1.00E00
positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	12	1	.10	+	10.45	9.83E-02	1.00E00
sperm motility (GO:0097722)	12	1	.10	+	10.45	9.83E-02	1.00E00
flagellated sperm motility (GO:0030317)	12	1	.10	+	10.45	9.83E-02	1.00E00
negative regulation of endocytosis (GO:0045806)	12	1	.10	+	10.45	9.83E-02	1.00E00
cilium-dependent cell motility (GO:0060285)	13	1	.10	+	9.64	1.05E-01	1.00E00
terpenoid metabolic process (GO:0006721)	13	1	.10	+	9.64	1.05E-01	1.00E00
virion assembly (GO:0019068)	13	1	.10	+	9.64	1.05E-01	1.00E00
endosome organization (GO:0007032)	26	2	.21	+	9.64	2.02E-02	1.00E00
cilium or flagellum-dependent cell motility (GO:0001539)	13	1	.10	+	9.64	1.05E-01	1.00E00
cellular protein complex disassembly (GO:0043624)	13	1	.10	+	9.64	1.05E-01	1.00E00
regulation of ruffle assembly (GO:1900027)	13	1	.10	+	9.64	1.05E-01	1.00E00
negative regulation of insulin receptor signaling pathway (GO:0046627)	13	1	.10	+	9.64	1.05E-01	1.00E00
primary alcohol metabolic process (GO:0034308)	13	1	.10	+	9.64	1.05E-01	1.00E00
regulation of receptor internalization (GO:0002090)	14	1	.11	+	8.95	1.13E-01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	14	1	.11	+	8.95	1.13E-01	1.00E00
cilium movement (GO:0003341)	14	1	.11	+	8.95	1.13E-01	1.00E00
monosaccharide biosynthetic process (GO:0046364)	14	1	.11	+	8.95	1.13E-01	1.00E00
cerebellum morphogenesis (GO:0021587)	15	1	.12	+	8.36	1.20E-01	1.00E00
protein export from nucleus (GO:0006611)	15	1	.12	+	8.36	1.20E-01	1.00E00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	15	1	.12	+	8.36	1.20E-01	1.00E00
regulation of establishment or maintenance of cell polarity (GO:0032878)	15	1	.12	+	8.36	1.20E-01	1.00E00
positive regulation of lipid kinase activity (GO:0090218)	15	1	.12	+	8.36	1.20E-01	1.00E00
cellular aldehyde metabolic process (GO:0006081)	15	1	.12	+	8.36	1.20E-01	1.00E00
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	15	1	.12	+	8.36	1.20E-01	1.00E00
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	15	1	.12	+	8.36	1.20E-01	1.00E00
negative regulation of cellular response to insulin stimulus (GO:1900077)	15	1	.12	+	8.36	1.20E-01	1.00E00
regulation of dendritic spine morphogenesis (GO:0061001)	15	1	.12	+	8.36	1.20E-01	1.00E00
cerebellar cortex development (GO:0021695)	16	1	.13	+	7.84	1.27E-01	1.00E00
hindbrain morphogenesis (GO:0021575)	16	1	.13	+	7.84	1.27E-01	1.00E00
sarcomere organization (GO:0045214)	16	1	.13	+	7.84	1.27E-01	1.00E00
regulation of interferon-beta production (GO:0032648)	16	1	.13	+	7.84	1.27E-01	1.00E00
base-excision repair (GO:0006284)	16	1	.13	+	7.84	1.27E-01	1.00E00
carbohydrate derivative transport (GO:1901264)	16	1	.13	+	7.84	1.27E-01	1.00E00
pyruvate metabolic process (GO:0006090)	17	1	.14	+	7.37	1.33E-01	1.00E00
positive regulation of oxidoreductase activity (GO:0051353)	17	1	.14	+	7.37	1.33E-01	1.00E00
regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	17	1	.14	+	7.37	1.33E-01	1.00E00
mitotic spindle organization (GO:0007052)	35	2	.28	+	7.16	3.41E-02	1.00E00
regulation of lamellipodium organization (GO:1902743)	18	1	.14	+	6.96	1.40E-01	1.00E00
DNA methylation or demethylation (GO:0044728)	18	1	.14	+	6.96	1.40E-01	1.00E00
modulation by host of symbiont process (GO:0051851)	18	1	.14	+	6.96	1.40E-01	1.00E00
DNA methylation (GO:0006306)	18	1	.14	+	6.96	1.40E-01	1.00E00
DNA alkylation (GO:0006305)	18	1	.14	+	6.96	1.40E-01	1.00E00
movement in host environment (GO:0052126)	36	2	.29	+	6.96	3.58E-02	1.00E00
positive regulation of wound healing (GO:0090303)	18	1	.14	+	6.96	1.40E-01	1.00E00
microtubule polymerization (GO:0046785)	18	1	.14	+	6.96	1.40E-01	1.00E00
protein K48-linked ubiquitination (GO:0070936)	37	2	.30	+	6.78	3.76E-02	1.00E00
spindle assembly (GO:0051225)	37	2	.30	+	6.78	3.76E-02	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	19	1	.15	+	6.60	1.47E-01	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	19	1	.15	+	6.60	1.47E-01	1.00E00
peripheral nervous system development (GO:0007422)	20	1	.16	+	6.27	1.54E-01	1.00E00
peptidyl-proline modification (GO:0018208)	20	1	.16	+	6.27	1.54E-01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	20	1	.16	+	6.27	1.54E-01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	1	.16	+	6.27	1.54E-01	1.00E00
negative regulation of cell-substrate adhesion (GO:0010812)	20	1	.16	+	6.27	1.54E-01	1.00E00
regulation of dendritic spine development (GO:0060998)	20	1	.16	+	6.27	1.54E-01	1.00E00
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	20	1	.16	+	6.27	1.54E-01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	20	1	.16	+	6.27	1.54E-01	1.00E00
isoprenoid metabolic process (GO:0006720)	21	1	.17	+	5.97	1.61E-01	1.00E00
glomerulus development (GO:0032835)	21	1	.17	+	5.97	1.61E-01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	21	1	.17	+	5.97	1.61E-01	1.00E00
regulation of receptor signaling pathway via STAT (GO:1904892)	21	1	.17	+	5.97	1.61E-01	1.00E00
negative regulation of Ras protein signal transduction (GO:0046580)	21	1	.17	+	5.97	1.61E-01	1.00E00
regulation of embryonic development (GO:0045995)	21	1	.17	+	5.97	1.61E-01	1.00E00
biological process involved in interaction with host (GO:0051701)	43	2	.34	+	5.83	4.87E-02	1.00E00
biological process involved in interaction with symbiont (GO:0051702)	22	1	.18	+	5.70	1.67E-01	1.00E00
actin polymerization or depolymerization (GO:0008154)	22	1	.18	+	5.70	1.67E-01	1.00E00
chaperone-mediated protein folding (GO:0061077)	22	1	.18	+	5.70	1.67E-01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	45	2	.36	+	5.57	5.27E-02	1.00E00
regulation of lipid kinase activity (GO:0043550)	23	1	.18	+	5.45	1.74E-01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	23	1	.18	+	5.45	1.74E-01	1.00E00
regulation of insulin receptor signaling pathway (GO:0046626)	23	1	.18	+	5.45	1.74E-01	1.00E00
protein localization to chromosome (GO:0034502)	23	1	.18	+	5.45	1.74E-01	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	46	2	.37	+	5.45	5.47E-02	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	24	1	.19	+	5.22	1.81E-01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	24	1	.19	+	5.22	1.81E-01	1.00E00
negative regulation of cold-induced thermogenesis (GO:0120163)	24	1	.19	+	5.22	1.81E-01	1.00E00
regulation of defense response to virus (GO:0050688)	24	1	.19	+	5.22	1.81E-01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	24	1	.19	+	5.22	1.81E-01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	24	1	.19	+	5.22	1.81E-01	1.00E00
regulation of substrate adhesion-dependent cell spreading (GO:1900024)	24	1	.19	+	5.22	1.81E-01	1.00E00
regulation of histone acetylation (GO:0035065)	24	1	.19	+	5.22	1.81E-01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	49	2	.39	+	5.12	6.10E-02	1.00E00
positive regulation of response to wounding (GO:1903036)	25	1	.20	+	5.01	1.87E-01	1.00E00
nephron epithelium development (GO:0072009)	25	1	.20	+	5.01	1.87E-01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	25	1	.20	+	5.01	1.87E-01	1.00E00
regulation of postsynapse organization (GO:0099175)	25	1	.20	+	5.01	1.87E-01	1.00E00
regulation of actin filament length (GO:0030832)	50	2	.40	+	5.01	6.31E-02	1.00E00
regulation of peptidyl-lysine acetylation (GO:2000756)	26	1	.21	+	4.82	1.94E-01	1.00E00
epithelium migration (GO:0090132)	26	1	.21	+	4.82	1.94E-01	1.00E00
tissue migration (GO:0090130)	26	1	.21	+	4.82	1.94E-01	1.00E00
regulation of oxidoreductase activity (GO:0051341)	26	1	.21	+	4.82	1.94E-01	1.00E00
regulation of cellular response to insulin stimulus (GO:1900076)	26	1	.21	+	4.82	1.94E-01	1.00E00
epithelial cell migration (GO:0010631)	26	1	.21	+	4.82	1.94E-01	1.00E00
mitotic DNA integrity checkpoint signaling (GO:0044774)	27	1	.22	+	4.64	2.00E-01	1.00E00
mitotic DNA damage checkpoint signaling (GO:0044773)	27	1	.22	+	4.64	2.00E-01	1.00E00
mitotic nuclear division (GO:0140014)	54	2	.43	+	4.64	7.19E-02	1.00E00
negative regulation of protein polymerization (GO:0032272)	27	1	.22	+	4.64	2.00E-01	1.00E00
organelle fission (GO:0048285)	83	3	.66	+	4.53	2.97E-02	1.00E00
vesicle fusion (GO:0006906)	28	1	.22	+	4.48	2.06E-01	1.00E00
regulation of type I interferon production (GO:0032479)	28	1	.22	+	4.48	2.06E-01	1.00E00
glucose metabolic process (GO:0006006)	28	1	.22	+	4.48	2.06E-01	1.00E00
striated muscle cell development (GO:0055002)	28	1	.22	+	4.48	2.06E-01	1.00E00
myofibril assembly (GO:0030239)	28	1	.22	+	4.48	2.06E-01	1.00E00
nucleobase-containing compound transport (GO:0015931)	86	3	.69	+	4.37	3.25E-02	1.00E00
endosomal transport (GO:0016197)	87	3	.69	+	4.32	3.34E-02	1.00E00
spermatid development (GO:0007286)	29	1	.23	+	4.32	2.13E-01	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	116	4	.93	+	4.32	1.41E-02	1.00E00
viral life cycle (GO:0019058)	58	2	.46	+	4.32	8.10E-02	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	29	1	.23	+	4.32	2.13E-01	1.00E00
viral entry into host cell (GO:0046718)	29	1	.23	+	4.32	2.13E-01	1.00E00
microtubule cytoskeleton organization (GO:0000226)	147	5	1.17	+	4.26	6.37E-03	1.00E00
activation of GTPase activity (GO:0090630)	30	1	.24	+	4.18	2.19E-01	1.00E00
entry into host (GO:0044409)	30	1	.24	+	4.18	2.19E-01	1.00E00
mammary gland development (GO:0030879)	30	1	.24	+	4.18	2.19E-01	1.00E00
spindle organization (GO:0007051)	61	2	.49	+	4.11	8.81E-02	1.00E00
organelle membrane fusion (GO:0090174)	31	1	.25	+	4.04	2.25E-01	1.00E00
spermatid differentiation (GO:0048515)	31	1	.25	+	4.04	2.25E-01	1.00E00
regulation of wound healing (GO:0061041)	31	1	.25	+	4.04	2.25E-01	1.00E00
regulation of protein acetylation (GO:1901983)	32	1	.26	+	3.92	2.31E-01	1.00E00
regulation of protein depolymerization (GO:1901879)	32	1	.26	+	3.92	2.31E-01	1.00E00
biological process involved in symbiotic interaction (GO:0044403)	64	2	.51	+	3.92	9.53E-02	1.00E00
protein polymerization (GO:0051258)	32	1	.26	+	3.92	2.31E-01	1.00E00
negative regulation of neuron apoptotic process (GO:0043524)	32	1	.26	+	3.92	2.31E-01	1.00E00
fertilization (GO:0009566)	32	1	.26	+	3.92	2.31E-01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	32	1	.26	+	3.92	2.31E-01	1.00E00
learning (GO:0007612)	32	1	.26	+	3.92	2.31E-01	1.00E00
kidney epithelium development (GO:0072073)	33	1	.26	+	3.80	2.37E-01	1.00E00
endoplasmic reticulum organization (GO:0007029)	33	1	.26	+	3.80	2.37E-01	1.00E00
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	33	1	.26	+	3.80	2.37E-01	1.00E00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	33	1	.26	+	3.80	2.37E-01	1.00E00
RNA transport (GO:0050658)	67	2	.53	+	3.74	1.03E-01	1.00E00
nucleic acid transport (GO:0050657)	67	2	.53	+	3.74	1.03E-01	1.00E00
cerebellum development (GO:0021549)	34	1	.27	+	3.69	2.44E-01	1.00E00
establishment of RNA localization (GO:0051236)	68	2	.54	+	3.69	1.05E-01	1.00E00
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	68	2	.54	+	3.69	1.05E-01	1.00E00
regulation of cell projection assembly (GO:0060491)	69	2	.55	+	3.63	1.08E-01	1.00E00
mitotic cell cycle checkpoint signaling (GO:0007093)	35	1	.28	+	3.58	2.50E-01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	35	1	.28	+	3.58	2.50E-01	1.00E00
carbohydrate biosynthetic process (GO:0016051)	35	1	.28	+	3.58	2.50E-01	1.00E00
fat cell differentiation (GO:0045444)	36	1	.29	+	3.48	2.56E-01	1.00E00
chromosome segregation (GO:0007059)	72	2	.57	+	3.48	1.16E-01	1.00E00
central nervous system neuron differentiation (GO:0021953)	36	1	.29	+	3.48	2.56E-01	1.00E00
regulation of endocytosis (GO:0030100)	73	2	.58	+	3.43	1.18E-01	1.00E00
metencephalon development (GO:0022037)	37	1	.30	+	3.39	2.62E-01	1.00E00
negative regulation of cell adhesion (GO:0007162)	74	2	.59	+	3.39	1.21E-01	1.00E00
nephron development (GO:0072006)	37	1	.30	+	3.39	2.62E-01	1.00E00
RNA localization (GO:0006403)	74	2	.59	+	3.39	1.21E-01	1.00E00
calcium ion transmembrane transport (GO:0070588)	37	1	.30	+	3.39	2.62E-01	1.00E00
nuclear division (GO:0000280)	74	2	.59	+	3.39	1.21E-01	1.00E00
protein polyubiquitination (GO:0000209)	113	3	.90	+	3.33	6.28E-02	1.00E00
protein autoubiquitination (GO:0051865)	38	1	.30	+	3.30	2.67E-01	1.00E00
regulation of cell morphogenesis involved in differentiation (GO:0010769)	38	1	.30	+	3.30	2.67E-01	1.00E00
