




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
nucleic acid binding (GO:0003676)	1236	1	1.64	-	.61	1.00E00	1.00E00
ion binding (GO:0043167)	1703	1	2.26	-	.44	4.19E-01	1.00E00
CMP-N-acetylneuraminate transmembrane transporter activity (GO:0005456)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase (quinone) activity (GO:0004368)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic anion exchanger activity (GO:0005452)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
monovalent cation:proton antiporter activity (GO:0005451)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate O-acyltransferase activity (GO:0004366)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione transferase activity (GO:0004364)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
urea transmembrane transporter activity (GO:0015204)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP-dependent protein binding (GO:0043008)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione synthase activity (GO:0004363)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine transmembrane transporter activity (GO:0015203)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione-disulfide reductase (NADPH) activity (GO:0004362)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutaryl-CoA dehydrogenase activity (GO:0004361)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine-fructose-6-phosphate transaminase (isomerizing) activity (GO:0004360)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (H3-K14 specific) (GO:0031078)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
NADP+-protein-arginine ADP-ribosyltransferase activity (GO:0106275)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+-protein-arginine ADP-ribosyltransferase activity (GO:0106274)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heat shock protein binding (GO:0031072)	41	0	.05	-	 < 0.01	1.00E00	1.00E00
basal RNA polymerase II transcription machinery binding (GO:0001099)	31	0	.04	-	 < 0.01	1.00E00	1.00E00
basal transcription machinery binding (GO:0001098)	31	0	.04	-	 < 0.01	1.00E00	1.00E00
TFIIH-class transcription factor complex binding (GO:0001097)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TFIIF-class transcription factor complex binding (GO:0001096)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TFIID-class transcription factor complex binding (GO:0001094)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
TFIIB-class transcription factor binding (GO:0001093)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
short-chain carboxylesterase activity (GO:0034338)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II general transcription initiation factor binding (GO:0001091)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaminase activity (GO:0004359)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tapasin binding (GO:0046980)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase activity (GO:0004357)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine synthase activity (GO:0008705)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-acylglycerophosphoserine O-acyltransferase activity (GO:0106263)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-acylglycerophosphoethanolamine O-acyltransferase activity (GO:0106262)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA uridine(34) acetyltransferase activity (GO:0106261)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
4-hydroxy-2-oxoglutarate aldolase activity (GO:0008700)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TAP1 binding (GO:0046978)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TAP binding (GO:0046977)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K36 specific) (GO:0046975)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K16 specific) (GO:0046972)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD binding (GO:0051287)	24	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H4-K16 specific) (GO:0046970)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosylceramidase activity (GO:0004348)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium:sodium antiporter activity (GO:0005432)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-sialidase activity (GO:0016997)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate isomerase activity (GO:0004347)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate dehydrogenase activity (GO:0004345)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose dehydrogenase activity (GO:0004344)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine 6-phosphate N-acetyltransferase activity (GO:0004343)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoate synthase activity (GO:0016992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine-6-phosphate deaminase activity (GO:0004342)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
gluconolactonase activity (GO:0004341)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single thymine insertion binding (GO:0032143)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single guanine insertion binding (GO:0032142)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dystroglycan binding (GO:0002162)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA editing activity (GO:0002161)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H3-K9 specific) (GO:0046969)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-T11 specific) (GO:0035402)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-Y41 specific) (GO:0035401)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thyroid hormone receptor binding (GO:0046966)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
histone tyrosine kinase activity (GO:0035400)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinoid X receptor binding (GO:0046965)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity (GO:0046964)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glucan 1,4-alpha-glucosidase activity (GO:0004339)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
geranyltranstransferase activity (GO:0004337)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
galactokinase activity (GO:0004335)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dinucleotide insertion or deletion binding (GO:0032139)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single base insertion or deletion binding (GO:0032138)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine/thymine mispair binding (GO:0032137)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose-bisphosphate aldolase activity (GO:0004332)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose-2,6-bisphosphate 2-phosphatase activity (GO:0004331)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA insertion or deletion binding (GO:0032135)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
17-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0072582)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulatory region RNA binding (GO:0001069)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription regulatory region nucleic acid binding (GO:0001067)	347	0	.46	-	 < 0.01	1.00E00	1.00E00
G-quadruplex RNA binding (GO:0002151)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid:cation symporter activity (GO:0005416)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CP2 mannose-ethanolamine phosphotransferase activity (GO:0051267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amide binding (GO:0033218)	90	0	.12	-	 < 0.01	1.00E00	1.00E00
RNA 2'-O-methyltransferase activity (GO:0062105)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate synthase activity (GO:0004326)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (H3-K9 specific) (GO:0032129)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid 3-dioxygenase activity (GO:0062101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ferredoxin-NADP+ reductase activity (GO:0004324)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thiol oxidase activity (GO:0016972)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynapse (GO:0099186)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
flavin-linked sulfhydryl oxidase activity (GO:0016971)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA synthase activity (GO:0004321)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oleoyl-[acyl-carrier-protein] hydrolase activity (GO:0004320)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ganglioside GM1 binding (GO:1905573)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide-1-phosphate phosphatase activity (GO:0106235)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-ADP-D-ribose binding (GO:0072572)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-propionyllysine depropionylase activity (GO:0106231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type divalent copper transporter activity (GO:0043682)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III activity (GO:0001056)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I activity (GO:0001054)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxylic acid transmembrane transporter activity (GO:0046943)	32	0	.04	-	 < 0.01	1.00E00	1.00E00
carbohydrate:cation symporter activity (GO:0005402)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity (GO:0004317)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity (GO:0004316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonuclease P RNA binding (GO:0033204)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
3-oxoacyl-[acyl-carrier-protein] synthase activity (GO:0004315)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-2 macroglobulin receptor activity (GO:0016964)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[acyl-carrier-protein] S-malonyltransferase activity (GO:0004314)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[acyl-carrier-protein] S-acetyltransferase activity (GO:0004313)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid synthase activity (GO:0004312)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
farnesyltranstransferase activity (GO:0004311)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
farnesyl-diphosphate farnesyltransferase activity (GO:0004310)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid transfer activity (GO:1990050)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
core promoter sequence-specific DNA binding (GO:0001046)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exo-alpha-sialidase activity (GO:0004308)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ethanolamine kinase activity (GO:0004305)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
estradiol 17-beta-dehydrogenase activity (GO:0004303)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ornithine(lysine) transaminase activity (GO:0050155)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
epoxide hydrolase activity (GO:0004301)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
enoyl-CoA hydratase activity (GO:0004300)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
17-beta-ketosteroid reductase activity (GO:0072555)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
troponin I binding (GO:0031013)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoric ester hydrolase activity (GO:0042578)	129	0	.17	-	 < 0.01	1.00E00	1.00E00
glycerol dehydrogenase [NAD(P)+] activity (GO:1990042)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid phosphatase activity (GO:0042577)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ER retention sequence binding (GO:0046923)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-(1->3)-fucosyltransferase activity (GO:0046920)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP transmembrane transporter activity (GO:0080122)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-glucosidase activity (GO:0090599)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate kinase activity (GO:0050145)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
natriuretic peptide receptor activity (GO:0016941)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine binding (GO:0072545)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
filamin binding (GO:0031005)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase activator activity (GO:0072542)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor binding (GO:0001025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hormone binding (GO:0042562)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
transition metal ion transmembrane transporter activity (GO:0046915)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
transition metal ion binding (GO:0046914)	303	0	.40	-	 < 0.01	1.00E00	1.00E00
Fc-gamma receptor I complex binding (GO:0034988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acyltransferase, acyl groups converted into alkyl on transfer (GO:0046912)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D3 vitamins binding (GO:1902271)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin receptor binding (GO:0034987)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
short-branched-chain-acyl-CoA dehydrogenase activity (GO:0016937)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactoside binding (GO:0016936)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polysome binding (GO:1905538)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase (quinone) activity (GO:0050136)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ nucleosidase activity (GO:0050135)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-glutaryllysine deglutarylase activity (GO:0061697)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulatory region sequence-specific DNA binding (GO:0001016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole binding (GO:0046906)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoprotein binding (GO:0051219)	29	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity (GO:0001010)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD-dependent protein deacetylase activity (GO:0034979)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMO-specific protease activity (GO:0016929)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
dioxygenase activity (GO:0051213)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-dimethylethanolamine N-methyltransferase activity (GO:0080101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hemi-methylated DNA-binding (GO:0044729)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear receptor binding (GO:0016922)	67	0	.09	-	 < 0.01	1.00E00	1.00E00
transferrin receptor activity (GO:0004998)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyroglutamyl-peptidase activity (GO:0016920)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphatase activity (GO:0033883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylglucosamine 2-epimerase activity (GO:0050121)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
somatostatin receptor activity (GO:0004994)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet activating factor receptor activity (GO:0004992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein binding (GO:0032795)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTPase activating protein binding (GO:0032794)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
lead ion binding (GO:0032791)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase regulator activity (GO:0060590)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor binding (GO:0038085)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine deacetylase activity (GO:0050119)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hormone-sensitive lipase activity (GO:0033878)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
double-stranded methylated DNA binding (GO:0010385)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Rho-dependent protein serine/threonine kinase activity (GO:0072518)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
importin-alpha family protein binding (GO:0061676)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain binding (GO:0099122)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	177	0	.24	-	 < 0.01	1.00E00	1.00E00
2-(3-amino-3-carboxypropyl)histidine synthase activity (GO:0090560)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-3 adrenergic receptor binding (GO:0031699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inosine-diphosphatase activity (GO:1990003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-2 adrenergic receptor binding (GO:0031698)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylglyoxal reductase (NADPH-dependent, acetol producing) (GO:1990002)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
catalytic activity, acting on RNA (GO:0140098)	140	0	.19	-	 < 0.01	1.00E00	1.00E00
beta-1 adrenergic receptor binding (GO:0031697)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein self-association (GO:0043621)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
catalytic activity, acting on DNA (GO:0140097)	81	0	.11	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine-N4-)-methyltransferase activity (GO:0071424)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-2A adrenergic receptor binding (GO:0031694)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
